s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
311,89633.413323635,43126.7718347219,0.559600431,-0.0053844122,9.694,0.0
310,89632.7738093971,43127.7623914271,0.5586101791,0.0006320128,9.694,0.0
309,89632.1636242575,43128.7713053946,0.5581102162,-0.0034665841,9.694,0.0
308,89631.52508416961,43129.7625277658,0.566784161,-0.0075226331,9.694,0.0
307,89630.8974805314,43130.7607184895,0.5758497341,-0.0042610002,9.694,0.0
306,89630.2410913514,43131.7401748637,0.5768312034,0.0050238368,9.694,0.0
305,89629.6116117717,43132.7370053967,0.5640045876,0.0007130617,9.694,0.0
304,89628.98060604741,43133.7329038613,0.57514986,-0.0031670804,9.694,0.0
303,89628.3289936233,43134.7155656815,0.5714723255,3.1051e-06,9.694,0.0
302,89627.7052653363,43135.7161792039,0.5751425384,-0.0155250787,9.694,0.0
301,89627.04654316661,43136.6938990195,0.6080749233,-0.0176490636,9.694,0.0
300,89626.3583112766,43137.6512988333,0.6167545737,0.0037489575,9.694,0.0
299,89625.6826120376,43138.6175818212,0.5992343254,0.0265733303,9.694,0.0
298,89625.0283922362,43139.5984335916,0.5540954813,0.0399332701,9.694,0.0
297,89624.4427735128,43140.6213470249,0.5051385029,0.007217735,9.694,0.0
296,89623.8876612357,43141.6612629065,0.5370816217,-0.027560301,9.694,0.0
295,89623.23778652151,43142.6449383376,0.5700482219,0.0020696122,9.694,0.0
294,89622.61531733381,43143.6460855005,0.5322022592,0.022769921,9.694,0.0
293,89622.0416360052,43144.6761709832,0.516373562,-0.013430959,9.694,0.0
292,89621.4512593931,43145.696362215596,0.5638681926,-0.0333398591,9.694,0.0
291,89620.78300793341,43146.6665647005,0.594887421,-0.0118209626,9.694,0.0
290,89620.1308358837,43147.6477536819,0.5917201638,0.0018104947,9.694,0.0
289,89619.4681981075,43148.622981834,0.5906197609,0.0045949333,9.694,0.0
288,89618.8176665364,43149.6063818494,0.5808848491,0.0203287411,9.694,0.0
287,89618.1741262788,43150.5943485296,0.5426813801,0.0259671796,9.694,0.0
286,89617.6008118724,43151.624114113096,0.5196993256,-0.0051150086,9.694,0.0
285,89617.0038810462,43152.6396501964,0.5547345076,-0.0185075001,9.694,0.0
284,89616.3598311838,43153.6268638403,0.563304188,-0.0010567221,9.694,0.0
283,89615.7449865004,43154.632953198,0.5572257896,-0.0038282582,9.694,0.0
282,89615.1127934266,43155.6282353905,0.5723315676,-0.0068589513,9.694,0.0
281,89614.4678308073,43156.6153047986,0.5734001865,0.0107196108,9.694,0.0
280,89613.83352354351,43157.6092157109,0.5470532468,0.0249462557,9.694,0.0
279,89613.2415297543,43158.628743402,0.51458969,0.0692565847,9.694,0.0
278,89612.6732202346,43159.6613970508,0.3837816449,0.1753135066,9.694,0.0
277,89612.369441473,43160.7884238797,0.1062650853,0.1971548018,9.694,0.0
276,89612.427474315,43161.9652601888,-0.0730127318,0.1520803476,9.694,0.0
275,89612.5410807071,43163.135057496496,-0.2515651185,0.1795126645,9.694,0.0
274,89613.0055098385,43164.2143403025,-0.489872155,0.1770468926,9.694,0.0
273,89613.6445979464,43165.2045768022,-0.6668018151,0.1840455073,9.694,0.0
272,89614.4551221782,43166.0561428906,-0.9212464276,0.2156023614,9.694,0.0
271,89615.49134036721,43166.6071673719,-1.1667816864,0.1685755203,9.694,0.0
270,89616.61022703431,43166.9775225508,-1.3163544147,0.1348863682,9.694,0.0
269,89617.7670559199,43167.1990328503,-1.4839564774,0.2085094916,9.694,0.0
268,89618.9416439512,43167.1804929121,-1.8043157116,0.2322493528,9.694,0.0
267,89619.996172499,43166.6688179275,-2.0161110868,0.1683310899,9.694,0.0
266,89621.06133315721,43166.168787367,-2.1996834979,0.1873283382,9.694,0.0
