s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
0,89635.03644347689,43124.67000500632,-0.6952548561665496,0.042545666504253336,9.7,0.0
1,89635.83131142348,43124.006918990446,-0.6511323884926739,0.09787459663409198,9.7,0.0
2,89636.6805969481,43123.41717198573,-0.49355987874779267,0.14034626516674986,9.7,0.0
3,89637.6658167631,43123.020010997214,-0.3603018796059162,0.09210329307088796,9.7,0.0
4,89638.68544304286,43122.66185115054,-0.2932443416725996,0.06176163141302844,9.7,0.0
5,89639.75130890972,43122.39029774061,-0.22541426825743935,0.043370014937177306,9.7,0.0
6,89640.83612205795,43122.16867597586,-0.19670612399737847,0.0033848127117451924,9.7,0.0
7,89641.92084217437,43121.95794645764,-0.2178890435028884,-0.014347889717592658,9.7,0.0
8,89642.99204623229,43121.691345852494,-0.22830854022591807,-0.0017187738731594914,9.7,0.0
9,89644.08044080448,43121.45614238747,-0.22184662491446952,-0.009701774060096372,9.7,0.0
10,89645.18978579243,43121.195625494576,-0.24901370401784015,-0.005945653461494622,9.7,0.0
11,89646.34854821564,43120.87938176253,-0.2373713108405957,0.01636907184875926,9.7,0.0
12,89647.58037671134,43120.61726415381,-0.2104230937055337,0.08757866794420233,9.7,0.0
13,89648.95364809613,43120.32297202811,-0.0032340773728700267,0.19011331425460615,9.7,0.0
14,89650.27929777988,43120.60853560382,0.30755983394946856,0.16912817098769065,9.7,0.0
15,89651.5617060888,43121.15139309228,0.46095838385247867,0.08641593181549377,9.7,0.0
16,89652.86481387974,43121.892614009936,0.5647724496759684,0.06061354806911824,9.7,0.0
17,89654.02378013649,43122.7114072159,0.6353940775663875,0.048016535307931825,9.7,0.0
18,89655.32604444397,43123.707547688144,0.7290657183434215,0.10229036536245358,9.7,0.0
19,89655.96423670708,43124.44469367221,0.9247277248310996,0.22991737208478244,9.7,0.0
20,89656.58466642398,43125.376764534696,1.1324915510007187,0.17113203833515334,9.7,0.0
21,89656.9909119193,43126.6351152806,1.3562567929694678,0.14667269878564815,9.7,0.0
22,89657.13176826577,43127.88764029246,1.520929242761836,0.0775518748693544,9.7,0.0
23,89657.12220961932,43129.265885671775,1.5674760564872345,0.0296635442016021,9.7,0.0
24,89657.14010326372,43130.39796823351,1.5960610877311965,0.048295880265890066,9.7,0.0
25,89657.06531293807,43131.51742389189,1.6728675209106574,0.047606258744809726,9.7,0.0
26,89656.9100507116,43132.64397958154,1.7045225123876468,0.015683701431239438,9.7,0.0
27,89656.77104212859,43133.70483838544,1.7068347992322628,0.0002184918282530751,9.7,0.0
28,89656.6200937895,43134.76224813871,1.7049077267858341,-0.016002050465958557,9.7,0.0
29,89656.48623541006,43135.815748934416,1.6729714777077698,-0.030897485547324,9.7,0.0
30,89656.40133956392,43136.89576539787,1.6389454312414828,-0.028283439687972468,9.7,0.0
31,89656.33789665578,43137.98905760964,1.6102959423370993,-0.019431786451169008,9.7,0.0
32,89656.31690196952,43139.03233495538,1.5978358280347593,-0.01953212260331328,9.7,0.0
33,89656.2805191282,43140.11052955648,1.5700803237081538,-0.050068640400216746,9.7,0.0
34,89656.31848427522,43141.242249217874,1.488759229046947,-0.09850880777842617,9.7,0.0
35,89656.46777474217,43142.38797900811,1.3504389985780585,-0.12106775582453554,9.7,0.0
36,89656.84936839527,43143.61232423708,1.1966373903289647,-0.14366906497112183,9.7,0.0
37,89657.41997370195,43144.8130027679,0.978454998792892,-0.16124070426314238,9.7,0.0
38,89658.40484401712,43145.92374582097,0.7178821524311535,-0.17402605273349087,9.7,0.0
39,89659.43034903135,43146.568719519215,0.45028306799276296,-0.2795363738090448,9.7,0.0
40,89660.18222995047,43146.78294170495,0.24878650090350857,-0.11699368423153123,9.7,0.0
41,89661.28844627498,43147.04076857092,0.23395928949689748,-0.038066941305884616,9.7,0.0
42,89662.47148843047,43147.32852604906,0.1547059075024947,-0.11533257793960128,9.7,0.0
43,89663.56487261323,43147.395781990286,-0.027667260605652683,-0.12834173031812776,9.7,0.0
44,89664.81882542418,43147.2635650885,-0.13966820308536734,-0.05401756296978727,9.7,0.0
45,89666.13297456809,43147.03474916557,-0.17828064510347816,-0.01618827923577981,9.7,0.0
46,89667.3896541973,43146.800317695255,-0.18239572836162435,0.013700687578120669,9.7,0.0
47,89668.60735525317,43146.57836035943,-0.1411229628946689,0.08309778905473636,9.7,0.0
48,89669.72884299663,43146.46799536351,0.018300797992713825,0.16141581455968235,9.7,0.0
49,89670.8750441815,43146.61986551015,0.22938699670612592,0.16387007886835453,9.7,0.0
50,89671.84483038945,43146.962071743845,0.3995492133687637,0.15816848897950425,9.7,0.0
51,89672.49893377388,43147.30557230147,0.4766571574766027,0.08770159271397573,9.7,0.0
52,89673.26934388021,43147.69764683196,0.520514164533246,0.05439841456694363,9.7,0.0
53,89674.27262021587,43148.32232874769,0.5870276352376937,0.026078133255903052,9.7,0.0
54,89675.23709240662,43149.00670982628,0.5910279585121723,-0.02027180168529824,9.7,0.0
55,89676.302959619,43149.68477880432,0.5410474530671038,0.025177821679156717,9.7,0.0
56,89677.47868869928,43150.353582682335,0.6517225423016092,0.10767651081604446,9.7,0.0
57,89678.42171333349,43151.301231066114,0.8309558133248225,0.13795158784599137,9.7,0.0
58,89679.2783076753,43152.32512590497,1.0187780125353953,0.13993938251115395,9.7,0.0
59,89679.84814035083,43153.617289269685,1.2273859389786197,0.14562899390590692,9.7,0.0
60,89680.15129619898,43154.76651469564,1.4079092057176075,0.1690068479424528,9.7,0.0
61,89680.22357764286,43155.90176091669,1.5946727360016706,0.1326130657223801,9.7,0.0
62,89680.09468136338,43157.13722615055,1.728896858955416,0.06731786597566443,9.7,0.0
63,89679.85194465308,43158.23275496202,1.7544913101643274,-0.027912314861667016,9.7,0.0
64,89679.68263557888,43159.35503660646,1.6663045458016836,0.03929590246843575,9.7,0.0
65,89679.63274873348,43160.52082009037,1.8498143143305088,0.24870366017194817,9.7,0.0
66,89679.06945071966,43161.49536204565,2.212661014748155,0.1951494179388043,9.7,0.0
67,89678.26077988159,43162.35636197555,2.3173458552512805,0.023660509325510046,9.7,0.0
68,89677.54485589478,43163.14326616352,2.256717838906827,-0.08567565629114812,9.7,0.0
69,89677.00415192265,43163.89163903733,2.145241460732927,-0.08364915803201457,9.7,0.0
70,89676.56206547553,43164.661656957614,2.1156800949888424,0.007000369831464306,9.7,0.0
71,89676.0757967068,43165.423356538566,2.1570290830421035,0.03110407482477729,9.7,0.0
72,89675.54604840575,43166.19154225852,2.173065044076572,0.001373659625993102,9.7,0.0
73,89674.98516934257,43167.00978691768,2.1612873020933754,-0.01863696460925886,9.7,0.0
74,89674.39453943359,43167.90952783506,2.1364671544847207,0.013549255779068544,9.7,0.0
75,89673.75317295521,43168.95031262618,2.1821549344989326,0.08882784430296961,9.7,0.0
76,89672.84981244293,43170.11331168994,2.381168779747845,0.18104531451148675,9.7,0.0
77,89671.78008812846,43170.82722647593,2.678983065919247,0.21117388048001473,9.7,0.0
