# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 89629.7370946; 43202.5875119; -2.1773621; 0.0036227; 11.1100000; 0.0000000
1.9980257; 89631.3916217; 43201.4588454; -2.1572011; 0.0165379; 11.1100000; 0.0000000
3.9960513; 89633.0692311; 43200.3937085; -2.1109392; 0.0309191; 11.1100000; 0.0000000
5.9940770; 89634.8211410; 43199.4274275; -2.0336927; 0.0459732; 11.1100000; 0.0000000
7.9921026; 89636.6523951; 43198.6269132; -1.9272319; 0.0606077; 11.1100000; -1.4341583
9.9901283; 89638.5648783; 43198.0530626; -1.7930536; 0.0738260; 10.8490151; -3.0529674
11.9881539; 89640.5433904; 43197.7671799; -1.6303780; 0.0894924; 10.2713833; -1.7343432
13.9861796; 89642.5375551; 43197.8401320; -1.4310988; 0.1088325; 9.9282824; -0.5545605
15.9842052; 89644.4785260; 43198.3387355; -1.2027599; 0.1234719; 9.8160449; -0.4433581
17.9822309; 89646.2633548; 43199.3116958; -0.9416865; 0.1268726; 9.7253821; -0.4433581
19.9802565; 89647.6920182; 43200.6715315; -0.6836337; 0.0986025; 9.6338661; 2.4135110
21.9782822; 89648.8301006; 43202.2021840; -0.6053672; 0.0716908; 10.1220496; 3.8186751
23.9763079; 89649.8036401; 43203.9327132; -0.4149660; 0.0940635; 10.8496779; -0.5416456
25.9743335; 89650.4434410; 43205.8876489; -0.2125921; 0.1038502; 10.7494682; -0.5416456
27.9723592; 89650.7040411; 43207.8510398; -0.0715372; 0.0424857; 10.6483155; 2.5138508
29.9703848; 89650.7939487; 43209.8722459; -0.0311986; 0.0011597; 11.1100000; 0.0000000
31.9684105; 89650.8766442; 43211.8645540; -0.0636367; -0.0347244; 11.1100000; -2.8625353
33.9664361; 89651.0790758; 43213.8739200; -0.1361179; -0.0341260; 10.5826869; -6.8251132
35.9644618; 89651.4178018; 43215.8346362; -0.2155273; -0.0657699; 9.2043337; -0.8851364
37.9624874; 89652.0176380; 43217.7208389; -0.4266265; -0.1415992; 9.0101448; -0.3735469
39.9605131; 89653.1001264; 43219.4280516; -0.7062656; -0.1505835; 8.9269254; -0.3735469
41.9585387; 89654.6225515; 43220.7161902; -1.0124543; -0.0997985; 8.8429228; 3.8294761
43.9565644; 89656.2703995; 43221.6431580; -1.0908540; -0.0525323; 9.6695433; 4.8617184
45.9545900; 89658.0911363; 43222.4586221; -1.2035466; -0.0413664; 10.6267466; 2.6286840
47.9526157; 89660.0143962; 43223.1233679; -1.2678136; -0.0267687; 11.1100000; 0.0000000
49.9506414; 89662.0310341; 43223.7001683; -1.3098605; -0.0094786; 11.1100000; 0.0000000
51.9486670; 89663.9269903; 43224.2040573; -1.3026166; 0.0166391; 11.1100000; 0.0000000
53.9466927; 89665.8468629; 43224.7583863; -1.2831283; -0.0023524; 11.1100000; -1.5760330
55.9447183; 89667.7043808; 43225.3390892; -1.2197572; 0.0821355; 10.8228550; -1.8489900
57.9427440; 89669.4979256; 43226.1982258; -1.0262284; 0.0971834; 10.4759502; -1.0911377
59.9407696; 89671.1200020; 43227.4280428; -0.8125363; 0.1082016; 10.2657338; -0.4849105
61.9387953; 89672.4080593; 43228.9416021; -0.5951581; 0.1160008; 10.1709175; -0.4849105
63.9368209; 89673.3499535; 43230.7199026; -0.3941215; 0.0742592; 10.0752090; 3.9861323
65.9348466; 89673.9773785; 43232.5465248; -0.2641379; 0.0727241; 10.8369103; -1.6900964
67.9328722; 89674.3649379; 43234.4767716; -0.1320070; 0.0751834; 10.5206898; -1.2600669
69.9308979; 89674.4542185; 43236.5399859; 0.0563808; 0.1063436; 10.2786001; -0.5336000
71.9289236; 89674.1464375; 43238.4992671; 0.2518067; 0.0956686; 10.1743466; -1.8613168
73.9269492; 89673.4553646; 43240.3834979; 0.4565511; 0.1102115; 9.8020105; -1.7863784
75.9249749; 89672.3837591; 43242.0552644; 0.6859640; 0.1175254; 9.4308510; -0.5204123
77.9230005; 89670.9562067; 43243.4426612; 0.9066284; 0.0999871; 9.3199440; -2.8051305
79.9210262; 89669.2645016; 43244.5209718; 1.0981488; 0.0943995; 8.6978107; -4.5119796
81.9190518; 89667.2896910; 43245.2958899; 1.2963910; 0.1006968; 7.5909031; -0.2651358
83.9170775; 89665.3491363; 43245.5760921; 1.6036736; 0.2121554; 7.5207920; -0.2651358
85.9151031; 89663.4983129; 43245.3091753; 1.7527332; 0.1199794; 7.4500212; 3.2814863
87.9131288; 89661.7537325; 43244.5734535; 2.1957605; 0.1748868; 8.2834657; -0.3216366
89.9111544; 89660.2436720; 43243.1521694; 2.4195494; 0.0618827; 8.2055181; 4.9843882
91.9091801; 89658.9980099; 43241.6052517; 2.4947201; 0.0211364; 9.3406851; -2.6539688
93.9072058; 89657.7271116; 43239.8756440; 2.5088440; -0.0137347; 8.7545990; -4.0265398
95.9052314; 89656.5337826; 43238.3634356; 2.4028198; -0.1363654; 7.7815643; -2.3598362
97.9032571; 89655.0198229; 43237.0987275; 2.2403930; 0.1932566; 7.1500152; -0.2352315
99.9012827; 89653.4275358; 43235.9270614; 2.0124552; -0.2391261; 7.0839763; -0.2352315
101.8993084; 89651.6037403; 43235.3976741; 1.7322957; -0.1069866; 7.0173159; 5.0691747
103.8973340; 89649.5215763; 43235.2885904; 1.5133629; -0.1060892; 8.3366303; 4.3010849
105.8953597; 89647.5506876; 43235.6193470; 1.2920252; -0.1169756; 9.3105725; -0.0003100
