s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
320.8747563000,89634.0062007000,43125.6892425000,0.9038550536,0.0388382000,9.6940000000,0.0000000000
319.8751465000,89633.2327088000,43126.3223930000,0.8662199536,0.0364624000,9.6940000000,0.0000000000
318.8755366000,89632.4828442000,43126.9832771000,0.8309454536,0.0341246000,9.6940000000,0.0000000000
317.8759268000,89631.7559457000,43127.6693694000,0.7979709536,0.0318562000,9.6940000000,0.0000000000
316.8763170000,89631.0512434000,43128.3782765000,0.7672498536,0.0296154000,9.6940000000,0.0000000000
315.8767071000,89630.3678559000,43129.1077120000,0.7387512536,0.0274085000,9.6940000000,0.0000000000
314.8770973000,89629.7046739000,43129.8556340000,0.7124496536,0.0252179000,9.6940000000,0.0000000000
313.8774875000,89629.0605820000,43130.6200057000,0.6883237536,0.0230584000,9.6940000000,0.0000000000
312.8778776000,89628.4342489000,43131.3990561000,0.6663477536,0.0209122000,9.6940000000,0.0000000000
311.8782678000,89627.8243542000,43132.1910068000,0.6465137536,0.0187696000,9.6940000000,0.0000000000
310.8786580000,89627.2294084000,43132.9942826000,0.6288227536,0.0166271000,9.6940000000,0.0000000000
309.8790481000,89626.6478998000,43133.8073279000,0.6132775536,0.0144634000,9.6940000000,0.0000000000
308.8794383000,89626.0782024000,43134.6286997000,0.5999118536,0.0122791000,9.6940000000,0.0000000000
307.8798285000,89625.5186250000,43135.4570096000,0.5887267536,0.0101016000,9.6940000000,0.0000000000
306.8802186000,89624.9674464000,43136.2909182000,0.5797152536,0.0079289000,9.6940000000,0.0000000000
305.8806088000,89624.4228827000,43137.1291876000,0.5728743536,0.0057588000,9.6940000000,0.0000000000
304.8809990000,89623.8831659000,43137.9705589000,0.5682014536,0.0035910000,9.6940000000,0.0000000000
303.8813891000,89623.3464580000,43138.8138855000,0.5656951536,0.0014218000,9.6940000000,0.0000000000
302.8817793000,89622.8109624000,43139.6579525000,0.5653605536,-0.0007523000,9.6940000000,0.0000000000
301.8821695000,89622.2748199000,43140.5016361000,0.5671988536,-0.0029236000,9.6940000000,0.0000000000
300.8825596000,89621.7362223000,43141.3437383000,0.5712012536,-0.0050844000,9.6940000000,0.0000000000
299.8829498000,89621.1933533000,43142.1830903000,0.5773570536,-0.0071116000,9.6940000000,0.0000000000
298.8833400000,89620.6446575000,43143.0186630000,0.5848818536,-0.0079438000,9.6940000000,0.0000000000
297.8837301000,89620.0893645000,43143.8498216000,0.5932385536,-0.0087298000,9.6940000000,0.0000000000
296.8841203000,89619.5274752000,43144.6765457000,0.5999868536,-0.0047718000,9.6940000000,0.0000000000
295.8845105000,89618.9616360000,43145.5005991000,0.6027783536,-0.0008135000,9.6940000000,0.0000000000
294.8849006000,89618.3952579000,43146.3242361000,0.6011794536,0.0040887000,9.6940000000,0.0000000000
293.8852908000,89617.8322249000,43147.1502191000,0.5946012536,0.0090721000,9.6940000000,0.0000000000
292.8856810000,89617.2767213000,43147.9812511000,0.5830402536,0.0140610000,9.6940000000,0.0000000000
291.8860711000,89616.7329492000,43148.8200152000,0.5664882536,0.0190558000,9.6940000000,0.0000000000
290.8864613000,89616.2052719000,43149.6690323000,0.5447716536,0.0245185000,9.6940000000,0.0000000000
289.8868515000,89615.6986010000,43150.5306647000,0.5174380536,0.0301736000,9.6940000000,0.0000000000
288.8872416000,89615.2181410000,43151.4073895000,0.4840122536,0.0371751000,9.6940000000,0.0000000000
287.8876318000,89614.7707147000,43152.3011655000,0.4429383536,0.0450247000,9.6940000000,0.0000000000
286.8880220000,89614.3638727000,43153.2143787000,0.3939520536,0.0530185000,9.6940000000,0.0000000000
285.8884121000,89614.0061008000,43154.1476433000,0.3368096536,0.0613557000,9.6940000000,0.0000000000
284.8888023000,89613.7061637000,43155.1012840000,0.2712150536,0.0698991000,9.6940000000,0.0000000000
283.8891925000,89613.4736396000,43156.0734687000,0.1967813536,0.0791134000,9.6940000000,0.0000000000
282.8895826000,89613.3187569000,43157.0604262000,0.1129980536,0.0883015000,9.5163724000,1.7068123000
281.8899728000,89613.2514723000,43158.0576061000,0.0202296536,0.0973973000,9.1455449000,3.4615260000
280.8903630000,89613.2814883000,43159.0563431000,-0.0820477536,0.1081369000,8.7763277000,3.3098240000
279.8907531000,89613.4197001000,43160.0467829000,-0.1978895536,0.1239198000,8.4491544000,2.8189581000
278.8911433000,89613.6785038000,43161.0095459000,-0.3300687536,0.1395528000,8.1611307000,2.3930118000
277.8915335000,89614.0681984000,43161.9278828000,-0.4741655536,0.1491100000,7.8443232000,2.5363133000
276.8919237000,89614.5910431000,43162.7800826000,-0.6281039536,0.1606821000,7.4889956000,2.7252390000
275.8923138000,89615.2448415000,43163.5356215000,-0.8039631536,0.1929626000,7.2843277000,1.5124026000
274.8927040000,89616.0296123000,43164.1497270000,-1.0158286536,0.2240336000,7.3187015000,-0.2510784000
273.8930942000,89616.9269152000,43164.5820283000,-1.2224865536,0.1920574000,7.3529145000,-0.2510784000
272.8934843000,89617.8953235000,43164.8351991000,-1.4047270536,0.1743835000,7.6028581000,-1.8697788000
271.8938745000,89618.8928078000,43164.9152889000,-1.5752706536,0.1663256000,7.8548977000,-1.9487442000
270.8942647000,89619.8854128000,43164.8293029000,-1.7382917536,0.1612304000,8.0692073000,-1.7070104000
269.8946548000,89620.8559700000,43164.5860597000,-1.8914921536,0.1443905000,8.2900557000,-1.8071630000
268.8950450000,89621.7782898000,43164.2065950000,-2.0285175536,0.1311150000,8.5744365000,-2.3989054000
267.8954352000,89622.6471177000,43163.7071046000,-2.1548542536,0.1207263000,8.8841828000,-2.7049268000
266.8958253000,89623.4446810000,43163.1101699000,-2.2700745536,0.1106518000,9.1983100000,-2.8412101000
265.8962155000,89624.1754998000,43162.4251911000,-2.3758274536,0.1002701000,9.5223683000,-3.0344791000
264.8966057000,89624.8308456000,43161.6741557000,-2.4707841536,0.0903737000,9.6940000000,-1.6497127000
263.8969958000,89625.4189032000,43160.8628900000,-2.5561627536,0.0797212000,9.6940000000,0.0000000000
262.8973860000,89625.9376847000,43160.0120498000,-2.6300940536,0.0686299000,9.6940000000,0.0000000000
261.8977762000,89626.3991228000,43159.1233583000,-2.6934693536,0.0578457000,9.6940000000,0.0000000000
