x,y,z,qx,qy,qz,qw,speed
89656.8,43128.9,0,0,0,-0.854634,0.519231,9.80556
89654.5,43124.5,0,0,0,-0.966441,0.256888,9.13889
89650.2,43122,0,0,0,-0.993903,0.110261,10.75
89645.4,43121,0,0,0,0.991465,0.130374,10.3333
89640.6,43122.2,0,0,0,0.955589,0.294704,10.5833
89636.5,43125,0,0,0,0.946634,0.322312,12.5278
89632.5,43128.1,0,0,0,0.927787,0.373111,14.2222
89628.9,43131.6,0,0,0,0.883141,0.469107,14.8056
89626.1,43135.7,0,0,0,0.867396,0.497618,15.6667
89623.6,43140,0,0,0,0.877275,0.479988,16.9167
89621.7,43144.6,0,0,0,0.919314,0.393525,18.0278
89618.1,43148.4,0,0,0,0.875321,0.483542,16.3889
89615.5,43152.6,0,0,0,0.844234,0.535975,12.7778
89613.3,43157.1,0,0,0,0.726904,0.686739,9.69444
89613,43162.1,0,0,0,0.419956,0.907544,7.41667
89616.1,43165.7,0,0,0,-0.00938163,0.999956,7.08333
89621,43165.6,0,0,0,-0.298999,0.954253,8.25
89625.1,43162.8,0,0,0,-0.472648,0.881251,10.25
89627.9,43158.7,0,0,0,-0.537571,0.843218,12.1111
89630,43154.1,0,0,0,-0.556357,0.830943,13.8333
89631.9,43149.5,0,0,0,-0.546897,0.8372,15.3333
89633.9,43144.9,0,0,0,-0.505793,0.862655,13.4444
89636.3,43140.6,0,0,0,-0.352008,0.935997,10.1111
89640.1,43137.3,0,0,0,0.0137989,0.999905,7.69444
89644.8,43137.4,0,0,0,0.479578,0.877499,7.25
89647.4,43141.5,0,0,0,0.763194,0.646169,8.22222
89646.6,43146.3,0,0,0,0.881483,0.472216,9.52778
89643.8,43150.5,0,0,0,0.894649,0.44677,11.6111
89640.8,43154.5,0,0,0,0.885384,0.464861,13.4444
89637.9,43158.6,0,0,0,0.874485,0.485052,14.9722
89635.3,43162.9,0,0,0,0.861116,0.508408,16.1944
89632.9,43167.2,0,0,0,0.875971,0.482363,12.6944
89630.2,43171.4,0,0,0,0.959852,0.280505,10.1944
89626.1,43174.1,0,0,0,0.969813,0.243851,10.5278
89621.6,43176.5,0,0,0,0.842914,0.538048,8.22222
89619.6,43180.8,0,0,0,0.567808,0.823161,7.91667
89621.4,43185.4,0,0,0,0.296962,0.954889,9.11111
89625.4,43188.2,0,0,0,0.0100933,0.999949,9.36111
89630.4,43188.3,0,0,0,-0.245996,0.969271,8.44444
89634.7,43185.9,0,0,0,-0.336282,0.941762,10.0278
89638.6,43182.7,0,0,0,-0.149889,0.988703,9.52778
89643.3,43181.3,0,0,0,0.17058,0.985344,8.94444
89647.9,43183,0,0,0,0.295738,0.955269,9.91667
89652,43185.8,0,0,0,0.15522,0.98788,9.97222
89656.8,43187.3,0,0,0,-0.176662,0.984272,7.30556
89661.2,43185.7,0,0,0,-0.585779,0.810471,5.72222
89662.8,43181,0,0,0,-0.874706,0.484655,6.5
89660.2,43176.9,0,0,0,-0.977941,0.20888,8.38889
89655.6,43174.9,0,0,0,-0.990128,0.140167,10.3056
89650.8,43173.5,0,0,0,-0.960846,0.277084,9.86111
89646.6,43170.8,0,0,0,-0.754705,0.656065,6.58333
89646,43166.2,0,0,0,-0.451264,0.892391,7.36111
89648.9,43162.2,0,0,0,-0.260866,0.965375,9.72222
89653.2,43159.7,0,0,0,-0.0102996,0.999947,9.77778
89658.2,43159.6,0,0,0,0.304066,0.952651,7.55556
89662.1,43162.4,0,0,0,0.520306,0.85398,7.36111
89664.5,43167,0,0,0,0.354504,0.935055,8.05556
89668,43170.1,0,0,0,-0.0406307,0.999174,7.91667
89672.8,43169.7,0,0,0,-0.326473,0.945206,8.61111
89676.8,43166.6,0,0,0,-0.519888,0.854234,10.3889
89679.1,43162.2,0,0,0,-0.661563,0.74989,11.4444
89679.7,43157.2,0,0,0,-0.787615,0.616168,10.8056
89678.5,43152.5,0,0,0,-0.928363,0.371675,9.97222
89674.9,43149.1,0,0,0,-0.993676,0.112284,9.88889
89670.1,43148,0,0,0,-0.999224,0.0393832,10.9167
89665.1,43147.6,0,0,0,-0.990035,0.140822,10.9444
89660.3,43146.2,0,0,0,-0.901162,0.433482,8.88889
89657.3,43142.4,0,0,0,-0.738979,0.673729,9.02778
89656.9,43137.5,0,0,0,-0.673844,0.738873,10.3056
89657.3,43132.5,0,0,0,-0.673844,0.738873,12.0556
