left_x,left_y,right_x,right_y,center_x,center_y,width,w_tr_left_m,w_tr_right_m
89630.98879083274,43123.631199700205,89637.09538898323,43127.92084845636,89634.0253999564,43125.76430003352,7.462682320907014,3.7109448934098848,3.751737427497129
89631.16894084452,43123.37920709462,89637.13877977645,43127.8823268667,89634.1324719475,43125.614632909026,7.477776217584258,3.7120968514654504,3.7656793661188073
89631.36453090783,43123.14212256546,89637.18279957377,43127.842223100626,89634.2452111174,43125.469186647046,7.479528131522486,3.703185307026379,3.7763428244961066
89631.56698742798,43122.897171343466,89637.21954708995,43127.81102452059,89634.36335774093,43125.32809739479,7.4898322115597376,3.7052851488021785,3.7845470627575595
89631.7710799825,43122.65220904545,89637.25518205325,43127.78027388171,89634.48667136299,43125.191500926296,7.5081726384484675,3.717861847697227,3.7903107907512394
89631.96982675018,43122.41566882394,89637.29794779711,43127.7412963123,89634.61492383225,43125.05953047998,7.5333522962555755,3.7398657802906703,3.793486515964906
89632.15329239647,43122.19809683676,89637.35904918541,43127.68397374322,89634.74744616293,43124.93184358067,7.562729580277313,3.7686917153389365,3.7940378649383772
89632.32531323351,43122.021876575396,89637.44788692276,43127.60071554767,89634.88278303035,43124.807139169985,7.573918122538647,3.781315514887644,3.7926026076510033
89632.4766292102,43121.88401444769,89637.56753311455,43127.48956354593,89635.01947562298,43124.683920006675,7.572284019912216,3.7822664531735746,3.790017566738641
89632.60107314431,43121.770276241834,89637.71403132303,43127.35414716714,89635.15611657381,43124.5606437586,7.571129034133988,3.7834385875529084,3.7876904465810806
89632.71443941268,43121.666824264925,89637.87159318996,43127.20841053217,89635.29134400496,43124.435820658524,7.570035333775434,3.7825631092893786,3.7874722244860557
89632.84134397686,43121.55095733021,89638.01565618995,43127.07514334538,89635.42508237889,43124.309401301325,7.5690258569387865,3.779513310561393,3.7895125463773933
89632.99907651228,43121.405973122724,89638.12890013053,43126.97119891336,89635.55893033269,43124.18309837039,7.568822565733384,3.7769481883364224,3.791874377396961
89633.19284788787,43121.2270481087,89638.20609270557,43126.90149024284,89635.69459395137,43124.05875208419,7.57183789836151,3.7785556851596134,3.7932822132018957
89633.42321865784,43121.01964120124,89638.24929935017,43126.86314382377,89635.8336961721,43123.93827353236,7.578861643742541,3.7853938442402253,3.793467799502316
89633.70917309832,43120.826862388065,89638.26668517475,43126.8476192736,89635.97757792259,43123.82355483322,7.551330142707738,3.7585050130659283,3.7928251296418094
89634.01215698905,43120.62420792864,89638.26768944245,43126.84594369814,89636.12667280798,43123.71570218391,7.538044529893935,3.745550239414098,3.7924942904798367
89634.32763789703,43120.414932863525,89638.25684412062,43126.85284012219,89636.28100180396,43123.615487305164,7.542428110857314,3.7496532236812157,3.7927748871760967
89634.65237327258,43120.20371837559,89638.23841414583,43126.86188213825,89636.4405272224,43123.52377671593,7.5626581336642955,3.771076695713335,3.79158143795096
89634.99283237162,43120.04408268212,89638.2272924314,43126.85978078128,89636.60504470434,43123.44135660213,7.544387728457529,3.760488464531129,3.783899263926401
89635.30704525154,43119.91833444641,89638.25061827795,43126.841332355805,89636.77347510199,43123.3672340841,7.522882368044857,3.7477502824269617,3.775132085617896
89635.57212778048,43119.812936113965,89638.32595719096,43126.80872218875,89636.94438685462,43123.29900619523,7.518308405741414,3.746447586554755,3.771860819186658
89635.78515819891,43119.7276393364,89638.45379327609,43126.755747413634,89637.11660270649,43123.23412777005,7.517707252904258,3.750760870999265,3.7669463819049938
89635.94980384613,43119.660734662975,89638.63027808633,43126.68420095834,89637.28910693919,43123.17001756271,7.517588651946754,3.7561720893153145,3.7614165626314398
89636.0819827346,43119.60663559434,89638.83917920273,43126.599816412985,89637.4609303188,43123.104111113644,7.51711004797514,3.759506586112003,3.757603461863138
89636.2116542886,43119.55405954048,89639.05050643781,43126.51392768523,89637.63151464639,43123.035059101276,7.516577411661373,3.759439300660275,3.7571381110010997
89636.36454059811,43119.49228048083,89639.23864502368,43126.43725464071,89637.80135066775,43122.96418224432,7.516192188051041,3.7574626678831287,3.7587295201679125
89636.55170098158,43119.41984935722,89639.39376213819,43126.3743515134,89637.97114280929,43122.89320032667,7.5128297718397095,3.75220358001534,3.760626191824369
89636.78153671962,43119.357108944765,89639.51532521824,43126.32542946599,89638.14159924377,43122.82383337764,7.4854363910630255,3.7239915898786893,3.7614448011843358
89637.03988901195,43119.28616281238,89639.60833516625,43126.28804738345,89638.3133737116,43122.75780703061,7.458182833454543,3.6978870476363763,3.7602957858181663
89637.31670057272,43119.21067132715,89639.68247088739,43126.258024873976,89638.4868793876,43122.69648012716,7.433950017756466,3.677031528239307,3.7569184895171595
89637.60385941241,43119.13304567164,89639.74591587199,43126.23219106464,89638.66214397503,43122.64038077458,7.415395084446726,3.6635786124994696,3.7518164719472566
89637.89870123815,43119.05375057455,89639.80166091165,43126.20928184499,89638.83911468169,43122.58992545375,7.404387759584528,3.6591552545221995,3.745232505062328
89638.20133760512,43118.97286311608,89639.85010447042,43126.18826925523,89639.01770637627,43122.54555340707,7.401544285128756,3.664853092860131,3.736691192268624
89638.51033193656,43118.89167332573,89639.89342822366,43126.16648989914,89639.19779575687,43122.50772319052,7.405287568450618,3.6808980385882473,3.724389529862371
89638.81488091222,43118.816709011466,89639.94388599267,43126.139213951785,89639.37921392263,43122.47689740884,7.409142127871152,3.7034935958710173,3.7056485320001338
89639.09208419452,43118.78170845113,89640.02987073947,43126.11323207625,89639.5616485506,43122.452758858206,7.391288078969022,3.700975075394884,3.690313003574138
89639.30973303101,43118.75545244455,89640.17538220188,43126.07566194233,89639.74454294863,43122.432332834556,7.371216568490607,3.702500998592596,3.668715569898011
89639.4578061341,43118.736737136234,89640.38912610646,43126.02510416178,89639.92743947629,43122.41192953336,7.3476882006146775,3.705106801122624,3.642581399492054
89639.54527752685,43118.72554003958,89640.66095428681,43125.96256382941,89640.10988019903,43122.38784828669,7.322665503245333,3.705649358419157,3.6170161448261764
89639.60172488491,43118.71981000693,89640.96146548596,43125.891923740004,89640.29127824257,43122.35691658144,7.30004252190347,3.7019824391889777,3.5980600827144933
89639.66210254123,43118.714722265,89641.25739816097,43125.81991531039,89640.47135525974,43122.319021476884,7.282213349392713,3.694096679435445,3.5881166699572673
