center_x,center_y,w_tr_left_m,w_tr_right_m
89633.4776462,43126.6778239,3.7749495081374707,3.724607150898007
89632.8250144,43127.4350509,3.578333203552086,3.8393197888714647
89632.2038484,43128.2182188,3.43621425297402,3.924307588002435
89631.6091439,43129.0217714,3.3338605814620883,3.9820058221078574
89631.035628,43129.840563,3.274819406673016,4.012440398877999
89630.4779216,43130.6702208,3.2457729994337416,4.0132940275674205
89629.9307092,43131.5068591,3.22990996174068,4.001811200063832
89629.390029,43132.3477094,3.2344709640258724,4.001917094319259
89628.8527736,43133.1907599,3.2512168315519494,4.017143972922936
89628.3172263,43134.0348957,3.2692640074881623,4.030186461891084
89627.7827234,43134.8796924,3.2946680451228487,4.034966372791505
89627.2488739,43135.7249056,3.3471681077637205,4.036814274184885
89626.7155351,43136.5704411,3.3998973871116545,4.037342966991937
89626.1825764,43137.4162164,3.4530027406381105,4.035382985764697
89625.6498722,43138.2621515,3.504514960645943,4.029767198323098
89625.117296,43139.1081679,3.5559759506497968,4.02354890591851
89624.5847222,43139.9541849,3.542895360648685,4.017397599584505
89624.0520231,43140.8001242,3.465082701839993,4.009491826290318
89623.5190725,43141.6459035,3.3855715107274165,3.997391299185174
89622.9857432,43142.491446,3.3461727573492643,3.979717918015923
89622.4519169,43143.3366725,3.311826211995597,3.9631349284003363
89621.9174762,43144.1815128,3.2757583176526173,3.978584504144214
89621.3823228,43145.0259001,3.2387862442052837,4.00386231538735
89620.8463828,43145.8697893,3.259595050918006,4.024939819984887
89620.309706,43146.7132098,3.3172817864173427,4.054923174155782
89619.7723852,43147.5562202,3.3693680242926316,4.065716558002038
89619.2345498,43148.3989025,3.400901850247549,4.047738164163064
89618.6963445,43149.241349,3.4246753355561808,4.029747578592352
89618.1579169,43150.0836531,3.4383336088096295,4.037024871767301
89617.6194156,43150.9259094,3.411254473886771,4.049481527146462
89617.0809912,43151.7682152,3.357016679918747,4.054149168772769
89616.542852,43152.6106785,3.240253630759229,4.032390311776197
89616.0060877,43153.4540305,3.2255472314699793,4.010146897143112
89615.472776,43154.2996162,3.2260196310846,4.01407788294804
89614.9493467,43155.1512799,3.240305187394172,4.007047168570401
89614.4474955,43156.0159127,3.2832553793967354,3.9787327858729205
89613.980796,43156.8999311,3.375566598527049,3.920229687706005
89613.5651904,43157.8088912,3.5439605803051375,3.8235711506831302
