source_index,s_m,x_m,y_m,w_tr_right_m,w_tr_left_m,segment_length_to_next_m
0,0.0000000000,89634.0253999564,43125.7643000335,3.7517379360,3.7109453964,0.0917639959
1,0.0917639959,89634.0780618697,43125.6891511558,3.7592316771,3.7207876817,0.0918120118
2,0.1835760077,89634.1321958932,43125.6149962300,3.7656517656,3.7121264333,0.0918500796
3,0.2754260873,89634.1877639591,43125.5418619209,3.7712984239,3.7062613349,0.0918773175
4,0.3673034048,89634.2447279998,43125.4697748933,3.7763067516,3.7031884036,0.0918929121
5,0.4591963169,89634.3030499478,43125.3987618122,3.7807119043,3.7028640450,0.0918961166
6,0.5510924336,89634.3626917353,43125.3288493424,3.7845125779,3.7052310321,0.0918862501
7,0.6429786837,89634.4236152947,43125.2600641488,3.7877048739,3.7102183811,0.0918626965
8,0.7348413802,89634.4857825585,43125.1924328962,3.7902839605,3.7177238280,0.0918249038
9,0.8266662841,89634.5491554589,43125.1259822494,3.7922264473,3.7275937063,0.0917736302
10,0.9184399143,89634.6136928054,43125.0607340301,3.7934761212,3.7396078376,0.0917330349
11,1.0101729492,89634.6792857481,43124.9966051321,3.7940520302,3.7533735606,0.0917187420
12,1.1018916912,89634.7457600166,43124.9334109927,3.7940507883,3.7683548857,0.0917209630
13,1.1936126542,89634.8129386654,43124.8709629006,3.7935523890,3.7817910710,0.0917310166
14,1.2853436708,89634.8806447489,43124.8090721447,3.7926411206,3.7813073662,0.0917424094
15,1.3770860802,89634.9487013215,43124.7475500136,3.7914285071,3.7815798444,0.0917508387
16,1.4688369190,89635.0169314376,43124.6862077961,3.7900670202,3.7822400467,0.0917541912
17,1.5605911101,89635.0851581518,43124.6248567809,3.7887519235,3.7829592411,0.0917525413
18,1.6523436515,89635.1532045184,43124.5633082567,3.7877128937,3.7834404955,0.0917481511
19,1.7440918026,89635.2208935919,43124.5013735122,3.7872007236,3.7834057344,0.0917454324
20,1.8358372350,89635.2880790237,43124.4388967796,3.7874314497,3.7826308308,0.0917463359
21,1.9275835708,89635.3548560575,43124.3759824100,3.7882738430,3.7812541921,0.0917462094
22,2.0193297802,89635.4214345809,43124.3128581900,3.7894445747,3.7795998277,0.0917421171
23,2.1110718973,89635.4880251731,43124.2497526508,3.7906929414,3.7780279798,0.0917342812
24,2.2028061785,89635.5548384136,43124.1868943241,3.7918213678,3.7769541249,0.0917260821
25,2.2945322605,89635.6220848818,43124.1245117412,3.7926993214,3.7768633333,0.0917240595
26,2.3862563200,89635.6899751569,43124.0628334336,3.7932657000,3.7783134216,0.0917379113
27,2.4779942314,89635.7587198185,43124.0020879326,3.7935176346,3.7819253281,0.0917804801
28,2.5697747114,89635.8285294458,43123.9425037699,3.7934877213,3.7864946282,0.0918653406
29,2.6616400521,89635.8996096314,43123.8843071375,3.7932193397,3.7713564926,0.0919542098
30,2.7535942618,89635.9720520156,43123.8276707739,3.7928467009,3.7591598247,0.0920006198
31,2.8455948816,89636.0458346992,43123.7727141580,3.7925641951,3.7504221547,0.0920075481
32,2.9376024297,89636.1209308792,43123.7195544678,3.7924854724,3.7455927214,0.0919807229
33,3.0295831526,89636.1973137520,43123.6683088815,3.7926082721,3.7450330258,0.0919263091
34,3.1215094617,89636.2749565145,43123.6190945773,3.7927830038,3.7489943945,0.0918509293
35,3.2133603910,89636.3538323634,43123.5720287333,3.7926824988,3.7575957967,0.0917616820
36,3.3051220729,89636.4339144953,43123.5272285277,3.7917799263,3.7708043174,0.0916663062
37,3.3967883791,89636.5151759182,43123.4848104554,3.7893458626,3.7741565374,0.0915962913
38,3.4883846704,89636.5975551054,43123.4447661038,3.7845928457,3.7612522534,0.0915922117
39,3.5799768821,89636.6809160257,43123.4068175834,3.7768777254,3.7527556843,0.0916355646
40,3.6716124467,89636.7651129500,43123.3706519279,3.7752681083,3.7479385923,0.0917040462
41,3.7633164929,89636.8500001491,43123.3359561715,3.7738914758,3.7460311437,0.0917792771
42,3.8550957701,89636.9354318940,43123.3024173480,3.7720945769,3.7462723751,0.0918468231
43,3.9469425932,89637.0212624554,43123.2697224914,3.7698580213,3.7479556373,0.0918961817
44,4.0388387749,89637.1073461042,43123.2375586356,3.7672489931,3.7504602003,0.0919207549
45,4.1307595298,89637.1935371113,43123.2056128147,3.7644351089,3.7532636388,0.0919178249
