s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
311,89638.746209635,43051.0444217219,0.559600431,-0.0053844122,9.694,0.0
310,89638.1066953971,43052.0349784271,0.5586101791,0.0006320128,9.694,0.0
309,89637.49651025751,43053.0438923946,0.5581102162,-0.0034665841,9.694,0.0
308,89636.85797016961,43054.0351147658,0.566784161,-0.0075226331,9.694,0.0
307,89636.23036653141,43055.0333054895,0.5758497341,-0.0042610002,9.694,0.0
306,89635.5739773514,43056.0127618637,0.5768312034,0.0050238368,9.694,0.0
305,89634.9444977717,43057.0095923967,0.5640045876,0.0007130617,9.694,0.0
304,89634.31349204741,43058.0054908613,0.57514986,-0.0031670804,9.694,0.0
303,89633.66187962331,43058.9881526815,0.5714723255,3.1051e-06,9.694,0.0
302,89633.03815133631,43059.9887662039,0.5751425384,-0.0155250787,9.694,0.0
301,89632.37942916661,43060.9664860195,0.6080749233,-0.0176490636,9.694,0.0
300,89631.69119727661,43061.9238858333,0.6167545737,0.0037489575,9.694,0.0
299,89631.01549803761,43062.8901688212,0.5992343254,0.0265733303,9.694,0.0
298,89630.3612782362,43063.8710205916,0.5540954813,0.0399332701,9.694,0.0
297,89629.7756595128,43064.8939340249,0.5051385029,0.007217735,9.694,0.0
296,89629.2205472357,43065.9338499065,0.5370816217,-0.027560301,9.694,0.0
295,89628.57067252151,43066.9175253376,0.5700482219,0.0020696122,9.694,0.0
294,89627.94820333381,43067.9186725005,0.5322022592,0.022769921,9.694,0.0
293,89627.37452200521,43068.9487579832,0.516373562,-0.013430959,9.694,0.0
292,89626.7841453931,43069.9689492156,0.5638681926,-0.0333398591,9.694,0.0
291,89626.11589393341,43070.9391517005,0.594887421,-0.0118209626,9.694,0.0
290,89625.4637218837,43071.9203406819,0.5917201638,0.0018104947,9.694,0.0
289,89624.8010841075,43072.895568834,0.5906197609,0.0045949333,9.694,0.0
288,89624.1505525364,43073.8789688494,0.5808848491,0.0203287411,9.694,0.0
287,89623.5070122788,43074.8669355296,0.5426813801,0.0259671796,9.694,0.0
286,89622.9336978724,43075.896701113095,0.5196993256,-0.0051150086,9.694,0.0
285,89622.3367670462,43076.9122371964,0.5547345076,-0.0185075001,9.694,0.0
284,89621.6927171838,43077.8994508403,0.563304188,-0.0010567221,9.694,0.0
283,89621.0778725004,43078.905540198,0.5572257896,-0.0038282582,9.694,0.0
282,89620.4456794266,43079.9008223905,0.5723315676,-0.0068589513,9.694,0.0
281,89619.80071680731,43080.8878917986,0.5734001865,0.0107196108,9.694,0.0
280,89619.16640954351,43081.8818027109,0.5470532468,0.0249462557,9.694,0.0
279,89618.57441575431,43082.901330402,0.51458969,0.0692565847,9.694,0.0
278,89618.0061062346,43083.9339840508,0.3837816449,0.1753135066,9.694,0.0
277,89617.702327473,43085.0610108797,0.1062650853,0.1971548018,9.694,0.0
276,89617.760360315,43086.2378471888,-0.0730127318,0.1520803476,9.694,0.0
275,89617.8739667071,43087.407644496496,-0.2515651185,0.1795126645,9.694,0.0
274,89618.33839583851,43088.486927302496,-0.489872155,0.1770468926,9.694,0.0
273,89618.97748394641,43089.4771638022,-0.6668018151,0.1840455073,9.694,0.0
272,89619.7880081782,43090.3287298906,-0.9212464276,0.2156023614,9.694,0.0
271,89620.82422636721,43090.8797543719,-1.1667816864,0.1685755203,9.694,0.0
270,89621.94311303431,43091.2501095508,-1.3163544147,0.1348863682,9.694,0.0
269,89623.0999419199,43091.4716198503,-1.4839564774,0.2085094916,9.694,0.0
268,89624.2745299512,43091.4530799121,-1.8043157116,0.2322493528,9.694,0.0
267,89625.329058499,43090.9414049275,-2.0161110868,0.1683310899,9.694,0.0
266,89626.39421915721,43090.441374367,-2.1996834979,0.1873283382,9.694,0.0
265,89627.193095469,43089.5854826404,-2.4479083544,0.1454216591,9.694,0.0
264,89627.89407901841,43088.6376804521,-2.5408171502,0.064874533,9.694,0.0
263,89628.5237806967,43087.6436585428,-2.6006242176,0.0237226106,9.694,0.0
262,89629.1066355013,43086.619265230096,-2.5966751753,-0.0148355724,9.694,0.0
261,89629.745419864,43085.6281974752,-2.5656598056,-0.0085386343,9.694,0.0
260,89630.39094315011,43084.6414931474,-2.5765395102,0.0181794731,9.694,0.0
259,89631.0079083813,43083.6369262451,-2.6085226638,0.0076153145,9.694,0.0
258,89631.58902983101,43082.6110042227,-2.5944934067,-0.0184730975,9.694,0.0
257,89632.23389544101,43081.6242115901,-2.5649869988,-0.0076013967,9.694,0.0
256,89632.8744676969,43080.6344044474,-2.5765707106,0.0039907527,9.694,0.0
255,89633.49645028051,43079.6326983561,-2.5743971985,0.0124658417,9.694,0.0
254,89634.14134920441,43078.6456384051,-2.6059652054,0.0214513033,9.694,0.0
253,89634.698576012,43077.6072176383,-2.6249225475,0.0160012868,9.694,0.0
252,89635.30552949391,43076.5965616759,-2.6436754254,0.0127961133,9.694,0.0
251,89635.82354669801,43075.537739678,-2.6550635692,-0.0066592374,9.694,0.0
250,89636.406903836,43074.5143244152,-2.6279890868,-0.0151869823,9.694,0.0
249,89636.98132911221,43073.4852955235,-2.6192757843,-0.008805568,9.694,0.0
248,89637.58269666071,43072.4717490592,-2.6072359439,0.0053515706,9.694,0.0
247,89638.18144030031,43071.4573420855,-2.631886499,-0.0019694696,9.694,0.0
246,89638.7320835369,43070.415501463496,-2.6025964969,-0.0171685194,9.694,0.0
245,89639.38975291871,43069.436975079,-2.5914696666,0.0102970614,9.694,0.0
244,89639.963517426,43068.4075360218,-2.6268511691,-0.0054137038,9.694,0.0
243,89640.54970955421,43067.3861335565,-2.5787141597,-0.0358450014,9.694,0.0
242,89641.220021158,43066.4161414235,-2.5424481469,0.0012780334,9.694,0.0
241,89641.8795335742,43065.4387623882,-2.581727904,0.0266306484,9.694,0.0
240,89642.4715768985,43064.41927904,-2.605207558,-0.0037683716,9.694,0.0
239,89643.08439415031,43063.412173634,-2.572843213,-0.0527260199,9.694,0.0
238,89643.74096930721,43062.4333884886,-2.4809360272,-0.0950979332,9.694,0.0
237,89644.51735419521,43061.5683261723,-2.3507707451,-0.1311436059,9.694,0.0
236,89645.3961240836,43060.7960913074,-2.1756141265,-0.1973638944,9.694,0.0
235,89646.43109045441,43060.2454885349,-1.8916170641,-0.2468456057,9.694,0.0
234,89647.59455597651,43060.0655512396,-1.603763284,-0.198889977,9.694,0.0
233,89648.7679690358,43060.1684208371,-1.4265826552,-0.166696625,9.694,0.0
232,89649.9211362344,43060.4034214696,-1.2118619652,-0.1876675315,9.694,0.0
231,89650.94174229701,43060.9839917012,-0.9908686774,-0.2143250727,9.694,0.0
230,89651.8816188966,43061.6876651366,-0.709555408,-0.2235179019,9.694,0.0
229,89652.4353718826,43062.7232863841,-0.4784285828,-0.1590232336,9.694,0.0
