s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
311,89633.3965595410,43126.7087201052,0.6108794754,0.0487516779,9.6940000000,0.0000000000
310,89632.7220746111,43127.6861547276,0.5660352419,0.0347236544,9.6940000000,0.0000000000
309,89632.0832871181,43128.6902175227,0.5456344316,0.0226737059,9.6940000000,0.0000000000
308,89631.4699335492,43129.7141941696,0.5456443757,0.0119817449,9.6940000000,0.0000000000
307,89630.8625207133,43130.7335425064,0.5519316137,0.0040857067,9.6940000000,0.0000000000
306,89630.2491878745,43131.7442388272,0.5620158309,-0.0010220282,9.6940000000,0.0000000000
305,89629.6215739049,43132.7435536792,0.5723516159,-0.0033333469,9.6940000000,0.0000000000
304,89628.9725047404,43133.7278154928,0.5799631975,-0.0024119037,9.6940000000,0.0000000000
303,89628.3168915643,43134.7079426701,0.5890476541,-0.0005581964,9.6940000000,0.0000000000
302,89627.6646085376,43135.6897756045,0.5897271024,0.0009451288,9.6940000000,0.0000000000
301,89627.0165658669,43136.6739367459,0.5877765980,0.0020040534,9.6940000000,0.0000000000
300,89626.3681393301,43137.6577498776,0.5843702297,0.0034924815,9.6940000000,0.0000000000
299,89625.7255672842,43138.6451060099,0.5783962293,0.0046771860,9.6940000000,0.0000000000
298,89625.0931789080,43139.6387698272,0.5649943226,0.0048600783,9.6940000000,0.0000000000
297,89624.4692509086,43140.6376208006,0.5514487112,0.0041312481,9.6940000000,0.0000000000
296,89623.8531196779,43141.6412664587,0.5410476611,0.0024996693,9.6940000000,0.0000000000
295,89623.2393587072,43142.6463322353,0.5357016324,0.0006628328,9.6940000000,0.0000000000
294,89622.6290299165,43143.6536659917,0.5393253448,-0.0016113102,9.6940000000,0.0000000000
293,89622.0125718301,43144.6574747599,0.5526651918,-0.0028260214,9.6940000000,0.0000000000
292,89621.3894248674,43145.6570890328,0.5664075198,-0.0028727099,9.6940000000,0.0000000000
291,89620.7620776065,43146.6540065069,0.5739072052,-0.0023385139,9.6940000000,0.0000000000
290,89620.1262359080,43147.6456716575,0.5750493538,-0.0007940210,9.6940000000,0.0000000000
289,89619.4905000981,43148.6374725225,0.5718910547,0.0004594241,9.6940000000,0.0000000000
288,89618.8617728256,43149.6335156720,0.5693257701,0.0005444931,9.6940000000,0.0000000000
287,89618.2299752817,43150.6277785283,0.5636104924,0.0009987205,9.6940000000,0.0000000000
286,89617.5938600241,43151.6196740038,0.5574103392,0.0020149140,9.6940000000,0.0000000000
285,89616.9609115068,43152.6138426173,0.5549046398,0.0027609063,9.6940000000,0.0000000000
284,89616.3174166680,43153.6066447723,0.5656921035,0.0057660527,9.6940000000,0.0000000000
283,89615.6485523126,43154.5968020255,0.5832694217,0.0139979889,9.6940000000,0.0000000000
282,89614.9868201172,43155.5936093368,0.5874563716,0.0251222201,9.6940000000,0.0000000000
281,89614.3381383602,43156.6084685684,0.5713291177,0.0397727330,9.6940000000,0.0000000000
280,89613.7368872077,43157.6471450092,0.5225658713,0.0575545871,9.6940000000,0.0000000000
279,89613.2179717090,43158.7128565605,0.4328653758,0.0786874772,9.6940000000,0.0000000000
278,89612.8201740049,43159.8175348888,0.3059346078,0.1006667904,9.6940000000,0.0000000000
277,89612.5848977563,43160.9436630840,0.1439553317,0.1224530475,9.6940000000,0.0000000000
276,89612.5419298615,43162.0621367919,-0.0501431222,0.1416684199,9.6940000000,0.0000000000
275,89612.7161294683,43163.1517293232,-0.2632388008,0.1532525380,9.6940000000,0.0000000000
274,89613.1226318822,43164.1992296794,-0.4809183353,0.1538824556,9.6940000000,0.0000000000
273,89613.7433903383,43165.1355879909,-0.6953389439,0.1536547365,9.6940000000,0.0000000000
272,89614.5675272601,43165.9334712343,-0.9070221753,0.1523761435,9.6940000000,0.0000000000
271,89615.5463416668,43166.5425654029,-1.1188808900,0.1549205142,9.6940000000,0.0000000000
270,89616.6112012313,43166.9209060823,-1.3364203304,0.1585166452,9.6940000000,0.0000000000
269,89617.7110244419,43167.0527545409,-1.5588502402,0.1596461665,9.6940000000,0.0000000000
268,89618.8076957263,43166.9355193100,-1.7854066298,0.1576021949,9.6940000000,0.0000000000
267,89619.8472674032,43166.5860436695,-2.0060966711,0.1443316404,9.6940000000,0.0000000000
266,89620.8185796252,43166.0305158990,-2.2029804359,0.1229259275,9.6940000000,0.0000000000
265,89621.7070876776,43165.3070765576,-2.3628506160,0.0987230189,9.6940000000,0.0000000000
264,89622.5007172984,43164.4534781488,-2.4836541826,0.0746768691,9.6940000000,0.0000000000
263,89623.2171711324,43163.4979156573,-2.5622080362,0.0539513653,9.6940000000,0.0000000000
262,89623.8739651448,43162.4791497294,-2.6018376663,0.0366266705,9.6940000000,0.0000000000
