s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
0.0000000000,89634.0983884517,43125.7823301600,0.6620282530,-0.0788352874,9.6940000000,0.0000000000
0.5886034649,89633.7365633695,43126.2465894074,0.6289940050,-0.0612590354,9.6940000000,0.0000000000
1.1788863400,89633.3892813080,43126.7239038136,0.6011949644,-0.0489397218,9.6940000000,0.0000000000
1.7706033230,89633.0545894269,43127.2118693173,0.5757057873,-0.0409389846,9.6940000000,0.0000000000
2.3643032825,89632.7313631708,43127.7098697483,0.5546627351,-0.0309907120,9.6940000000,0.0000000000
2.9599870434,89632.4176423696,43128.2162474747,0.5438663847,-0.0170141546,9.6940000000,0.0000000000
3.5555827291,89632.1094523515,43128.7259072962,0.5441014464,-0.0045926503,9.6940000000,0.0000000000
4.1488172498,89631.8023647963,43129.2334744641,0.5468638339,0.0014087080,9.6940000000,0.0000000000
4.7403328802,89631.4947701592,43129.7387231953,0.5468646957,0.0028236551,9.6940000000,0.0000000000
5.3314111451,89631.1874025220,43130.2435980815,0.5463829688,0.0041534934,9.6940000000,0.0000000000
5.9224133880,89630.8803176331,43130.7485560225,0.5520851744,0.0081481828,9.6940000000,0.0000000000
6.5127364265,89630.5707145965,43131.2511764056,0.5610084443,0.0114029021,9.6940000000,0.0000000000
7.1024316849,89630.2569729324,43131.7504825901,0.5679796296,0.0105368018,9.6940000000,0.0000000000
7.6919597609,89629.9398480964,43132.2474485757,0.5704983424,0.0070654725,9.6940000000,0.0000000000
8.2814597733,89629.6214877088,43132.7435906201,0.5721899642,0.0055291372,9.6940000000,0.0000000000
8.8709073832,89629.3023168671,43133.2391493539,0.5772437005,0.0068854767,9.6940000000,0.0000000000
9.4603246918,89628.9806622246,43133.7330633694,0.5835806982,0.0095012033,9.6940000000,0.0000000000
10.0497549260,89628.6558770073,43134.2249399429,0.5890400982,0.0099348541,9.6940000000,0.0000000000
10.6392672000,89628.3283657142,43134.7151042767,0.5931968394,0.0063433981,9.6940000000,0.0000000000
11.2288887617,89627.9987586768,43135.2039936167,0.5943630014,0.0007136179,9.6940000000,0.0000000000
11.8184653807,89627.6686069064,43135.6924610141,0.5910965806,-0.0045057051,9.6940000000,0.0000000000
12.4078691939,89627.3401487344,43136.1818607323,0.5858080900,-0.0071225460,9.6940000000,0.0000000000
12.9971099343,89627.0143734878,43136.6728547637,0.5820562263,-0.0057637828,9.6940000000,0.0000000000
13.5862221772,89626.6905133130,43137.1649602625,0.5812803047,-0.0020366749,9.6940000000,0.0000000000
14.1752591589,89626.3670763965,43137.6572540029,0.5822129102,0.0002365875,9.6940000000,0.0000000000
14.7642631914,89626.0431986227,43138.1492183695,0.5818810009,-0.0012934385,9.6940000000,0.0000000000
15.3532587209,89625.7194888276,43138.6412831033,0.5781427692,-0.0072318681,9.6940000000,0.0000000000
15.9422057156,89625.3976472648,43139.1345138515,0.5706740949,-0.0118027248,9.6940000000,0.0000000000
16.5310477353,89625.0795551312,43139.6300462105,0.5604776857,-0.0122769092,9.6940000000,0.0000000000
17.1198977893,89624.7665278252,43140.1288029566,0.5555881023,-0.0116836964,9.6940000000,0.0000000000
17.7087263864,89624.4559542814,43140.6290660780,0.5518561043,-0.0101667360,9.6940000000,0.0000000000
18.2975493291,89624.1472528414,43141.1304799578,0.5441265290,-0.0095312347,9.6940000000,0.0000000000
18.8864674660,89623.8423870218,43141.6343464123,0.5384060745,-0.0097583773,9.6940000000,0.0000000000
19.4754623731,89623.5403691544,43142.1400144935,0.5339420093,-0.0067838811,9.6940000000,0.0000000000
20.0645636081,89623.2405575106,43142.6471172871,0.5336372766,-0.0011473261,9.6940000000,0.0000000000
20.6536712210,89622.9408971673,43143.1543169107,0.5362188432,0.0032237075,9.6940000000,0.0000000000
21.2427119289,89622.6399626353,43143.6606837373,0.5404856112,0.0075116980,9.6940000000,0.0000000000
21.8316724130,89622.3369115788,43144.1656931521,0.5464185535,0.0117909835,9.6940000000,0.0000000000
22.4205659891,89622.0309044493,43144.6688385393,0.5553280580,0.0159165280,9.6940000000,0.0000000000
