s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
0.0000000000,89634.0454453867,43125.6582417262,2.2325842371,-0.1228052575,9.6940000000,0.0000000000
0.5851820795,89633.7026507578,43126.1325094865,2.1690895657,-0.0942029990,9.6940000000,0.0000000000
1.1703641590,89633.3865080512,43126.6249441068,2.1222589717,-0.0658517793,9.6940000000,0.0000000000
1.7555462385,89633.0895714569,43127.1291927807,2.0919680410,-0.0376747359,9.6940000000,0.0000000000
2.3407283179,89632.8038230813,43127.6398648202,2.0781367958,-0.0095968594,9.6940000000,0.0000000000
2.9259103974,89632.5209470848,43128.1521335357,2.0807288460,0.0184558122,9.6940000000,0.0000000000
3.5110924769,89632.2325551857,43128.6613173714,2.0947040103,0.0293076614,9.6940000000,0.0000000000
4.0962745564,89631.9354734615,43129.1654805547,2.1107297087,0.0254640036,9.6940000000,0.0000000000
4.6814566359,89631.6309124220,43129.6651610920,2.1242390506,0.0207074098,9.6940000000,0.0000000000
5.2666387154,89631.3203189592,43130.1611144839,2.1347560213,0.0152368582,9.6940000000,0.0000000000
5.8518207949,89631.0053158139,43130.6542788426,2.1419450364,0.0093333235,9.6940000000,0.0000000000
6.4370028743,89630.6876238676,43131.1457154035,2.1468870041,0.0075570355,9.6940000000,0.0000000000
7.0221849538,89630.3677617835,43131.6357422531,2.1509257788,0.0062464451,9.6940000000,0.0000000000
7.6073670333,89630.0461106414,43132.1245966373,2.1542044750,0.0049592847,9.6940000000,0.0000000000
8.1925491128,89629.7230421590,43132.6125155053,2.1567357958,0.0036921110,9.6940000000,0.0000000000
8.7777311923,89629.3989202549,43133.0997352272,2.1585304446,0.0024415315,9.6940000000,0.0000000000
9.3629132718,89629.0741025712,43133.5864913659,2.1595971572,0.0012042144,9.6940000000,0.0000000000
9.9480953512,89628.7489419587,43134.0730184897,2.1599427401,-0.0000231020,9.6940000000,0.0000000000
10.5332774307,89628.4237879234,43134.5595500093,2.1595721131,-0.0012436046,9.6940000000,0.0000000000
11.1184595102,89628.0989880404,43135.0463180260,2.1584883550,-0.0024603984,9.6940000000,0.0000000000
11.7036415897,89627.7748893331,43135.5335531788,2.1567854436,-0.0033597094,9.6940000000,0.0000000000
12.2888236692,89627.4517491762,43136.0214245810,2.1548474101,-0.0032639847,9.6940000000,0.0000000000
12.8740057487,89627.1295414549,43136.5099122989,2.1529651181,-0.0031691994,9.6940000000,0.0000000000
13.4591878282,89626.8082402164,43136.9989967295,2.1511380315,-0.0030753067,9.6940000000,0.0000000000
14.0443699076,89626.4878196610,43137.4886585861,2.1493656419,-0.0029822597,9.6940000000,0.0000000000
14.6295519871,89626.1682541338,43137.9788788835,2.1476474679,-0.0028900117,9.6940000000,0.0000000000
15.2147340666,89625.8495181155,43138.4696389234,2.1459830557,-0.0027985161,9.6940000000,0.0000000000
15.7999161461,89625.5315862132,43138.9609202804,2.1443719786,-0.0027077258,9.6940000000,0.0000000000
16.3850982256,89625.2144331512,43139.4527047875,2.1428138376,-0.0026175945,9.6940000000,0.0000000000
16.9702803051,89624.8980337615,43139.9449745228,2.1413082604,-0.0025280762,9.6940000000,0.0000000000
17.5554623846,89624.5823629741,43140.4377117957,2.1398549023,-0.0024391233,9.6940000000,0.0000000000
18.1406444640,89624.2673958074,43140.9308991334,2.1384534459,-0.0023506898,9.6940000000,0.0000000000
18.7258265435,89623.9531073578,43141.4245192674,2.1371036010,-0.0022627286,9.6940000000,0.0000000000
19.3110086230,89623.6394727901,43141.9185551204,2.1358051051,-0.0021751927,9.6940000000,0.0000000000
19.8961907025,89623.3264673265,43142.4129897934,2.1345577229,-0.0020880348,9.6940000000,0.0000000000
20.4813727820,89623.0140662365,43142.9078065525,2.1333612472,-0.0020012077,9.6940000000,0.0000000000
21.0665548615,89622.7022448261,43143.4029888161,2.1322154983,-0.0019146636,9.6940000000,0.0000000000
21.6517369409,89622.3909784267,43143.8985201419,2.1311203249,-0.0018283539,9.6940000000,0.0000000000
22.2369190204,89622.0802423843,43144.3943842141,2.1300756038,-0.0017422309,9.6940000000,0.0000000000
22.8221010999,89621.7700120478,43144.8905648308,2.1290812402,-0.0016562450,9.6940000000,0.0000000000
23.4072831794,89621.4602627576,43145.3870458913,2.1282457054,-0.0011993953,9.6940000000,0.0000000000
23.9924652589,89621.1508620062,43145.8837442315,2.1277401384,-0.0005285012,9.6940000000,0.0000000000
24.5776473384,89620.8416148832,43146.3805382361,2.1276278294,0.0001446585,9.6940000000,0.0000000000
25.1628294179,89620.5323257069,43146.8773060607,2.1279098526,0.0008192233,9.6940000000,0.0000000000
25.7480114973,89620.2227984182,43147.3739255567,2.1285867776,0.0014943300,9.6940000000,0.0000000000
26.3331935768,89619.9128369765,43147.8702741950,2.1296586666,0.0021691077,9.6940000000,0.0000000000
26.9183756563,89619.6022457579,43148.3662289925,2.1311250705,0.0028426789,9.6940000000,0.0000000000
27.5035577358,89619.2908299562,43148.8616664402,2.1329850229,0.0035141543,9.6940000000,0.0000000000
28.0887398153,89618.9783959862,43149.3564624391,2.1352370339,0.0041826332,9.6940000000,0.0000000000
28.6739218948,89618.6647518895,43149.8504922426,2.1378790823,0.0048472005,9.6940000000,0.0000000000
29.2591039743,89618.3497077435,43150.3436304101,2.1409086069,0.0055069257,9.6940000000,0.0000000000
29.8442860537,89618.0330760716,43150.8357507719,2.1443224970,0.0061608621,9.6940000000,0.0000000000
30.4294681332,89617.7146722561,43151.3267264092,2.1481170836,0.0068080470,9.6940000000,0.0000000000
31.0146502127,89617.3943149517,43151.8164296496,2.1522881291,0.0074475005,9.6940000000,0.0000000000
31.5998322922,89617.0718264992,43152.3047320806,2.1568308178,0.0080782269,9.6940000000,0.0000000000
32.1850143717,89616.7470333388,43152.7915045831,2.1617397473,0.0086992160,9.6940000000,0.0000000000
32.7701964512,89616.4197664212,43153.2766173852,2.1670089204,0.0093094461,9.6940000000,0.0000000000
33.3553785306,89616.0898616137,43153.7599401387,2.1726317391,0.0099078843,9.6940000000,0.0000000000
33.9405606101,89615.7571601020,43154.2413420189,2.1786009992,0.0104934926,9.6940000000,0.0000000000
34.5257426896,89615.4215087832,43154.7206918477,2.1846941140,0.0103311875,9.6940000000,0.0000000000
35.1109247691,89615.0829656463,43155.1980037066,2.1871002178,-0.0021077513,9.6940000000,0.0000000000
35.6961068486,89614.7450114919,43155.6757327676,2.1822264099,-0.0145496550,9.6940000000,0.0000000000
