idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,3.7905072264,-3.6541697022,1,3994,89631.1086370537,43123.4522375412,89636.9806040294,43128.0286136631
1,3.6605322152,-3.7266877783,3989,3984,89630.3705857200,43124.6534031385,89636.4625327623,43128.8318239485
2,3.6037114609,-3.7434656024,3973,3973,89629.6679269382,43125.8119512196,89635.9136013401,43129.6813907221
3,3.5981758760,-3.7172372326,3959,3961,89629.0308790799,43126.8633133399,89635.2898936592,43130.6501333046
4,3.6066214278,-3.6860191601,3946,3948,89628.4141416007,43127.8632377093,89634.6432170143,43131.6554964342
5,3.6272324020,-3.6380850114,3933,3935,89627.7919730819,43128.8462041016,89633.9779024517,43132.6565997437
6,3.6357579488,-3.5956040255,3921,3922,89627.1920671106,43129.7946993288,89633.2880294180,43133.6846658516
7,3.6455536525,-3.5973932127,3910,3908,89626.5566081139,43130.7696163292,89632.6458779946,43134.6914872617
8,3.6561254173,-3.6250272365,3896,3896,89625.9296439048,43131.7184814576,89632.0057292685,43135.7305097004
9,3.6528717721,-3.6626888102,3884,3882,89625.2995584485,43132.6730957728,89631.3653128541,43136.7626006478
10,3.6672674619,-3.7004142698,3871,3869,89624.6235644035,43133.6487959750,89630.7411722012,43137.7545978372
11,3.7003837264,-3.7306442174,3855,3858,89623.9233170697,43134.6385956989,89630.1307075235,43138.7237493136
12,3.7399590809,-3.7507002318,3843,3846,89623.2432835213,43135.6007492011,89629.4998407952,43139.7196650801
13,3.7773482885,-3.7671066850,3830,3833,89622.5560389086,43136.5770775170,89628.8743616185,43140.6998919658
14,3.8261462763,-3.7748908063,3819,3819,89621.8388043595,43137.5961018249,89628.2768924544,43141.6367436567
15,3.7412809771,-3.7606668454,3808,3802,89621.2700556453,43138.6676295559,89627.6583610096,43142.6006660042
16,3.6621598293,-3.7357367224,3793,3793,89620.6983236153,43139.7565072522,89627.0496181840,43143.5499134645
17,3.6429729812,-3.6845504514,3778,3782,89620.1040940115,43140.7940525661,89626.4128176567,43144.5213311475
18,3.6356442340,-3.6305771336,3768,3766,89619.5225470931,43141.7899541112,89625.7530333471,43145.5288060745
19,3.6183011603,-3.6296795423,3757,3752,89618.9563343539,43142.7611902448,89625.1151430690,43146.5824857681
20,3.5850559660,-3.6567724923,3740,3742,89618.3964326923,43143.7152796252,89624.4721982845,43147.6559841165
21,3.6484357681,-3.6984049604,3730,3727,89617.6982332136,43144.6736089771,89623.8682722143,43148.6619278485
22,3.7096703749,-3.7232079196,3715,3717,89616.9987022755,43145.6462921353,89623.2610428877,43149.6501365127
23,3.7453557661,-3.7036163043,3702,3704,89616.3389028429,43146.6114562028,89622.6048348774,43150.6395178511
24,3.7669230414,-3.6873555800,3690,3691,89615.6823246945,43147.5920067068,89621.9547632199,43151.6197585252
25,3.7760920573,-3.7045612822,3677,3677,89615.0231705763,43148.6053791779,89621.3504840851,43152.5960280158
26,3.7282503308,-3.7088504210,3667,3662,89614.4213692555,43149.6554433718,89620.7446362302,43153.5703842856
27,3.6141940431,-3.6749739942,3650,3653,89613.9055502022,43150.7015914218,89620.0845168877,43154.5684171711
28,3.6013779044,-3.6348272214,3639,3638,89613.2985129532,43151.6997976860,89619.4214624230,43155.5562409194
29,3.5955369884,-3.6485375884,3627,3624,89612.7249369179,43152.6091371874,89618.7372573366,43156.6500058636
30,3.5611002228,-3.6885300438,3613,3612,89612.0773223421,43153.6321294851,89618.1124141754,43157.6489448364
31,3.5384318478,-3.7152381187,3599,3600,89611.3952089103,43154.7096702713,89617.5247864820,43158.5883307071
32,3.5591939308,-3.7133917192,3585,3589,89610.6405258207,43155.9015153263,89617.0100915129,43159.4113778489
33,3.6558275891,-3.6847409894,3571,3578,89609.8439094528,43157.2471924109,89616.6035360290,43160.1092538371
34,3.8244230119,-3.6110940566,3557,3570,89609.1017567554,43158.7408549530,89616.2682334732,43160.7229057924
35,3.8541615747,-3.5813577653,3550,3565,89608.6902273712,43160.4943668031,89616.0875957814,43161.2466223846
36,3.8101940809,-3.7313953231,3532,3539,89608.6725514046,43162.4017114571,89616.1771506526,43161.6556813873
37,3.8534551437,-3.7537431935,3522,3536,89608.9750461298,43164.3430223875,89616.2023626739,43161.9691306227
