idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,3.7109453964,-3.7517379360,0,0,89631.1178999662,43123.3777607361,89637.0051718284,43127.9637908865
1,3.6939855330,-3.7036973041,1,1,89630.6503174487,43124.0519349293,89636.7630088850,43128.2185540338
2,3.6986204610,-3.6826796465,2,2,89630.2361743991,43124.6871125364,89636.5232639694,43128.5544237486
3,3.6835037532,-3.6826865633,3,3,89629.8951029868,43125.2951886659,89636.2833312302,43128.9627900194
4,3.6654888822,-3.6842729779,4,4,89629.6000401238,43125.8589708012,89636.0240240849,43129.4298851754
5,3.6656920454,-3.6691234807,5,5,89629.3216137353,43126.3628419746,89635.7232753137,43129.9431000432
6,3.6705984464,-3.6484627357,6,6,89629.0542907741,43126.8250362695,89635.3916529292,43130.4865246968
7,3.6623559012,-3.6416056351,7,7,89628.7941135795,43127.2827408388,89635.0590349496,43131.0375529977
8,3.6499343215,-3.6423821824,8,8,89628.5258402753,43127.7466857818,89634.7295598127,43131.5796668533
9,3.6518261101,-3.6327200212,9,9,89628.2339958726,43128.2090786891,89634.3904946275,43132.1029373693
10,3.6559249204,-3.6120636939,10,10,89627.9296573250,43128.6778902463,89634.0440747065,43132.6069561128
11,3.6508005903,-3.6011706413,11,11,89627.6260674023,43129.1569426764,89633.7075607244,43133.1074522280
12,3.6330449791,-3.6033676777,12,12,89627.3291131169,43129.6443532652,89633.3815886016,43133.6108641560
13,3.6210639178,-3.6004361976,13,13,89627.0240067295,43130.1298555908,89633.0509988633,43134.1079744598
14,3.6401859833,-3.5991055333,14,14,89626.6900648835,43130.5995567777,89632.7217914934,43134.6027574677
15,3.6609317816,-3.5961946508,15,15,89626.3522957790,43131.0698335515,89632.3916705427,43135.0937416669
16,3.6673612177,-3.6085062057,16,16,89626.0242983843,43131.5497702945,89632.0749625033,43135.5905264716
17,3.6635675791,-3.6315982610,17,17,89625.7029958989,43132.0373515209,89631.7683082388,43136.0909216576
18,3.6617151807,-3.6484827220,18,18,89625.3786280934,43132.5260408073,89631.4579433607,43136.5857106532
19,3.6796630551,-3.6504220113,19,19,89625.0366895416,43133.0061591832,89631.1369514836,43137.0702644131
20,3.7140231599,-3.6470309207,20,20,89624.6804934129,43133.4796101605,89630.8134696315,43137.5504478976
21,3.7369506142,-3.6528754808,21,21,89624.3342515584,43133.9608400775,89630.4991083161,43138.0356493825
22,3.7429545493,-3.6798176801,22,22,89624.0031558207,43134.4518982990,89630.2031906217,43138.5332113273
23,3.7380548706,-3.7186075258,23,23,89623.6821971133,43134.9493848800,89629.9180199845,43139.0379454107
24,3.7305837862,-3.7533628639,24,24,89623.3644038934,43135.4486759075,89629.6303071166,43139.5410974717
25,3.7278148989,-3.7820682438,25,25,89623.0436587706,43135.9457759012,89629.3383237908,43140.0415709523
26,3.7280525905,-3.8073243635,26,26,89622.7213437155,43136.4416100675,89629.0442087260,43140.5407909488
27,3.7318614477,-3.8290541020,27,27,89622.3969492528,43136.9358669499,89628.7478617046,43141.0387141295
28,3.7470178314,-3.8415173079,28,28,89622.0639010313,43137.4243335222,89628.4444214279,43141.5322314065
29,3.7308183911,-3.8402993099,29,29,89621.7580851916,43137.9300976418,89628.1301241668,43142.0189779946
30,3.7044521693,-3.8207105451,30,30,89621.4617005165,43138.4416076652,89627.8009624903,43142.4964604993
31,3.7061385285,-3.7738677511,31,31,89621.1425170867,43138.9382637494,89627.4493812997,43142.9599496823
32,3.7036733086,-3.7183343438,32,32,89620.8276221055,43139.4374264374,89627.0909648810,43143.4194780281
33,3.6746388695,-3.6964924759,33,33,89620.5359319612,43139.9510681077,89626.7614708231,43143.8977430615
34,3.6369871043,-3.7071878565,34,34,89620.2522999012,43140.4694955592,89626.4599720161,43144.3939971541
35,3.5950467669,-3.7153387355,35,35,89619.9730525754,43140.9903610725,89626.1568336559,43144.8894106670
36,3.5734862880,-3.7065499678,36,36,89619.6772872048,43141.5005073734,89625.8398409074,43145.3763117736
