idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,3.7749495081374707,-3.724607150898007,3995,3981,89630.67845642313,43124.14508222701,89636.23950625592,43129.17678917787
1,3.578333203552086,-3.8393197888714647,3981,3970,89630.06739737043,43125.154696358746,89635.78375888508,43129.88172364339
2,3.43621425297402,-3.924307588002435,3970,3962,89629.47633635568,43126.12818376668,89635.31878694103,43130.60513059787
3,3.3338605814620883,-3.9820058221078574,3957,3953,89628.90370638731,43127.073635305795,89634.84055315172,43131.348650128086
4,3.274819406673016,-4.012440398877999,3945,3942,89628.33544484997,43127.98760506668,89634.34400095438,43132.11088155677
5,3.2457729994337416,-4.0132940275674205,3933,3933,89627.77282888148,43128.87647729881,89633.8226818322,43132.888127006496
6,3.22990996174068,-4.001811200063832,3922,3923,89627.22078629798,43129.749407471616,89633.28826403868,43133.68431596207
7,3.2344709640258724,-4.001917094319259,3912,3910,89626.66590223594,43130.60388148692,89632.7605120204,43134.50529708977
8,3.2512168315519494,-4.017143972922936,3900,3901,89626.1092129679,43131.44625826807,89632.2426668703,43135.34623416687
9,3.2692640074881623,-4.030186461891084,3889,3890,89625.55558017909,43132.285210627335,89631.7216466171,43136.19182064589
10,3.2946680451228487,-4.034966372791505,3879,3878,89624.99784577405,43133.11921117714,89631.193351548,43137.03574649616
11,3.3471681077637205,-4.036814274184885,3867,3868,89624.41838696951,43133.93832280651,89630.6625506787,43137.879593590136
12,3.3998973871116545,-4.037342966991937,3854,3859,89623.83950273493,43134.75722845996,89630.13079377396,43138.72361234795
13,3.4530027406381105,-4.035382985764697,3844,3848,89623.26093077139,43135.575777662176,89629.5969840752,43139.5670618313
14,3.504514960645943,-4.029767198323098,3833,3837,89622.68421885183,43136.39492753702,89629.06001389385,43140.409232611775
15,3.5559759506497968,-4.02354890591851,3823,3825,89622.10794850152,43137.21375701663,89628.52234063558,43141.25167363314
16,3.542895360648685,-4.017397599584505,3814,3811,89621.58658149636,43138.0665250107,89627.98440580336,43142.09466028416
