s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,89656.8036175,43128.8719252,-1.8634764,-0.0627543,2.7244761,-0.2516845
2.0179681,89656.2213946,43126.9397731,-2.1074662,-0.1221567,2.5380581,-0.0303873
3.9847944,89655.2158019,43125.2494509,-2.3779677,-0.1352915,2.51451,0.0496225
6.0045768,89653.7568445,43123.8526817,-2.6006797,-0.1112664,2.5543693,0.2248788
7.9797429,89652.0636553,43122.8356315,-2.7342229,-0.0673278,2.7282569,0.3573317
9.9685876,89650.2375655,43122.0476597,-2.8078881,-0.0373258,2.9887446,0.0388003
11.9259894,89648.3881429,43121.4065216,-2.9460748,-0.0689915,3.0141558,-0.1379176
13.9713024,89646.3817989,43121.0091694,-3.1391971,-0.0952135,2.9205692,-0.0890614
15.9763035,89644.3768035,43121.0043664,2.9254691,-0.1089137,2.8594276,-0.0264009
17.9760231,89642.4236053,43121.4331963,2.7284413,-0.0982534,2.8409644,0.1365843
19.9804259,89640.5878526,43122.237959,2.5936926,-0.0672226,2.9373295,0.3245184
21.9820208,89638.8792508,43123.2805814,2.5190811,-0.0371199,3.1584673,0.3453086
23.9995146,89637.2402053,43124.4569365,2.4873304,-0.0160333,3.3790357,0.3535199
25.9424503,89635.6984914,43125.6393566,2.4873033,-1.37e-05,3.5823086,0.3367328
27.9514344,89634.1044015,43126.8620154,2.4833548,-0.0019789,3.7711507,0.3359911
29.9329723,89632.5368635,43128.0741693,2.4373715,-0.0228304,3.947696,0.3083162
31.9793407,89630.9772934,43129.399071,2.3608988,-0.0378818,4.107518,0.0577651
33.9694169,89629.5634926,43130.7996319,2.2604007,-0.0502332,4.1355049,-0.0574187
35.9789164,89628.2849846,43132.3499563,2.1737394,-0.0434482,4.1076044,0.188082
37.9573529,89627.1630746,43133.9795357,2.1221808,-0.0258772,4.1981945,0.3180767
39.9633402,89626.112204,43135.6882357,2.0975666,-0.0122958,4.3501783,0.3139235
41.9609412,89625.107922,43137.4150325,2.0976304,3.19e-05,4.4943319,0.3076327
43.9639408,89624.1008153,43139.1464319,2.114396,0.0083757,4.6314353,0.3026352
45.9642681,89623.0662058,43140.8584168,2.1373043,0.0114467,4.7621441,0.2970016
47.9664735,89621.9916445,43142.5478382,2.1536004,0.0081406,4.8870161,0.2918303
49.9678752,89620.8901384,43144.2188538,2.1618046,0.0041032,5.0065306,0.2572405
51.9653703,89619.7771371,43145.8775324,2.1635577,0.0008767,5.1091639,-0.9562009
53.967279,89618.6587639,43147.5379179,2.1535246,-0.0050266,4.7344985,-0.8850976
55.9573737,89617.5636068,43149.199576,2.1373683,-0.0080894,4.3624574,-0.9047631
57.9616704,89616.487815,43150.8906931,2.1183655,-0.0095147,3.9467712,-0.790412
59.9517459,89615.4517551,43152.5898048,2.0735258,-0.0224069,3.5482227,-0.6387062
61.9636363,89614.4823879,43154.3527655,1.9955348,-0.0388644,3.1860677,-0.541319
63.9642199,89613.6579824,43156.1755902,1.8751878,-0.0601519,2.8461647,-0.4018201
65.9626608,89613.0590244,43158.0821619,1.6891829,-0.0922759,2.5640258,-0.3057367
67.9899044,89612.8195861,43160.0952158,1.4601299,-0.1135619,2.3222955,-0.3079074
69.9878225,89613.0402376,43162.080912,1.1246972,-0.1682805,2.0573965,-0.0191079
71.957827,89613.8901954,43163.858126,0.7888603,-0.1706859,2.0391003,-0.0658668
73.9044999,89615.2619271,43165.2393889,0.402149,-0.1948636,1.9762191,-0.007031
75.9021742,89617.100231,43166.0212723,0.0617727,-0.1710174,1.9691117,0.2881451
77.8659103,89619.0602216,43166.1425005,-0.2523935,-0.1581785,2.2564703,0.0411842
79.8581565,89620.9893484,43165.644992,-0.4762311,-0.1121004,2.292832,0.3520671
81.8510969,89622.7605323,43164.7313626,-0.6466616,-0.0839971,2.5988504,0.2433161
83.911254,89624.4047431,43163.4900656,-0.8293987,-0.090513,2.7917316,0.1860692
85.8832828,89625.7364923,43162.0356441,-0.9679334,-0.069746,2.9231675,0.314549
87.880624,89626.8689909,43160.3904029,-1.0569762,-0.0445688,3.1380925,0.3492727
89.8777141,89627.8505761,43158.6511905,-1.1102431,-0.0266518,3.3603705,0.3439505
91.877401,89628.7393244,43156.8598575,-1.1454733,-0.0176183,3.5650483,0.3388286
93.8767853,89629.5643003,43155.0386073,-1.168539,-0.0115331,3.7550734,0.3333074
95.8771995,89630.3474556,43153.197867,-1.1809317,-0.0061954,3.932634,0.3279038
97.8773821,89631.1076513,43151.347777,-1.1825477,-0.0008078,4.0994096,0.3223572
99.8779494,89631.8650021,43149.496105,-1.1738727,0.0043374,4.2567243,0.0863916
101.877432,89632.637968,43147.6520729,-1.1538706,0.0100026,4.2973044,-0.7998513
103.8772342,89633.4477907,43145.8235774,-1.1221627,0.0158424,3.925084,-0.7812434
105.8801831,89634.3165393,43144.0188392,-1.0835769,0.0193045,3.5264198,-0.7345379
107.8745785,89635.2502567,43142.2565154,-1.0112264,0.036256,3.1109959,-0.4752423
109.8704089,89636.309687,43140.5650821,-0.8724644,0.0694352,2.8061087,-0.3783249
111.8682507,89637.5941813,43139.0349036,-0.6788869,0.096011,2.5367558,-0.3213388
113.8965183,89639.1727255,43137.7612994,-0.4370168,0.1196617,2.2798288,-0.3214116
115.9009661,89640.9887919,43136.9129399,-0.0934637,0.1723072,1.9972406,-0.0540102
117.8646112,89642.9438665,43136.7296775,0.3501291,0.2253161,1.9441389,0.0719551
119.8062742,89644.7677258,43137.3957049,0.7420647,0.1977366,2.0160024,0.0873525
121.8034904,89646.2398235,43138.745446,1.0969661,0.1776647,2.1025409,0.142589
123.7805211,89647.1419385,43140.5046614,1.4152745,0.1601852,2.2366182,0.0773932
125.760988,89647.4487041,43142.4612257,1.6867694,0.1369776,2.3051478,0.2142239
127.7324348,89647.2205815,43144.4194296,1.9056843,0.1090373,2.4883599,0.1909166
129.7683824,89646.55144,43146.3422744,2.0901387,0.0911988,2.6445657,0.2895125
131.7718069,89645.5571217,43148.0815389,2.191628,0.0505222,2.8638896,0.3513982
133.7842714,89644.3864473,43149.7184674,2.2280561,0.0181954,3.1108183,0.3508252
135.7756918,89643.1697895,43151.2950139,2.2196435,-0.0042136,3.3354024,0.3442209
137.7772879,89641.9602884,43152.8898476,2.2037998,-0.0079202,3.5419716,0.3394805
