s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
343.3818893,89633.5695273,43126.7359122,0.8427972288351802,-0.033691719254882804,9.694,0.0
342.3836861,89632.8356122,43127.4125371,0.8102355095913971,-0.031587696091574975,9.694,0.0
341.3854829,89632.123483,43128.1118515,0.7797384832477099,-0.02953875484069298,9.694,0.0
340.3872798,89631.4321666,43128.8319594,0.7512667676742941,-0.027531383660664245,9.694,0.0
339.3890766,89630.7609697,43129.5706992,0.7247760833556924,-0.025559649153562864,9.694,0.0
338.3908734,89630.1087622,43130.3263968,0.7002409081775092,-0.023616200486120675,9.694,0.0
337.3926703,89629.4745803,43131.097208,0.6776288947984086,-0.02170117936818314,9.694,0.0
336.3944671,89628.8572128,43131.8816049,0.6569172037815929,-0.019804549013945703,9.694,0.0
335.3962639,89628.255473,43132.6780478,0.638090828016086,-0.017918913766851403,9.694,0.0
334.3980608,89627.6680765,43133.485121,0.6211438179341116,-0.016037993489543323,9.694,0.0
333.3998576,89627.0936647,43134.3015077,0.6060723249363402,-0.014160833345971294,9.694,0.0
332.4016544,89626.5308589,43135.125918,0.5928729004875568,-0.012300716221171694,9.694,0.0
331.4034513,89625.978202,43135.9571736,0.5815151026576557,-0.010487760428519254,9.694,0.0
330.4052481,89625.4342621,43136.7941618,0.5719349837293017,-0.008727383130157708,9.694,0.0
329.4070449,89624.8976408,43137.6358407,0.5640917585965997,-0.006993249659396365,9.694,0.0
328.4088418,89624.3668904,43138.4812677,0.5579735826619898,-0.005268085244772077,9.694,0.0
327.4106386,89623.8406148,43139.3294393,0.5535745601043742,-0.0035447236309290686,9.694,0.0
326.4124355,89623.3173176,43140.1795114,0.5508968660012799,-0.001820019080690349,9.694,0.0
325.4142323,89622.7955974,43141.0304804,0.549941077422273,-9.685284628298801e-05,9.694,0.0
324.4160291,89622.273922,43141.8815579,0.5507035084037026,0.001595706158168041,9.694,0.0
323.417826,89621.7509095,43142.7317226,0.553126740195439,0.0031376522297382986,9.694,0.0
322.4196228,89621.2251225,43143.5802509,0.5569674667947391,0.004361683141817794,9.694,0.0
321.4214196,89620.6955844,43144.4263896,0.5618344198512677,0.004914372163638123,9.694,0.0
320.4232165,89620.1615884,43145.2697198,0.5667783036763421,0.004495454966644263,9.694,0.0
319.4250133,89619.6236887,43146.1106146,0.5708091263880304,0.0033716494965161116,9.694,0.0
318.4268101,89619.0829166,43146.9496043,0.5735094171919619,0.001918245505345962,9.694,0.0
317.428607,89618.5404783,43147.7875901,0.5746387032683336,0.00031045016762626555,9.694,0.0
316.4304038,89617.9978015,43148.6253734,0.5741292048822086,-0.001353595907357013,9.694,0.0
315.4322006,89617.4562228,43149.4639031,0.5719363762405578,-0.0033058195069141823,9.694,0.0
314.4339975,89616.9172471,43150.3040248,0.5675295788577519,-0.00597421367577465,9.694,0.0
313.4357943,89616.3830878,43151.147282,0.5600097503507775,-0.010142962095900734,9.694,0.0
312.4375911,89615.8567914,43151.9954412,0.5472803506474428,-0.016908325246391746,9.694,0.0
311.439388,89615.3442853,43152.851999,0.5262547387203749,-0.026103347525829972,9.694,0.0
310.4411848,89614.8540664,43153.7216078,0.495166564405896,-0.036566548488606264,9.694,0.0
309.4429816,89614.3957881,43154.6083354,0.4532526881444494,-0.0476370445325174,9.694,0.0
308.4447785,89613.9801221,43155.5158854,0.40006579218629845,-0.059041882706726896,9.694,0.0
307.4465753,89613.6185805,43156.4462671,0.33538321304634433,-0.07072321315598956,9.694,0.0
306.4483721,89613.323559,43157.3995794,0.25889671599033637,-0.08274539222753961,9.4886413,1.9732069
305.450169,89613.107982,43158.3742141,0.17021428060292276,-0.09540829569784912,9.0836982,3.7671389
304.4519658,89612.9858811,43159.3642231,0.0684902266098395,-0.10905890353821211,8.6961558,3.4514251
303.4537626,89612.9715926,43160.3624696,-0.04745190045430103,-0.12429462196782287,8.3353028,3.0784586
302.4555595,89613.0803355,43161.3532582,-0.1794883540151644,-0.140905950533505,8.0054106,2.7001888
301.4573563,89613.3269129,43162.3207939,-0.3285874393974044,-0.15922307570367553,7.7127054,2.304528
300.4591531,89613.7218626,43163.2348599,-0.4970115819992893,-0.1780792354650882,7.4976642,1.6383713
299.46095,89614.2741693,43164.0671188,-0.683782504075138,-0.1965381455595651,7.3334648,1.2198233
298.4627468,89614.9751083,43164.7727043,-0.8887939758661867,-0.20771543261353848,7.3680214,-0.2544738
297.4645436,89615.809648,43165.3138945,-1.096975409763136,-0.20248357565906702,7.4024166,-0.2544738
296.4663405,89616.7391385,43165.6772674,-1.292273200009706,-0.18780382494316117,7.5593778,-1.1763243
295.4681373,89617.7181293,43165.8596362,-1.4714235986801765,-0.16987879998554314,7.7428079,-1.405967
294.4699341,89618.7160199,43165.8743647,-1.6309828659859442,-0.15140061563189905,8.0116508,-2.1215487
293.471731,89619.7039284,43165.7399733,-1.773468877134944,-0.13581465805763346,8.3404453,-2.693079
292.4735278,89620.6657136,43165.4737145,-1.9019287394656892,-0.12267038838205876,8.6849813,-2.9382159
291.4753246,89621.5873852,43165.0924585,-2.018242201964404,-0.11082088425449667,9.0380659,-3.1344996
290.4771215,89622.4619306,43164.6116941,-2.1230600654795504,-0.09985811691060119,9.4010493,-3.3525704
289.4789183,89623.2843998,43164.046717,-2.217539529105764,-0.0901086506428815,9.694,-2.8019885
288.4807151,89624.0530703,43163.4102593,-2.3028979451519915,-0.08134809906573408,9.694,0.0
287.482512,89624.7677214,43162.7136419,-2.3799073489617344,-0.07321096457456426,9.694,0.0
286.4843088,89625.4296701,43161.9667747,-2.4490263222664397,-0.0655424558177849,9.694,0.0
285.4861056,89626.0416509,43161.1781576,-2.5107437535074735,-0.05845919191279133,9.694,0.0
284.4879025,89626.6066186,43160.3554341,-2.5657252744621797,-0.05200732047609696,9.694,0.0
283.4896993,89627.1284061,43159.5043669,-2.6145668311266967,-0.04621649776949561,9.694,0.0
282.4914961,89627.6104753,43158.6303832,-2.6579921059282468,-0.04100882727626156,9.694,0.0
281.493293,89628.0564465,43157.7373302,-2.6964340953246566,-0.03603761107257856,9.694,0.0
280.4950898,89628.470002,43156.8288098,-2.729938765291434,-0.031089803856670976,9.694,0.0
279.4968866,89628.855133,43155.9079934,-2.7584995950255964,-0.026130147804716796,9.694,0.0
278.4986835,89629.2161813,43154.9772651,-2.7821054278869997,-0.021157985320047024,9.694,0.0
277.5004803,89629.557394,43154.0393712,-2.8007380785094327,-0.01613550235861412,9.694,0.0
276.5022771,89629.8835287,43153.0958163,-2.8143177324966353,-0.011041369587166148,9.694,0.0
275.504074,89630.1991552,43152.1489632,-2.8227810912068434,-0.005904302107627945,9.694,0.0
274.5058708,89630.5092487,43151.2001028,-2.826104603355172,-0.0007530816896817629,9.694,0.0
273.5076676,89630.8185991,43150.2510955,-2.8242845435218236,0.004405061387710605,9.694,0.0
272.5094645,89631.1321121,43149.3034683,-2.8173107938888435,0.0095707161225132,9.694,0.0
271.5112613,89631.4546866,43148.358813,-2.8051780012844487,0.014740262311845291,9.694,0.0
270.5130581,89631.7910833,43147.4191213,-2.7878847763216346,0.0199067147840107,9.694,0.0
269.514855,89632.1461322,43146.4861751,-2.7654379801537625,0.025066059638486755,9.694,0.0
268.5166518,89632.5243701,43145.5625146,-2.7378447220536968,0.0302217994785091,9.694,0.0
267.5184486,89632.9303219,43144.650603,-2.7051064227334956,0.03547699781909329,9.694,0.0
266.5202455,89633.3682041,43143.7536337,-2.6670207912084285,0.04103157479492933,9.694,0.0
265.5220423,89633.8423408,43142.8753176,-2.623196473609064,0.04716859066072407,9.694,0.0
264.5238391,89634.3570958,43142.0200565,-2.5728561916824493,0.054347739576746046,9.694,0.0
263.525636,89634.9170936,43141.1938813,-2.514702070164703,0.06266389902055292,9.694,0.0
262.5274328,89635.5275665,43140.4041946,-2.4477653229207332,0.0718151613328455,9.694,0.0
261.5292296,89636.1928425,43139.6601439,-2.3713418165193643,0.08168927359204065,9.6727317,0.2063193
260.5310265,89636.9162355,43138.972806,-2.2847165453132243,0.0922323552253615,9.2859234,3.6732832
259.5328233,89637.6998728,43138.3545008,-2.1872408830621666,0.10370862805439848,8.9097332,3.4286748
258.5346201,89638.5422873,43137.8206588,-2.07776453821161,0.11642198451980322,8.5412393,3.2210757
257.536417,89639.4414733,43137.3872419,-1.9549193754581449,0.13097353711070364,8.189094,2.9510569
256.5382138,89640.387947,43137.0746405,-1.8164786179008512,0.1475783445778748,7.8569754,2.6693956
255.5400106,89641.3717659,43136.9032254,-1.6604413604565058,0.16705184471203577,7.5683166,2.2303304
254.5418075,89642.3671886,43136.8967345,-1.4833631536317196,0.18667776488847992,7.3846215,1.3758625
253.5436043,89643.3500607,43137.0766361,-1.2880855613344049,0.20442106784483957,7.2297368,1.1338077
252.5454011,89644.2715663,43137.4499401,-1.0758602958645782,0.21422684846855714,7.2638046,-0.2473259
251.547198,89645.0888042,43138.0151147,-0.862228840951127,0.20584805285312816,7.2977134,-0.2473259
250.5489948,89645.7759146,43138.7392281,-0.6658400696762858,0.18763775007462047,7.4677145,-1.2573292
249.5507916,89646.3151302,43139.5763083,-0.4880889075512185,0.16903099403756466,7.7063658,-1.8139162
248.5525885,89646.7076358,43140.494094,-0.3288069415900461,0.15130105973964683,7.9976913,-2.2916139
247.5543853,89646.9575455,43141.4591619,-0.18622897429279384,0.13482663178297816,8.3220515,-2.6515017
246.5561821,89647.0761957,43142.4502306,-0.059821548228193855,0.11955797745703695,8.6769592,-3.0219698
245.557979,89647.0766732,43143.4481703,0.052418984578031846,0.10635818223827107,9.0628794,-3.4292432
244.5597758,89646.9717709,43144.4405236,0.15245048948901108,0.09462374377898873,9.4601195,-3.685661
243.5615726,89646.7739062,43145.4187629,0.24128153534637597,0.08364613773290401,9.694,-2.2439195
242.5633695,89646.4952359,43146.3770641,0.3194120731821375,0.07306616905171162,9.694,0.0
241.5651663,89646.1475004,43147.3127322,0.3871357043583652,0.06273759114977341,9.694,0.0
240.5669631,89645.7419385,43148.2246919,0.4446532051889589,0.0525408867608561,9.694,0.0
239.56876,89645.2891457,43149.114191,0.49201713020144355,0.04240273692718572,9.694,0.0
238.5705568,89644.7990837,43149.9838086,0.5293021851447439,0.03247192942663608,9.694,0.0
237.5723536,89644.2812852,43150.8370883,0.5568406837909272,0.02316844894568542,9.694,0.0
236.5741505,89643.7440603,43151.6784699,0.5755548483461372,0.015053042167861085,9.694,0.0
235.5759473,89643.1947138,43152.5117416,0.5868914490951593,0.009070495188263614,9.694,0.0
234.5777441,89642.6385619,43153.3407164,0.5936623714658213,0.005716424832344226,9.694,0.0
233.579541,89642.0779427,43154.1665288,0.5983035984373539,0.004036786974998044,9.694,0.0
232.5813378,89641.51414,43154.9902771,0.601721187057481,0.0030944447831172633,9.694,0.0
231.5831346,89640.9478544,43155.8122887,0.6044813646141849,0.0025105727650185064,9.694,0.0
230.5849315,89640.379513,43156.6329121,0.6067333079593715,0.002028013032068393,9.694,0.0
229.5867283,89639.8095293,43157.4523671,0.608530106233661,0.00157342776857587,9.694,0.0
228.5885251,89639.2382446,43158.27094,0.609874506435875,0.0011237478267897678,9.694,0.0
227.590322,89638.6660576,43159.0888623,0.6107735654984681,0.0007594574846089106,9.694,0.0
226.5921188,89638.0933059,43159.906401,0.6113906882740356,0.0006069036232858457,9.694,0.0
225.5939156,89637.5201081,43160.7236189,0.6119851904364171,0.0008565431118694008,9.694,0.0
224.5957125,89636.9464014,43161.5404523,0.6131006697110934,0.0017352320893055696,9.694,0.0
223.5975093,89636.3713799,43162.3563922,0.6154493707057358,0.0031569446250820105,9.694,0.0
222.5993061,89635.7938293,43163.1705403,0.619403198688989,0.0048564805845751026,9.694,0.0
221.601103,89635.2123686,43163.9819148,0.6251448983382186,0.006918762132348142,9.694,0.0
220.6028998,89634.6254804,43164.789414,0.6332162013415696,0.009714674100209396,9.694,0.0
219.6046966,89634.0309999,43165.5912943,0.6445397861878366,0.013210169755065105,9.694,0.0
218.6064935,89633.4260025,43166.3852619,0.659589109991392,0.016931715703960442,9.694,0.0
217.6082903,89632.8076566,43167.1688924,0.6783425037426936,0.02063221318723195,9.694,0.0
216.6100871,89632.1733357,43167.9395863,0.7007787852375147,0.024325543068693105,9.694,0.0
215.611884,89631.5204467,43168.6947086,0.7269060099249516,0.028031855443317828,9.694,0.0
214.6136808,89630.8467667,43169.4311842,0.7567402938416485,0.031738243748588725,9.694,0.0
213.6154776,89630.1499695,43170.146076,0.7902687354273765,0.03545817264584124,9.694,0.0
212.6172745,89629.4285294,43170.8356731,0.8275256164538005,0.03919810970343106,9.694,0.0
211.6190713,89628.6803473,43171.4968133,0.8685257309094485,0.04268981631012717,9.694,0.0
210.6208681,89627.9050287,43172.1248248,0.9127428725237525,0.04439882982040821,9.694,0.0
209.622665,89627.1017176,43172.7170792,0.9571365264784077,0.042320502166739424,9.694,0.0
208.6244618,89626.2734013,43173.2741112,0.9972243162762355,0.0333326468874133,9.694,0.0
207.6262586,89625.4259383,43173.7996656,1.0236481965328892,0.014705860993669492,9.694,0.0
206.6280555,89624.5687876,43174.3125417,1.0265782519720137,-0.010821791510592286,9.694,0.0
205.6298523,89623.7174114,43174.8336283,1.0020364440159666,-0.03940477030650003,9.6879343,0.0588884
204.6316491,89622.8870038,43175.3875721,0.9479106333928247,-0.06869726645903745,9.1685212,4.9059604
203.633446,89622.0958503,43175.9983542,0.8647997190926144,-0.09746871481070118,8.6853244,4.3212249
202.6352428,89621.3693029,43176.6815509,0.7532851038087611,-0.12499848807350421,8.3481269,2.8769882
201.6370396,89620.7334196,43177.4512239,0.6153425447156109,-0.15040096156200486,8.1378448,1.7364725
200.6388365,89620.221003,43178.3059648,0.4532440245367608,-0.17024599090656015,8.1244694,0.108953
199.6406333,89619.8649188,43179.2343648,0.2763971150908673,-0.17692304629441516,8.1627533,-0.3123307
198.6424301,89619.6797035,43180.21425,0.10088739270961877,-0.17171276357276802,8.2008585,-0.3123307
197.644227,89619.6647703,43181.2115096,-0.06610244013738864,-0.16160294403467762,8.2933931,-0.7645182
196.6460238,89619.8110213,43182.1979359,-0.2214427053773491,-0.14955679653942666,8.4292045,-1.137604
195.6478206,89620.1017575,43183.1525124,-0.36448004221681707,-0.13835904816087846,8.6395452,-1.7983571
194.6496175,89620.5205485,43184.0576431,-0.4974952668751773,-0.12917190567762188,8.8739487,-2.0563075
193.6514143,89621.05191,43184.9021567,-0.622189852211191,-0.12204085489711941,9.1254514,-2.2675234
192.6532111,89621.681369,43185.6761427,-0.74101623922237,-0.11714286499735431,9.3603025,-2.1746071
191.655008,89622.3965925,43186.3718277,-0.8559358237193444,-0.11388597294923523,9.5698232,-1.9866966
190.6568048,89623.1859875,43186.982175,-0.9682859959225287,-0.1119320002633376,9.694,-1.1982125
189.6586016,89624.0380751,43187.5008861,-1.079283375212861,-0.11116000018346874,9.694,0.0
188.6603985,89624.9426784,43187.9225898,-1.1901194441176086,-0.11176606134686247,9.694,0.0
187.6621953,89625.8877217,43188.2411106,-1.3022953575317076,-0.11372728912232914,9.694,0.0
186.6639921,89626.8637596,43188.4511656,-1.4170807532486733,-0.11713488347701696,9.6551517,0.3765171
185.665789,89627.8561966,43188.5461018,-1.5360207613421442,-0.12098341587578908,9.6266824,0.2749644
184.6675858,89628.8544585,43188.5204212,-1.6585103712594438,-0.12432006653873386,9.6176882,0.0866995
183.6693826,89629.8400733,43188.3716403,-1.784085681646458,-0.12585192342152215,9.6630085,-0.4376894
182.6711795,89630.798348,43188.0994065,-1.9093300505518356,-0.12267042899586256,9.694,-0.3004916
181.6729763,89631.7175688,43187.7105967,-2.028722617533375,-0.11397504491909616,9.694,0.0
180.6747731,89632.5835982,43187.2195126,-2.13655566633562,-0.0991417705518728,9.694,0.0
179.67657,89633.3996159,43186.6424937,-2.226509770516305,-0.07906338381309785,9.694,0.0
178.6783668,89634.1662294,43186.0020591,-2.294551463090915,-0.05479176708948428,9.694,0.0
177.6801636,89634.8957797,43185.3202834,-2.3359538915691074,-0.02723047960680251,9.694,0.0
176.6819605,89635.6077112,43184.6177802,-2.3489772508540034,0.0012297353539979872,9.694,0.0
175.6837573,89636.318903,43183.9175553,-2.3334965962206433,0.029988249358362216,9.694,0.0
174.6855541,89637.0505146,43183.2390311,-2.2891244420054098,0.058971463371639145,9.5492495,1.3952416
173.687351,89637.8206234,43182.6048801,-2.215823310578158,0.08790561137501222,9.0848547,4.3345795
172.6891478,89638.6418796,43182.0417089,-2.113892726079104,0.11632272911322737,8.7862919,2.6726319
171.6909446,89639.5236615,43181.5768472,-1.9840368089066736,0.14016308814890535,8.7121797,0.6495927
170.6927415,89640.4621711,43181.2435306,-1.834582079171366,0.15074565549552632,8.753233,-0.359152
169.6945383,89641.4415737,43181.0588588,-1.683660583551033,0.14639018225996037,8.7940947,-0.359152
168.6963351,89642.44102,43181.0192361,-1.542256637588641,0.13449328138365665,8.9122808,-1.0482071
167.698132,89643.4335071,43181.1157234,-1.4150240245033332,0.11828959983274767,9.0710171,-1.4298709
166.6999288,89644.4093705,43181.3283549,-1.3061593258003732,0.10057732208199503,9.364983,-2.7146547
165.7017256,89645.3587272,43181.6374443,-1.2141544238814772,0.08414875817273962,9.694,-3.1410089
164.7035225,89646.2778231,43182.0244914,-1.1382258737914208,0.06799372920938758,9.694,0.0
163.7053193,89647.1699597,43182.4737552,-1.0784294325343202,0.051765582505418205,9.694,0.0
162.7071161,89648.0363228,43182.9678074,-1.034891162110842,0.03528483752061234,9.694,0.0
161.708913,89648.8855697,43183.4926166,-1.0080131114321706,0.018497926466065157,9.694,0.0
160.7107098,89649.7246611,43184.0328678,-0.9979639013966888,0.001603349137050426,9.694,0.0
159.7125066,89650.5624512,43184.5741581,-1.0048137705197981,-0.015246515259932194,9.694,0.0
158.7143035,89651.409279,43185.103131,-1.0283944835668963,-0.031957033242298226,9.694,0.0
157.7161003,89652.2713647,43185.6041189,-1.0685856191068188,-0.04845971764245742,9.694,0.0
156.7178971,89653.1579483,43186.063459,-1.125100544139312,-0.06462999149592812,9.694,0.0
155.719694,89654.0715245,43186.4641587,-1.1975934641611645,-0.08045918307589944,9.338648,3.3877319
154.7214908,89655.0147616,43186.7904988,-1.2856715826560448,-0.09613845590382189,8.8985862,4.0199779
153.7232876,89655.9850132,43187.0250234,-1.3895135653402082,-0.11246779912064284,8.482901,3.6191166
152.7250845,89656.9747215,43187.1497498,-1.5101269330882303,-0.12992050713262315,8.0955558,3.2165731
151.7268813,89657.9740116,43187.145843,-1.6489432902106993,-0.15003270928730192,7.7319655,2.8825455
150.7286781,89658.9611062,43186.9942031,-1.8098880947126197,-0.1733839738812287,7.454097,2.1136626
149.730475,89659.9053544,43186.6750699,-1.9949126795074668,-0.19307515485612284,7.2745787,1.3244127
148.7322718,89660.7744893,43186.1754263,-2.195890969612056,-0.21102952969632116,7.0833965,1.3749654
147.7340686,89661.5118036,43185.5158106,-2.4152459123917795,-0.22671569851782378,7.0514057,0.2264986
146.7358655,89662.0861172,43184.6989662,-2.646565459757105,-0.2345734097650602,7.0580948,-0.0472744
145.7376623,89662.4504971,43183.7770482,-2.8820116732517134,-0.23218592518585512,7.0913537,-0.2357217
144.7394591,89662.5919456,43182.7942976,-3.1072671212773884,-0.21777776487026562,7.1244575,-0.2357217
143.741256,89662.5184968,43181.7968024,2.9671265356860106,-0.20010532866870598,7.29241,-1.2128541
142.7430528,89662.2475046,43180.8401122,2.776802892264204,-0.17823543636838027,7.4612417,-1.2476838
141.7448496,89661.8099944,43179.9415068,2.6117636361106626,-0.15473028977600567,7.7780335,-2.4181834
140.7466465,89661.241663,43179.1227427,2.467940286143879,-0.13452476385356,8.1522848,-2.9863376
139.7484433,89660.5682351,43178.3858391,2.3433939115680538,-0.11633624978089256,8.5613723,-3.4248281
138.7502401,89659.8150414,43177.7321846,2.2357862629095893,-0.09996919500766252,9.0014516,-3.8714735
137.752037,89658.999833,43177.1560054,2.1439002959789377,-0.08484690130201651,9.4671289,-4.3079402
136.7538338,89658.1395718,43176.6509094,2.0664441643472546,-0.07077252292118626,9.694,-2.1774657
135.7556306,89657.2452139,43176.2073446,2.002645828237478,-0.057263471530887046,9.694,0.0
134.7574275,89656.3275072,43175.8157987,1.9521430791539531,-0.043873039118371725,9.694,0.0
133.7592243,89655.3929498,43175.4646327,1.9150708311094782,-0.02965776916620984,9.694,0.0
132.7610211,89654.448427,43175.1420478,1.8929329284881984,-0.013450819155482678,9.694,0.0
131.762818,89653.4993065,43174.8326059,1.8882178727830992,0.004610200880260823,9.694,0.0
130.7646148,89652.5512667,43174.5187733,1.9021391529328877,0.02347153142706046,9.694,0.0
129.7664116,89651.6111901,43174.1830449,1.9350872693862922,0.042542648580638914,9.694,0.0
128.7682085,89650.6859026,43173.8074919,1.987089366042734,0.06157503733700915,9.694,0.0
127.7700053,89649.7856889,43173.3759294,2.0580471726699763,0.0806285056791192,9.3101146,3.6542667
126.7718021,89648.9230408,43172.8734184,2.148076446966048,0.09996544317096996,8.8987555,3.7519338
125.773599,89648.1139556,43172.2871496,2.257728423140886,0.12003381331504111,8.5750625,2.8331671
124.7753958,89647.3829697,43171.6102653,2.387593595106475,0.13868885984783097,8.3495311,1.9119494
123.7771926,89646.7511445,43170.8359521,2.534500232497111,0.1551961900480889,8.1985497,1.2514747
122.7789895,89646.249416,43169.9783129,2.6968995542650323,0.16817358780650016,8.1611085,0.3068142
121.7807863,89645.8982115,43169.0460559,2.8691378525462694,0.17451499806865575,8.1679453,-0.0559194
120.7825831,89645.71527,43168.0665709,3.04464503825821,0.17369144574856402,8.2064341,-0.3156823
119.78438,89645.7062336,43167.0720407,-3.0682288139288034,0.1650692734497776,8.2447432,-0.3156823
118.7861768,89645.8610114,43166.0835799,-2.909214426633695,0.1534146365247107,8.3852194,-1.17016
117.7879736,89646.1646349,43165.135025,-2.7619412478670817,0.1404270162555122,8.544975,-1.3547804
116.7897705,89646.5985809,43164.2350745,-2.6290522375415137,0.1274835337292561,8.7938565,-2.161541
115.7915673,89647.1415171,43163.3989589,-2.507479089890177,0.11697949947269366,9.0814605,-2.5751334
114.7933641,89647.7786741,43162.6304532,-2.395653178805711,0.10808494272658903,9.382704,-2.7861117
113.795161,89648.4936461,43161.9356799,-2.2918251662879277,0.10051789365006465,9.6907073,-2.9426234
112.7969578,89649.2756019,43161.3148186,-2.1950794315595443,0.09442094515758209,9.694,-0.0319719
111.7987546,89650.1108475,43160.7706562,-2.1034242508475356,0.09009734768315505,9.694,0.0
110.8005515,89650.9928324,43160.3025927,-2.0153029388587402,0.08798413107511295,9.694,0.0
109.8023483,89651.9108333,43159.9133271,-1.9278420805946475,0.08878671642357329,9.694,0.0
108.8041452,89652.8606171,43159.6058459,-1.8381345422350175,0.09189837509561605,9.694,0.0
107.805942,89653.8339864,43159.3865859,-1.744406084972741,0.09640824216375206,9.694,0.0
106.8077388,89654.8241112,43159.2614976,-1.6457274120384195,0.10173614557458,9.6883921,0.0544454
105.8095357,89655.8219502,43159.2373462,-1.5413278865635494,0.1077914165141298,9.4904283,1.9017727
104.8113325,89656.8161373,43159.3202165,-1.4306009489666078,0.1144582296471681,9.3083428,1.7145725
103.8131293,89657.795898,43159.515912,-1.3127835965010954,0.12247714075977477,9.1537538,1.4295871
102.8149262,89658.7445208,43159.8291068,-1.1858792425647982,0.13224922541779055,9.0719531,0.74678
101.816723,89659.641729,43160.2637052,-1.0488257779364183,0.139399653203642,9.0927525,-0.1892477
100.8185198,89660.4721723,43160.8228197,-0.9073522739955511,0.14151464030573693,9.1162479,-0.214299
99.8203167,89661.2085003,43161.4883536,-0.7666949508987431,0.1323993696874865,9.1592053,-0.3932393
98.8221135,89661.8505881,43162.2537861,-0.6436642796325023,0.10725106875802357,9.2019621,-0.3932393
97.8239103,89662.4037532,43163.0814825,-0.5527711241692561,0.07240542194329339,9.5382265,-3.1565005
96.8257072,89662.8950802,43163.9468492,-0.4995307570499392,0.033743796108456486,9.694,-1.500632
95.827504,89663.359846,43164.8335522,-0.48541030541471564,-0.0041804137030475265,9.694,0.0
94.8293008,89663.8246841,43165.709108,-0.50785990715144,-0.038609047376532306,9.6924709,0.0148486
93.8310977,89664.3296934,43166.5761508,-0.5624234401159276,-0.06997561188448935,9.1733599,4.9055444
92.8328945,89664.8911752,43167.4010629,-0.6478994170162249,-0.10136228168783605,8.7253303,4.0167893
91.8346913,89665.533444,43168.1665304,-0.7648533608426682,-0.12859729710044568,8.4998884,1.9451379
90.8364882,89666.2764502,43168.8444606,-0.9057410454723569,-0.14927176386013385,8.3421987,1.3303025
89.838285,89667.1044073,43169.3985382,-1.0637039955147185,-0.16328158820130217,8.315854,0.2198201
88.8400818,89668.0135993,43169.8095294,-1.2313277792847617,-0.1666214463236985,8.3550398,-0.3272189
87.8418787,89668.9758648,43170.0594229,-1.3956061446115073,-0.15949651447888333,8.3940426,-0.3272189
86.8436755,89669.9634447,43170.1546613,-1.54814294684589,-0.1478061603295553,8.5288528,-1.1427426
85.8454723,89670.9586645,43170.1043477,-1.6895412026106111,-0.1369282859838482,8.7155395,-1.6125462
84.8472692,89671.9357218,43169.9193565,-1.8207543697981434,-0.1261265772080389,8.9344888,-1.9357095
83.849066,89672.8854171,43169.6124531,-1.9408445355438537,-0.11590369985829044,9.1916661,-2.3350134
82.8508628,89673.793141,43169.198829,-2.052048808653641,-0.10832507008081314,9.4787795,-2.6850917
81.8526597,89674.6517743,43168.6900546,-2.1570148041409767,-0.10284600286073996,9.694,-2.0669018
80.8544565,89675.4546715,43168.0954188,-2.2574494310012954,-0.09876984645534409,9.694,0.0
79.8562533,89676.1943502,43167.4255668,-2.3542609919117043,-0.09505333148994316,9.694,0.0
78.8580502,89676.8679232,43166.6876216,-2.4472749674434886,-0.09072468415039031,9.694,0.0
77.859847,89677.4706977,43165.8926393,-2.5354196533579296,-0.08567143728020443,9.694,0.0
76.8616438,89678.0042194,43165.0485065,-2.6182979505508674,-0.08140635975456442,9.694,0.0
75.8634407,89678.467528,43164.1648655,-2.697934213183565,-0.07894616211339442,9.694,0.0
74.8652375,89678.8603622,43163.2470773,-2.7758793150434347,-0.07802463039300761,9.694,0.0
73.8670343,89679.1808732,43162.3020525,-2.8536887686072583,-0.07848008788854248,9.694,0.0
72.8688312,89679.4266746,43161.3347089,-2.93252412058613,-0.07977075289947264,9.694,0.0
