idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,3.9921014622596998,-3.7006790363866484,3998,3977,89630.91327368727,43123.75577951338,89636.03187505166,43129.49849593271
1,3.6666944397440187,-3.9264124720177653,3987,3966,89630.30805765197,43124.75620200796,89635.5421976175,43130.25702480048
2,3.3849032071928065,-4.125289303807913,3974,3957,89629.71648701825,43125.73194812678,89635.05696563453,43131.01231550995
3,3.140707391207126,-4.297227628297365,3963,3947,89629.13685973613,43126.68822216847,89634.57268713957,43131.765096974326
4,2.933837270683311,-4.430246327439682,3950,3937,89628.56455861693,43127.625659487036,89634.07766426638,43132.507809969975
5,2.7748064388982336,-4.538342056047612,3938,3929,89627.98690387806,43128.5383061885,89633.5791732256,43133.250913158496
6,2.6420057868496505,-4.625679488372345,3925,3918,89627.41629539864,43129.44080894102,89633.07826894324,43133.99726642902
7,2.539890194484894,-4.7254568568427615,3915,3907,89626.84592813677,43130.33054842021,89632.5992009078,43134.767340076156
8,2.4732782145984,-4.811854545897094,3904,3898,89626.26885074793,43131.20480744133,89632.12052031176,43135.54429158739
9,2.425754977858578,-4.882642022854359,3891,3889,89625.69542022649,43132.0734147844,89631.6387060589,43136.326651226715
10,2.3948189721875153,-4.930945737561075,3881,3877,89625.12538279885,43132.93731406743,89631.1463682085,43137.11039006475
11,2.410845108761944,-4.965954322559963,3870,3868,89624.53145131201,43133.7788680991,89630.64931790762,43137.90062478385
12,2.4405082745761524,-4.989016704526678,3856,3859,89623.93883670836,43134.616625262366,89630.1471809019,43138.69759374909
13,2.480340674707737,-5.000714064505083,3845,3849,89623.34865469512,43135.45165235298,89629.63913862723,43139.50084880548
14,2.5273396791055305,-5.000798633029868,3835,3838,89622.76185038625,43136.28460231907,89629.12368839853,43140.3095102127
15,2.5807437488654945,-4.993482960398573,3824,3827,89622.17756863456,43137.11484591127,89628.60301067939,43141.1251582148
16,2.588971352138576,-4.981572067916765,3815,3814,89621.63830450037,43137.968336068676,89628.07819257949,43141.948407576005
17,2.5211359151035935,-4.962821399648024,3807,3801,89621.16917013231,43138.85981872384,89627.54591636707,43142.77730829581
18,2.4546148471757188,-4.941393715655984,3793,3793,89620.70290245679,43139.74760787219,89627.00840889387,43143.61303556306
19,2.4223330853522205,-4.910760584807926,3781,3784,89620.20971488296,43140.613982831455,89626.45865902501,43144.45129437535
20,2.4001688956524907,-4.882285640175459,3772,3771,89619.70863926856,43141.47079316921,89625.90517824433,43145.29663278793
21,2.3736053760154787,-4.881254286509478,3762,3758,89619.2102589686,43142.32552884678,89625.36863403264,43146.16055235303
22,2.3424800786376925,-4.900760696024246,3752,3748,89618.71319207491,43143.178457875816,89624.84299657206,43147.03721852484
23,2.3497073790017144,-4.923232286452773,3736,3740,89618.17929270149,43144.008122189596,89624.31500012755,43147.91308643516
24,2.4039077793933457,-4.954502738813652,3729,3727,89617.60088667824,43144.81175179255,89623.79272473491,43148.7875972164
25,2.456985805613848,-4.974904682169421,3716,3717,89617.01904360775,43145.61648483017,89623.261846486,43149.648904506466
26,2.482074347633036,-4.96375627617366,3705,3707,89616.4570530572,43146.43850436335,89622.70699939344,43150.48554828113
27,2.50226072911792,-4.952203831424945,3694,3695,89615.89673936146,43147.266386039315,89622.15599646802,43151.3149342184
28,2.511206803755756,-4.960218883398365,3684,3684,89615.3446633421,43148.10468410845,89621.62704500422,43152.14867748754
29,2.491423739097384,-4.974979488327564,3674,3670,89614.81640006561,43148.9647585883,89621.11230663172,43152.978327781086
30,2.4455080353223453,-4.979802708385758,3666,3660,89614.31113128405,43149.84824168237,89620.60222530467,43153.792525605255
31,2.3343948658794758,-4.948998965949406,3649,3653,89613.86335149378,43150.78069977478,89620.08295389665,43154.57073561363
32,2.3469727141202554,-4.901626158196692,3640,3642,89613.31487120931,43151.6731184423,89619.58269383918,43155.31407780656
33,2.3997421861198847,-4.854989859908077,3628,3633,89612.74255826951,43152.581302588784,89619.1259213609,43156.02859322103
34,2.496488043097732,-4.790174787889253,3615,3624,89612.1513766103,43153.51514300419,89618.70228712822,43156.705915104896
35,2.6509815298921935,-4.693698789774644,3603,3616,89611.53847434223,43154.48338392356,89618.30318470772,43157.34398222971
36,2.882795793652135,-4.5611820449553555,3590,3609,89610.89640183131,43155.49744947598,89617.92563287399,43157.947493763415
37,3.2172104067067755,-4.388306482009061,3578,3602,89610.21356849124,43156.575927873906,89617.56561649183,43158.52304814278
38,3.6046057113287873,-4.169284150523002,3563,3594,89609.55546827771,43157.7636171895,89617.21701370638,43159.08046388851
39,3.980041458982387,-3.896115123946397,3556,3586,89609.01517100286,43159.091842227564,89616.87286163066,43159.630860331665
40,4.301312389188262,-3.590794190494155,3550,3578,89608.6751218979,43160.56649845914,89616.55834488415,43160.192143528366
41,4.486805039415521,-3.100400595546206,3535,3546,89608.66561024873,43162.154270320745,89616.13092866773,43160.799755555156
42,4.751736074261772,-2.9098317111347303,3525,3564,89608.82939883991,43163.85420936841,89616.08106608292,43161.381772690365
43,4.965440299796589,-2.8145515576339664,3515,3537,89609.35718414433,43165.60238589765,89616.19588540649,43161.892879414474
44,5.002459312306986,-2.7775535793157333,3500,3510,89610.39631911999,43167.227320874656,89616.42729758653,43162.31245573613
45,5.15560004914896,-2.659122411528367,3488,3503,89611.72528232627,43168.775058982836,89616.65128275068,43162.70839540587
46,5.186270767579427,-2.529952161342562,3477,3471,89613.44320669168,43169.92880078388,89616.96403880815,43163.06266376977
47,5.268819854661104,-2.510209921313087,3462,3463,89615.29055029365,43170.74304027976,89617.42928555148,43163.26379461242
48,5.2640101882129375,-2.566274851153645,3448,3452,89617.19589075034,43171.097676879384,89617.97272752614,43163.30602182917
49,5.160759137894059,-2.773856852332622,3437,3398,89619.02644064052,43171.025779441916,89618.54917183073,43163.10553036783
50,5.154624322776188,-2.9872180077682238,3430,3414,89620.74149188174,43170.78909341447,89619.10263757399,43162.81389729817
51,4.834849900903848,-3.528385385400674,3413,3384,89622.23759162276,43170.04591014825,89619.51858565253,43162.13700940365
52,4.473874803710096,-4.005020176075481,3407,3368,89623.52307094715,43169.12590323714,89619.85455609502,43161.481712053115
53,4.019936273301658,-4.345354849536194,3400,3363,89624.57085260663,43168.03402307474,89620.18228887291,43160.912323563745
54,3.5371989313136467,-4.607188444389964,3385,3358,89625.41588233248,43166.86958052724,89620.50815173374,43160.36994776102
55,3.171993354530216,-4.816535102598157,3375,3351,89626.17333924609,43165.769496769484,89620.83353335134,43159.82785895515
56,2.892848464118745,-4.979780701446986,3362,3344,89626.86120044421,43164.710118227886,89621.16398388227,43159.27688590956
57,2.7146248766101215,-5.099428065811137,3347,3337,89627.51887231172,43163.700101656825,89621.5050997163,43158.71071666891
58,2.6182048378732734,-5.162768284532153,3334,3330,89628.1559222395,43162.722454616785,89621.87257563953,43158.13299950357
59,2.5336458995530036,-5.186701939328275,3323,3320,89628.73163878778,43161.73516260439,89622.25642651868,43157.53095080865
60,2.504525495973426,-5.17321711135795,3312,3311,89629.29308451226,43160.764055485124,89622.65715938246,43156.90241992281
61,2.5252483644027204,-5.1113110924866785,3297,3304,89629.84614464399,43159.80454753528,89623.08529604311,43156.25377768431
62,2.6164567954294022,-5.006467640075937,3286,3297,89630.4179096993,43158.86397908972,89623.53789717362,43155.58154027142
63,2.7647776985495245,-4.872852742987981,3275,3287,89631.00381103635,43157.935068128645,89624.00422584756,43154.87905668457
64,2.946118882126432,-4.722483066495624,3262,3277,89631.58769631643,43157.00922643134,89624.47496895834,43154.14277123793
65,3.1066041780891744,-4.543478222571369,3252,3267,89632.12420306863,43156.070150689855,89624.96313430106,43153.3788954357
66,3.2436420391468856,-4.337566555788285,3242,3258,89632.61442714445,43155.123696811555,89625.46937054758,43152.589354690324
67,3.3791401905763045,-4.105703972817282,3229,3243,89633.08331045696,43154.1820875071,89625.9957478058,43151.77598114697
68,3.521934390929632,-3.891521769006592,3221,3235,89633.5436143524,43153.25287208751,89626.50373269847,43150.92921149826
69,3.6628891874300447,-3.6610722435043392,3205,3220,89633.99135621019,43152.33662578122,89627.02886845857,43150.06414358099
70,3.828360891487226,-3.426894762732732,3196,3211,89634.45584345488,43151.44558309659,89627.56277918548,43149.181869425214
71,3.9944040940337913,-3.1846591030587583,3185,3202,89634.91832701597,43150.5761979164,89628.11343809645,43148.28874623804
72,4.139351463171195,-2.95626801181043,3173,3188,89635.36200369819,43149.72523300493,89628.66413434752,43147.38293458348
73,4.269436419258433,-2.747982635043089,3166,3179,89635.79621955485,43148.897962372685,89629.21321498239,43146.46727913897
74,4.374918440852644,-2.522309616837748,3155,3163,89636.21517417798,43148.09328702687,89629.80017218928,43145.559612942714
75,4.459087177886525,-2.3191320931809605,3142,3154,89636.62492444056,43147.31434580194,89630.39170778781,43144.65140257187
76,4.551274838151091,-2.1367766301401105,3135,3145,89637.05488162431,43146.57468972699,89630.993883618,43143.74726411171
77,4.608189651709255,-2.0417323106472147,3128,3128,89637.46713554252,43145.85938128592,89631.55210680413,43142.82064846953
78,4.6476272778387795,-2.0604678661895166,3117,3118,89637.87933942632,43145.17815962775,89632.05258756719,43141.854381170415
79,4.6892997840709745,-2.0122724734781667,3106,3109,89638.30821608736,43144.545562575964,89632.6615909358,43140.93631125182
80,4.690793385964072,-2.0204443660343747,3099,3097,89638.71595840255,43143.94563870242,89633.28082562653,43140.00862919381
81,4.647026557311577,-2.0966594920397257,3091,3082,89639.10021972755,43143.37589524777,89633.91564601516,43139.063413717035
82,4.515714580573235,-2.281994064286327,3086,3069,89639.43393355794,43142.80450503182,89634.55497313866,43138.07115652918
83,4.334935279824276,-2.5812530782010796,3080,3058,89639.75475848609,43142.24915322484,89635.22602659896,43137.02189305356
84,4.101920090813945,-2.9561491959645183,3073,3044,89640.07134783696,43141.70141797563,89635.99081122188,43135.94246294976
85,3.805782677039847,-3.4423964986158753,3065,3039,89640.3901052735,43141.147752204415,89636.87090386542,43134.81124505838
86,3.4778454210103598,-4.048443419255411,3056,3022,89640.74478277854,43140.61164776397,89637.92433436975,43133.633818984155
87,3.1425397975735128,-4.481733716014932,3051,3014,89641.1522698238,43140.12281487171,89639.29790786286,43132.72748605361
88,2.9576577104052006,-4.715504605501571,3032,3005,89641.63655024748,43139.849006855104,89640.94961028488,43132.2066555537
89,2.5926857427717978,-4.898961027795035,3030,2994,89642.14079056817,43139.47951658371,89642.79497478185,43132.01648674661
