x_m,y_m,w_tr_right_m,w_tr_left_m
89628.6925139564,43201.49171303352,3.74592487948799,3.7130934872849286
89628.79933733575,43201.342372387146,3.7610289002391255,3.711132217312712
89628.91189967866,43201.19711630356,3.7737868573834907,3.703098178407651
89629.02989621549,43201.056158261745,3.783560804784421,3.7054689812535235
89629.15302217657,43200.91971174065,3.790043904841782,3.7179207801449587
89629.28096962335,43200.78798530482,3.7934408623514715,3.739705652317509
89629.41307468797,43200.660635532804,3.794048477855368,3.7684085239615106
89629.54799655778,43200.5362691765,3.7926381818503088,3.7813084635128624
89629.68431860582,43200.413375412645,3.7900618228273486,3.782243642499054
89629.82062420511,43200.290443418,3.787709404476497,3.7834419605428224
89629.9555279184,43200.16599595085,3.7874346982715763,3.7826252691687117
89630.08891478619,43200.03992367516,3.7894522235674235,3.7795909023343937
89630.22235459105,43199.91393119335,3.791829641699554,3.7769516473841427
89630.35753323247,43199.789848129185,3.7932729278709605,3.778333133452826
89630.49613660983,43199.66950410642,3.7934938785074235,3.786370316963317
89630.63971470513,43199.55466499164,3.7928525944126994,3.759076665674535
89630.78865117543,43199.44654954275,3.7924923911152932,3.7455706023692503
89630.94273613398,43199.34609809356,3.7927839031654598,3.749048082554064
89631.10175499345,43199.25424877293,3.791754080402126,3.770939860050595
89631.26545703987,43199.171809042775,3.7845071064745452,3.7611587771224544
89631.43307307105,43199.09771103901,3.775260633599711,3.7479110356974443
89631.603445748,43199.02948304167,3.7720746594468375,3.7462853062140957
89631.77540836258,43198.96461944319,3.7672183166145046,3.7504900899839924
89631.94779420669,43198.900614636055,3.7616461778671617,3.7559624222651493
89632.11943752968,43198.834965095084,3.757668023290442,3.7594712987822274
89632.28964907181,43198.76620349494,3.757071038086663,3.7595306403465503
89632.4589858738,43198.6955727754,3.7586161130718687,3.7575903515733233
89632.62820622574,43198.62475352278,3.760551414296705,3.753871115312455
89632.79806841773,43198.555426323415,3.7614766685251295,3.7256775985137685
89632.96933042267,43198.48927134199,3.7604797085398687,3.6993503525281652
89633.14253151741,43198.42767800603,3.757228615118826,3.678072641108556
89633.31761089408,43198.37123798325,3.7522247838737552,3.6640595286380466
89633.4944057302,43198.32040732209,3.745749942333637,3.658982571715755
89633.67275320341,43198.27564207098,3.7374066107909973,3.66397475289898
89633.8524904912,43198.237398278354,3.7255284825311272,3.6793273310717853
89634.03345477124,43198.20613199264,3.70652036236726,3.70398426593845
89634.21542507934,43198.18170173673,3.69173907103946,3.700933327588186
89634.397914713,43198.16123502645,3.6706113629721595,3.7022905799224097
89634.58036109254,43198.141079583875,3.6446493570641936,3.704987237152491
89634.76220163237,43198.11758307113,3.6187782851547365,3.705833132832545
89634.94291944399,43198.08740609477,3.5991563639580164,3.70255384420415
89635.12243231128,43198.05018601305,3.5884810296800107,3.6950458769396826
89635.30089851517,43198.007207169976,3.586174145589099,3.6834516152896697
89635.47847888006,43197.959771328184,3.5902781715763163,3.667138654619963
89635.65533423032,43197.90918025032,3.599152556297007,3.645625878885999
89635.83162586909,43197.856734903544,3.6180302446422123,3.619093763449474
89636.00756463263,43197.80365395497,3.6358940651011014,3.5957264984817745
89636.18345334327,43197.751003235186,3.651631628819894,3.594015305539679
89636.3596048266,43197.699831954225,3.664605272679606,3.594073508923676
89636.5363319082,43197.651189322096,3.674490431110898,3.597374862860115
89636.71393571567,43197.606082692786,3.681038348274148,3.6052355507948226
89636.8924783953,43197.56466433084,3.684604696765327,3.617755615966175
89637.07179871331,43197.52628723372,3.6859466066027102,3.633860656919833
89637.25172686268,43197.490273723204,3.685527964780499,3.6522779161834054
89637.43209303632,43197.455946121096,3.683702996106516,3.6659688816382934
89637.6127274272,43197.42262674916,3.680886213733813,3.673588804057371
89637.79346022828,43197.38963792921,3.6776277556380594,3.681172188350737
89637.9741216325,43197.35630198302,3.6746156723938097,3.6880416341820976
89638.15454838866,43197.32196691166,3.672606019960589,3.6936570122130172
89638.33466107982,43197.28630909672,3.6720493709261164,3.6978568878165814
89638.51443823015,43197.249231876245,3.6731486622428777,3.700694279815576
89638.69385951846,43197.21064311092,3.6735761838796437,3.7021842491201324
89638.87290462352,43197.17045066146,3.6670460160244547,3.70230344778665
89639.05155322417,43197.12856238854,3.6625499742363097,3.7009886839070343
89639.22978499917,43197.084886152865,3.6602103581422876,3.698101872657659
89639.40757962735,43197.03932981513,3.660068025086725,3.693369936597205
89639.58492638414,43196.991843660624,3.6620216712625355,3.6864200791216697
89639.76200312456,43196.94321164019,3.6651172348190997,3.677744371957639
89639.93915998556,43196.89497932268,3.6678253363822924,3.6689165077612413
89640.1167534329,43196.848720255104,3.668842613249976,3.661976595364603
89640.29513993244,43196.80600798447,3.666733666249109,3.6590591717399774
89640.47466637932,43196.768373447456,3.65945666092168,3.669753893846657
89640.65509769323,43196.734756499776,3.656723728044239,3.686573535321141
89640.8352922529,43196.70006088039,3.65773053226948,3.700488492285062
89641.01416425408,43196.659454874476,3.666196102902105,3.7076736451372136
89641.19164167238,43196.61274136565,3.6822073839246143,3.709308335556859
89641.36811522597,43196.56183871255,3.6907920305641184,3.7077157881545486
89641.54397800102,43196.5086760998,3.6962065846765455,3.7043365041277445
89641.71962308379,43196.455182712,3.7017861627962754,3.7006087398696925
89641.89544356042,43196.40328769102,3.7055267636530353,3.698421669644701
89642.07183110173,43196.35422387461,3.7064315595998707,3.699325670925734
89642.24917237207,43196.306761187785,3.746258129759004,3.702767795568578
89642.42782648267,43196.25935698981,3.7861387944911877,3.707029914135491
89642.60775636141,43196.21393990385,3.81152157594948,3.68851420759277
89642.78861971841,43196.175112798366,3.820137259106999,3.681823476464797
89642.97006639904,43196.147547451714,3.816805219752446,3.6979573327390627
89643.15174624858,43196.13591564227,3.8088044827163166,3.7449975730993006
89643.33340692769,43196.14363153923,3.7984782828883845,3.838031045812872
89643.51551946314,43196.16480901193,3.788168570851317,3.9674244685029967
89643.69887927256,43196.189391243875,3.7808206138790283,4.07922592241269
89643.88406431515,43196.20892447925,3.7804187859138154,4.166984935933232
89644.0704739367,43196.22368874675,3.78514615687766,4.178734933315184
89644.25711271155,43196.23688941881,3.7913917125057695,4.147412523018702
89644.44298492961,43196.25173397548,3.796805172056261,4.113338874870031
89644.62709488081,43196.2714298968,3.8015322713221242,4.082376038185903
89644.80844685502,43196.29918466282,3.808027548452717,4.06442124669432
89644.98604514217,43196.33820575359,3.817392450704948,3.935380460182955
89645.15889403215,43196.391700649176,3.8224039319974557,3.7976836713905198
89645.32601238017,43196.46283587513,3.8048842029277807,3.7516812832092925
89645.48892820087,43196.5477227413,3.754946917846662,3.7508815211092412
89645.65450721186,43196.627464086596,3.720293487743332,3.7488199411126235
89645.82891360181,43196.68477937485,3.7179169221602084,3.7223157976998698
89646.00586095058,43196.73419694653,3.731050481984605,3.6635260460584913
89646.17359775666,43196.804391210906,3.732532204201438,3.62329633911218
89646.331419256,43196.89764177352,3.7159156650754377,3.613116703584615
