left_x,left_y,right_x,right_y,center_x,center_y,width,w_tr_left_m,w_tr_right_m
89625.65590483273,43199.358612700205,89631.76250298323,43203.64826145636,89628.6925139564,43201.49171303352,7.462682320907014,3.7109448934098848,3.751737427497129
89625.83605484452,43199.10662009462,89631.80589377644,43203.6097398667,89628.79958594749,43201.34204590903,7.47777136283011,3.7120944451857043,3.765676917644405
89626.03164490782,43198.86953556546,89631.84991357377,43203.56963610063,89628.9123251174,43201.196599647046,7.479518387551657,3.7031804856974704,3.776337901854187
89626.23410142798,43198.624584343466,89631.88666108994,43203.53843752059,89629.03047174093,43201.05551039479,7.489818674598514,3.705278450286893,3.7845402243116206
89626.4381939825,43198.37962204545,89631.92229605325,43203.50768688171,89629.15378536299,43200.918913926296,7.508157196497914,3.7178541932008766,3.790303003297037
89626.63694075018,43198.14308182394,89631.9650617971,43203.4687093123,89629.28203783225,43200.78694347998,7.533338040703988,3.739858691164121,3.7934793495398673
89626.82040639647,43197.92550983676,89632.02616318541,43203.41138674322,89629.41456016293,43200.65925658067,7.5627210168335335,3.768687440463704,3.7940335763698294
89626.9924272335,43197.7492895754,89632.11500092276,43203.32812854767,89629.54989703035,43200.53455216999,7.573916125781195,3.7813145178109058,3.792601607970289
89627.1437432102,43197.61142744769,89632.23464711454,43203.21697654593,89629.68658962297,43200.41133300668,7.572283886389592,3.782266386471398,3.7900174999181933
89627.2681871443,43197.49768924184,89632.38114532303,43203.08156016714,89629.8232305738,43200.2880567586,7.571126458315155,3.783437300290663,3.787689158024492
89627.38155341268,43197.394237264925,89632.53870718996,43202.93582353217,89629.95845800496,43200.163233658524,7.570033912729187,3.7825623994155992,3.787471513313588
89627.50845797686,43197.27837033021,89632.68277018995,43202.80255634538,89630.09219637889,43200.036814301326,7.5690249047447455,3.7795128352582217,3.7895120694865234
89627.66619051227,43197.133386122725,89632.79601413052,43202.69861191336,89630.22604433268,43199.91051137039,7.568806276756378,3.776940060826951,3.7918662159294274
89627.85996188787,43196.954461108704,89632.87320670557,43202.62890324284,89630.36170795136,43199.78616508419,7.5717842768984,3.77852891625878,3.7932553606396198
89628.09033265784,43196.74705420124,89632.91641335016,43202.59055682377,89630.5008101721,43199.66568653236,7.5787583250005355,3.78534232679647,3.793415998204066
89628.37628709832,43196.55427538807,89632.93379917475,43202.5750322736,89630.64469192259,43199.55096783322,7.551187310719075,3.7584339900464023,3.7927533206726727
89628.67927098904,43196.35162092864,89632.93480344245,43202.57335669814,89630.79378680798,43199.44311518391,7.537874531159867,3.7454657759590573,3.79240875520081
89628.99475189703,43196.142345863525,89632.92395812062,43202.58025312219,89630.94811580396,43199.34290030517,7.542235173937559,3.7495572121018435,3.7926779618357154
89629.31948727257,43195.93113137559,89632.90552814583,43202.58929513825,89631.10764122239,43199.25118971593,7.562462154296512,3.7709789089175065,3.791483245379005
89629.65994637161,43195.77149568212,89632.8944064314,43202.58719378128,89631.27215870433,43199.16876960213,7.544234385090598,3.7604120377117116,3.7838223473788863
89629.97415925153,43195.64574744641,89632.91773227794,43202.568745355806,89631.44058910199,43199.0946470841,7.5228001578719885,3.7477093293299055,3.775090828542083
89630.23924178048,43195.540349113966,89632.99307119095,43202.53613518875,89631.61150085462,43199.02641919523,7.518284327299223,3.7464355830628846,3.771848744236338
89630.4522721989,43195.4550523364,89633.12090727608,43202.483160413634,89631.78371670649,43198.96154077005,7.517706852518987,3.750760671125573,3.7669461813934144
89630.61691784613,43195.388147662976,89633.29739208633,43202.41161395834,89631.95622093919,43198.89743056271,7.517580791354058,3.756168159902461,3.761412631451598
89630.7490967346,43195.33404859434,89633.50629320272,43202.327229412986,89632.1280443188,43198.83152411365,7.5170945401871,3.7594988293873413,3.7575957107997584
89630.8787682886,43195.28147254048,89633.7176204378,43202.24134068523,89632.29862864639,43198.76247210128,7.5165714336575515,3.7594363111907927,3.7571351224667584
89631.0316545981,43195.21969348083,89633.90575902368,43202.16466764071,89632.46846466775,43198.69159524432,7.5161920099542705,3.7574625788655216,3.758729431088749
89631.21881498158,43195.14726235722,89634.06087613819,43202.1017645134,89632.63825680928,43198.62061332667,7.512816506364414,3.752196964340515,3.7606195420238997
89631.44865071961,43195.084521944766,89634.18243921823,43202.05284246599,89632.80871324376,43198.55124637764,7.485391802838672,3.7239694363795106,3.761422366459161
89631.70700301195,43195.01357581238,89634.27544916625,43202.01546038345,89632.9804877116,43198.48522003061,7.458103190117008,3.6978475980252097,3.7602555920917986
89631.98381457271,43194.93808432715,89634.34958488739,43201.98543787398,89633.15399338759,43198.42389312716,7.433845653218938,3.676979935901809,3.7568657173171287
89632.27097341241,43194.86045867164,89634.41302987198,43201.95960406464,89633.32925797503,43198.36779377458,7.415272832945384,3.663518218845118,3.7517546141002662
89632.56581523815,43194.78116357455,89634.46877491164,43201.93669484499,89633.50622868168,43198.31733845375,7.404247651264093,3.659085981641973,3.7451616696221204
89632.86845160511,43194.70027611608,89634.51721847041,43201.91568225523,89633.68482037626,43198.27296640707,7.401386216771829,3.664774738763859,3.736611478007971
89633.17744593656,43194.61908632573,89634.56054222365,43201.89390289914,89633.86490975687,43198.23513619053,7.405127380287407,3.680818268942317,3.7243091113450904
89633.48199491222,43194.544122011466,89634.61099999267,43201.866626951785,89634.04632792262,43198.20431040884,7.409030373321592,3.703437707169183,3.7055926661524086
89633.75919819452,43194.509121451134,89634.69698473946,43201.84064507625,89634.2287625506,43198.18017185821,7.391257150824681,3.7009595749983486,3.6902975758263326
89633.97684703101,43194.48286544455,89634.84249620188,43201.80307494233,89634.41165694862,43198.15974583456,7.371215339301248,3.702500380399406,3.668714958901842
89634.1249201341,43194.46415013624,89635.05624010645,43201.75251716178,89634.59455347629,43198.13934253336,7.347628923016956,3.705076872606222,3.642552050410734
89634.21239152685,43194.45295303958,89635.3280682868,43201.68997682941,89634.77699419903,43198.11526128669,7.322516505128187,3.7055738927055337,3.6169426124226534
89634.2688388849,43194.44722300693,89635.62857948596,43201.619336740005,89634.95839224257,43198.08432958144,7.299870540112269,3.701895199410226,3.597975340702043
89634.32921654123,43194.442135265,89635.92451216097,43201.54732831039,89635.13846925973,43198.04643447688,7.2820832408513825,3.6940306943948342,3.5880525464565483
89634.4119147287,43194.43393849863,89636.19914000868,43201.479209185,89635.3172753053,43198.00291790092,7.268425774949707,3.6820227793469167,3.5864029956027896
89634.5210459211,43194.421638551015,89636.44920203666,43201.41695962905,89635.4949846327,43197.95510717039,7.256190666675039,3.6652362949861956,3.5909543716888437
89634.65646147725,43194.40540456954,89636.67548086721,43201.36253232309,89635.67186067966,43197.904292257525,7.2441746166516685,3.6432472594388674,3.600927357212801
89634.81692689403,43194.38561462309,89636.88052098702,43201.32116975096,89635.8482264286,43197.85172916456,7.236044880485888,3.6162865960286386,3.61975828445725
89634.99772507187,43194.35275052823,89637.06308179158,43201.28460408573,89636.0244186602,43197.79858611843,7.233000215837759,3.595536488341683,3.6374637274960757
89635.19423143937,43194.29579416503,89637.22380315329,43201.25271802961,89636.2007559139,43197.745927529286,7.246927003877454,3.593954889669725,3.6529721142077296
89635.41104815944,43194.23290352991,89637.36323246964,43201.22547629005,89636.37754658713,43197.694815708695,7.259965384684484,3.5942948048730408,3.665670579811443
89635.64522822718,43194.16521128913,89637.48443444612,43201.20211911672,89636.55507239408,43197.64632568958,7.273290265745478,3.5980514000029404,3.6752388657425383
89635.88801020196,43194.09548542266,89637.5966627264,43201.18029802646,89636.73354264717,43197.6014423266,7.287939563437785,3.606474584440057,3.6814649789977283
89636.1275037627,43194.02696608536,89637.71246473244,43201.157208889934,89636.91289496866,43197.56021886189,7.304277084549229,3.619490921279592,3.6847861632696373
89636.35630565972,43193.96143233663,89637.83965300943,43201.13149472512,89637.09291330757,43197.522002493,7.321892789084943,3.6359662629481884,3.685926526136755
89636.5722685646,43193.89938929962,89637.98045524121,43201.10298242365,89637.27340980385,43197.486107251854,7.339941662761335,3.654605957724356,3.6853357050369793
89636.7763685203,43193.84815037645,89638.1351290003,43201.0717379401,89637.45422389865,43197.45184400841,7.350268521067127,3.6668918319162036,3.683376689150924
89636.96789192174,43193.80508061419,89638.30361579094,43201.03780454031,89637.63521438492,43197.41852291749,7.355029139726749,3.674545488784176,3.680483650942573
89637.14599712826,43193.76490267906,89638.48562277212,43201.0012455737,89637.81625127884,43197.385454365474,7.359297205202609,3.6820694100415685,3.677227795161041
89637.31192635746,43193.72736014444,89638.67979540887,43200.96230396718,89637.99720765157,43197.35194911864,7.363116042817317,3.688801388518321,3.6743146542989957
89637.46900555673,43193.69180101137,89638.88274176518,43200.92159501139,89638.17796268771,43197.3173759014,7.366720528817462,3.6942405845822788,3.672479944235183
89637.62126663067,43193.65739993504,89639.09043021325,43200.879890569886,89638.3584537436,43197.28145050536,7.370401115467692,3.698268158981666,3.672132956486025
89637.77096392766,43193.62364226561,89639.3006417957,43200.83765209453,89638.53865044063,43197.24407709205,7.374405209355139,3.7009310875415617,3.673474121813577
89637.91868286268,43193.590358032,89639.51195325154,43200.79103744032,89638.71852086282,43197.205164154286,7.374841996505957,3.7022377190249607,3.6726042774809966
89638.06451394121,43193.55751285255,89639.72347964444,43200.73682411621,89638.89803075437,43197.164621019314,7.368492208382829,3.7021587762462755,3.6663334321365535
89638.20854317579,43193.52511823872,89639.9367082428,43200.68217954201,89639.07714342339,43197.12235805812,7.362749554202146,3.700621665126621,3.662127889075525
89638.35139840432,43193.49313537337,89640.15110216649,43200.6272044225,89639.25581966068,43197.078286919386,7.3575726180090975,3.697470678296092,3.6601019397130057
89638.49648837022,43193.46091523436,89640.36339295539,43200.57265047377,89639.43401767653,43197.032320789054,7.352694121583257,3.6924109787873554,3.660283142795901
89638.65290226974,43193.42627551677,89640.56465551873,43200.52083262688,89639.61172660853,43196.984497132486,7.347621456876748,3.685143847829834,3.6624776090469147
89638.83202034548,43193.38619461385,89640.74354596621,43200.474916703686,89639.78918876711,43196.93576253199,7.341928293415366,3.67635740820547,3.6655708852098954
89639.0403774734,43193.3388960381,89640.89335101916,43200.43677060671,89639.96682328843,43196.88766285199,7.3357572446962305,3.6677033341779124,3.6680539105183185
89639.27829357232,43193.284567076655,89641.0135179618,43200.40611002202,89640.14503861254,43196.84177175712,7.329896152369476,3.6612773868510398,3.668618765518436
89639.53553455613,43193.2256692189,89641.11409149345,43200.37931772284,89640.32418569531,43196.799682977005,7.3257442572475675,3.659992481206433,3.6657517760411342
89639.77781367286,43193.16282343221,89641.22841417315,43200.34922973535,89640.50446579406,43196.76275694631,7.331348945822438,3.672539259306795,3.658809686515643
89639.96144530486,43193.11169601428,89641.40295968218,43200.314658117015,89640.68539171875,43196.729088845605,7.345789729737276,3.6891231080428244,3.6566666216944514
89640.07330873159,43193.07732728445,89641.64928659814,43200.26730453977,89640.86592445134,43196.69341389515,7.360671108522156,3.7019349069428493,3.6587362015793063
89640.14918832936,43193.05335736144,89641.93153534572,43200.21147462517,89641.04511325693,43196.651538801634,7.3766797170826415,3.7080441141399296,3.668635602942712
89640.23582739334,43193.02854365279,89642.20338191777,43200.155570538576,89641.22286010059,43196.60388381958,7.393631248423996,3.7090822144373226,3.6845490339866735
89640.3556729235,43192.99525292608,89642.43906138361,43200.09471197014,89641.39954104453,43196.55239915672,7.3988395167122105,3.707148494499569,3.6916910222126416
89640.51284459476,43192.951129334855,89642.63663390778,43200.04075372405,89641.57565536327,43196.49899963738,7.4008955556743405,3.7036401570840543,3.697255398590286
89640.70436678836,43192.89683334997,89642.79986257218,43199.99671939785,89641.75176229428,43196.44557586769,7.402667389050924,3.700082540013147,3.7025848490377764
89640.91764223002,43192.83635572401,89642.94119547041,43199.95870196066,89641.92841506795,43196.39399398101,7.404227416245048,3.6984390893389687,3.705788326906079
89641.13145912865,43192.77580928496,89643.08358249068,43199.926822549394,89642.10582573348,43196.34507880788,7.4126767317141695,3.6998750259734736,3.7128017057406963
89641.33892778368,43192.71638704868,89643.24127278931,43199.92797064259,89642.2836297498,43196.29760713623,7.458274227518985,3.7037277330100515,3.7545464945089337
89641.56713825124,43192.65707343538,89643.37729978243,43199.9300678595,89642.46156461323,43196.25062966668,7.49487375920589,3.703193878878061,3.791679880327829
89641.85738497741,43192.60429512091,89643.45004174275,43199.93317598808,89642.64023443202,43196.20656691328,7.499936689136588,3.6863552914347353,3.813581397701852
89642.22853311863,43192.53459602311,89643.43443557706,43199.93942392758,89642.8205003331,43196.16968366222,7.502378092012569,3.682972620994969,3.8194054710176
89642.6866258418,43192.45399269931,89643.32854229823,43199.94533475111,89643.00275101593,43196.14465224873,7.518793954521872,3.7041737318133046,3.8146202227085673
89643.19795191803,43192.37887247988,89643.17527522186,43199.94256980497,89643.18647716517,43196.136532341945,7.563731330017638,3.7576773822309475,3.8060539477866904
89643.66592987235,43192.29459174369,89643.07995073419,43199.9323525805,89643.37008965961,43196.14749002844,7.660206418969377,3.8642394625719123,3.795966956397465
89643.99582371768,43192.20312505066,89643.13250757629,43199.93290259125,89643.55273875805,43196.1698984251,7.777838748391478,3.9914427573968143,3.7863959909946634
89644.18047284527,43192.12034210968,89643.32438043562,43199.95151689022,89643.7352404598,43196.19354129373,7.877829184796022,4.097460612381913,3.7803685724141096
89644.29962954979,43192.05240529381,89643.57315315929,43199.97710529871,89643.9183554027,43196.211782388535,7.957929260573877,4.176815508415158,3.7811137521587193
89644.43450807779,43192.06553600932,89643.80006795308,43200.00005327174,89644.10184306018,43196.22590212624,7.9598416102008445,4.173644958637618,3.786196651563227
