s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
312,89628.6925139564,43201.4917130335,0.5459152375,-0.0116086169,9.6940000000,0.0000000000
311,89628.0804376350,43202.4992477219,0.5596004310,-0.0053844122,9.6940000000,0.0000000000
310,89627.4409233971,43203.4898044271,0.5586101791,0.0006320128,9.6940000000,0.0000000000
309,89626.8307382575,43204.4987183946,0.5581102162,-0.0034665841,9.6940000000,0.0000000000
308,89626.1921981696,43205.4899407658,0.5667841610,-0.0075226331,9.6940000000,0.0000000000
307,89625.5645945314,43206.4881314895,0.5758497341,-0.0042610002,9.6940000000,0.0000000000
306,89624.9082053514,43207.4675878637,0.5768312034,0.0050238368,9.6940000000,0.0000000000
305,89624.2787257717,43208.4644183967,0.5640045876,0.0007130617,9.6940000000,0.0000000000
304,89623.6477200474,43209.4603168613,0.5751498600,-0.0031670804,9.6940000000,0.0000000000
303,89622.9961076233,43210.4429786815,0.5714723255,0.0000031051,9.6940000000,0.0000000000
302,89622.3723793363,43211.4435922039,0.5751425384,-0.0155250787,9.6940000000,0.0000000000
301,89621.7136571666,43212.4213120195,0.6080749233,-0.0176490636,9.6940000000,0.0000000000
300,89621.0254252766,43213.3787118333,0.6167545737,0.0037489575,9.6940000000,0.0000000000
299,89620.3497260376,43214.3449948212,0.5992343254,0.0265733303,9.6940000000,0.0000000000
298,89619.6955062362,43215.3258465916,0.5540954813,0.0399332701,9.6940000000,0.0000000000
297,89619.1098875128,43216.3487600249,0.5051385029,0.0072177350,9.6940000000,0.0000000000
296,89618.5547752357,43217.3886759065,0.5370816217,-0.0275603010,9.6940000000,0.0000000000
295,89617.9049005215,43218.3723513376,0.5700482219,0.0020696122,9.6940000000,0.0000000000
294,89617.2824313338,43219.3734985005,0.5322022592,0.0227699210,9.6940000000,0.0000000000
293,89616.7087500052,43220.4035839832,0.5163735620,-0.0134309590,9.6940000000,0.0000000000
292,89616.1183733931,43221.4237752156,0.5638681926,-0.0333398591,9.6940000000,0.0000000000
291,89615.4501219334,43222.3939777005,0.5948874210,-0.0118209626,9.6940000000,0.0000000000
290,89614.7979498837,43223.3751666819,0.5917201638,0.0018104947,9.6940000000,0.0000000000
289,89614.1353121075,43224.3503948340,0.5906197609,0.0045949333,9.6940000000,0.0000000000
288,89613.4847805364,43225.3337948494,0.5808848491,0.0203287411,9.6940000000,0.0000000000
287,89612.8412402788,43226.3217615296,0.5426813801,0.0259671796,9.6940000000,0.0000000000
286,89612.2679258724,43227.3515271131,0.5196993256,-0.0051150086,9.6940000000,0.0000000000
285,89611.6709950462,43228.3670631964,0.5547345076,-0.0185075001,9.6940000000,0.0000000000
284,89611.0269451838,43229.3542768403,0.5633041880,-0.0010567221,9.6940000000,0.0000000000
283,89610.4121005004,43230.3603661980,0.5572257896,-0.0038282582,9.6940000000,0.0000000000
282,89609.7799074266,43231.3556483905,0.5723315676,-0.0068589513,9.6940000000,0.0000000000
281,89609.1349448073,43232.3427177986,0.5734001865,0.0107196108,9.6940000000,0.0000000000
280,89608.5006375435,43233.3366287109,0.5470532468,0.0249462557,9.6940000000,0.0000000000
279,89607.9086437543,43234.3561564020,0.5145896900,0.0692565847,9.6940000000,0.0000000000
278,89607.3403342346,43235.3888100508,0.3837816449,0.1753135066,9.6940000000,0.0000000000
277,89607.0365554730,43236.5158368797,0.1062650853,0.1971548018,9.6940000000,0.0000000000
276,89607.0945883150,43237.6926731888,-0.0730127318,0.1520803476,9.6940000000,0.0000000000
275,89607.2081947071,43238.8624704965,-0.2515651185,0.1795126645,9.6940000000,0.0000000000
274,89607.6726238385,43239.9417533025,-0.4898721550,0.1770468926,9.6940000000,0.0000000000
273,89608.3117119464,43240.9319898022,-0.6668018151,0.1840455073,9.6940000000,0.0000000000
272,89609.1222361782,43241.7835558906,-0.9212464276,0.2156023614,9.6940000000,0.0000000000
271,89610.1584543672,43242.3345803719,-1.1667816864,0.1685755203,9.6940000000,0.0000000000
270,89611.2773410343,43242.7049355508,-1.3163544147,0.1348863682,9.6940000000,0.0000000000
269,89612.4341699199,43242.9264458503,-1.4839564774,0.2085094916,9.6940000000,0.0000000000
268,89613.6087579512,43242.9079059121,-1.8043157116,0.2322493528,9.6940000000,0.0000000000
267,89614.6632864990,43242.3962309275,-2.0161110868,0.1683310899,9.6940000000,0.0000000000
266,89615.7284471572,43241.8962003670,-2.1996834979,0.1873283382,9.6940000000,0.0000000000
265,89616.5273234690,43241.0403086404,-2.4479083544,0.1454216591,9.6940000000,0.0000000000
264,89617.2283070184,43240.0925064521,-2.5408171502,0.0648745330,9.6940000000,0.0000000000
