idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,3.660940906132043,-3.729987112386128,3989,3984,89630.39772220972,43124.6088479713,89636.45195564943,43128.84819632126
1,3.584082199573208,-3.763531629538761,3973,3973,89629.6969878667,43125.764047706085,89635.89862275109,43129.70449866281
2,3.5573238718870392,-3.7584026155104637,3960,3961,89629.04249301196,43126.84410692646,89635.29596297594,43130.640680045464
3,3.572590566471642,-3.720304142644809,3946,3948,89628.41610793659,43127.860130394176,89634.6500237012,43131.644916712845
4,3.6041713351074507,-3.661266464223118,3933,3935,89627.7935208772,43128.843756534705,89633.98013781135,43132.653265338486
5,3.6258432779231393,-3.606104219677698,3920,3923,89627.18106235069,43129.812052178306,89633.30061055052,43133.66590666933
6,3.6455988506505808,-3.5973510919987053,3910,3908,89626.55697545137,43130.769059491184,89632.64561386238,43134.6919163802
7,3.646444578371708,-3.6343423175655816,3895,3896,89625.92231650381,43131.729588832866,89632.01256964378,43135.71941019668
8,3.6392283616266465,-3.6757717544459854,3884,3882,89625.29098181133,43132.686098651655,89631.3731860576,43136.750089080386
9,3.6625791344752057,-3.7050833289742884,3871,3869,89624.6206665698,43133.652889939345,89630.74387542173,43137.75029930758
10,3.702162610562161,-3.728701073952146,3856,3858,89623.93571633297,43134.621042656014,89630.11950006355,43138.74154673576
11,3.740856298283725,-3.7496694660866687,3843,3846,89623.24804192562,43135.594015875606,89629.49558744248,43139.72634587713
12,3.784490212883263,-3.759935265670304,3830,3833,89622.55666043829,43136.57619432175,89628.87391327886,43140.70059395682
13,3.841451291608912,-3.758634547333038,3819,3818,89621.84872126096,43137.582014469284,89628.26769022517,43141.65118418751
14,3.756963056710455,-3.744878295559733,3808,3802,89621.2691959926,43138.66926617196,89627.65901243105,43142.59964396012
15,3.6755221996361302,-3.7225787195163837,3793,3793,89620.70257389276,43139.7482464652,89627.04400087996,43143.558522173844
16,3.641574384628475,-3.6856458290876604,3778,3782,89620.10792994153,43140.787510596645,89626.40868497937,43144.52764990066
17,3.6226132320382898,-3.643747786295685,3768,3767,89619.52062724937,43141.79324682174,89625.75556720099,43145.524938964525
18,3.596476539726743,-3.6511152812936434,3756,3752,89618.95150838439,43142.76947738645,89625.12013986235,43146.574155151146
19,3.5701397792275684,-3.673220805455992,3740,3742,89618.37681898108,43143.74133753094,89624.48901404446,43147.62815423189
20,3.648154170712181,-3.69868059337642,3730,3727,89617.69840843945,43144.67336012551,89623.86817816105,43148.66208456237
21,3.7113816801746107,-3.7207192863962897,3715,3716,89617.01177258909,43145.62713946526,89623.24853502354,43149.6692823516
22,3.7465820804620464,-3.702303152401068,3702,3704,89616.34007791725,43146.60973551587,89622.60368905833,43150.6412447476
23,3.7785135304018165,-3.6758558977967337,3690,3691,89615.67926456337,43147.59665395352,89621.95781619595,43151.61503832651
24,3.791414101746337,-3.689421433388892,3677,3677,89615.02497256716,43148.602246872,89621.3487603555,43152.59882144428
25,3.7317618704810167,-3.7058170833803836,3667,3662,89614.42698293184,43149.64560811319,89620.7387196472,43153.580015353284
26,3.6027472195668184,-3.685298625272874,3650,3653,89613.89875403668,43150.71569110694,89620.09323360081,43154.555487347105
27,3.5708117528241585,-3.6654185120574696,3639,3638,89613.3028737008,43151.692688849864,89619.41182834866,43155.571309939485
28,3.5340390720919816,-3.708545330048032,3627,3625,89612.69880842643,43152.65040967835,89618.74395071957,43156.63930469801
29,3.508406987405799,-3.7413721836652085,3613,3612,89612.06658645657,43153.6490901272,89618.10096309632,43157.66724848629
30,3.502278102715177,-3.7518833744040982,3599,3600,89611.3920815686,43154.71460973272,89617.49415886235,43158.637301593844
31,3.553002914828269,-3.7131038675850165,3585,3588,89610.65806310948,43155.87382273589,89616.95444540869,43159.50037450249
32,3.673263791752721,-3.648921236388326,3572,3576,89609.88350211587,43157.17201931527,89616.53034392082,43160.24348274601
33,3.8752641076734173,-3.4585208092467004,3558,3545,89609.12485437709,43158.65036534133,89616.11810144274,43160.859187807335
34,3.9117042238669204,-3.536699026244082,3550,3563,89608.71365497826,43160.38249529405,89616.08501427327,43161.4510331362
35,3.8782582575987887,-3.6573893539560616,3534,3537,89608.6685461982,43162.25652328701,89616.19472223194,43161.878820712736
36,3.9269983559578536,-3.729817440197169,3523,3532,89608.92440725896,43164.17357019875,89616.3174631952,43162.1811967247
37,3.9902887245430416,-3.807133308353833,3511,3507,89609.58495968954,43166.04511146394,89616.49792388949,43162.4380744071
38,3.963429764661056,-3.787619458837166,3496,3502,89610.70012389182,43167.674742345225,89616.65166319681,43162.70906575827
39,3.9713950858316416,-3.7009128243974607,3485,3489,89612.1207744626,43169.06163038557,89616.84763755149,43163.018363553114
40,3.9623481804039447,-3.7607645957836646,3474,3467,89613.81602588191,43170.107142570996,89617.18862802001,43163.15933530742
41,4.024243012030665,-3.7375979507152306,3458,3461,89615.67662677796,43170.83512406435,89617.479206357,43163.28549612702
42,4.034550862713661,-3.652650332338775,3444,3423,89617.66282849427,43171.08701752371,89617.75465828124,43163.40036483847
43,4.1126800841680256,-3.7328641003865535,3434,3421,89619.68355957993,43170.95385229578,89618.01272002452,43163.28828912456
44,4.271820380995339,-3.7457665992074825,3426,3436,89621.64862039291,43170.45948874771,89618.26774222178,43163.189594403426
45,4.101839429131018,-3.6848382135233666,3407,3396,89623.24239006233,43169.339629022965,89618.6411786139,43163.057813846004
46,3.9626120277954686,-3.5991126899674093,3400,3413,89624.52766570334,43168.090354065054,89619.14524763514,43162.779115372774
47,3.7795015038819644,-3.7757611209675326,3383,3383,89625.49126490923,43166.764594027605,89619.51312928244,43162.144649465365
48,3.713906502328934,-3.933334941757137,3373,3367,89626.32496711276,43165.53131322112,89619.92575749189,43161.34437902862
49,3.7232723245570543,-3.9713941197490388,3356,3358,89627.06791706487,43164.39263553681,89620.46716575748,43160.438147723275
50,3.778844235475476,-3.9627369096312557,3342,3346,89627.75346302647,43163.34008919294,89621.06432124504,43159.44297989832
51,3.815101477445937,-3.9394563231805457,3329,3333,89628.37802867245,43162.34555262924,89621.69745198516,43158.40815986134
52,3.819750033612693,-3.88313145172608,3319,3316,89628.94278459347,43161.37015638065,89622.37506069166,43157.34531030574
53,3.791619323181238,-3.850806871671928,3306,3304,89629.51538539153,43160.38028654411,89623.03942991616,43156.322124543316
