s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
312,89634.2447279998,43125.4697748933,2.1560286011,0.0157907134,9.6940000000,0.0000000000
311,89633.6877512856,43126.3102756823,2.1408027285,0.0136840933,9.6940000000,0.0000000000
310,89633.1067178756,43127.2452037903,2.1276528788,0.0051900580,9.6940000000,0.0000000000
309,89632.4758092011,43128.2569232266,2.1278445900,-0.0024861246,9.6940000000,0.0000000000
308,89631.8944725630,43129.1915066591,2.1338320640,-0.0050376311,9.6940000000,0.0000000000
307,89631.3497603380,43130.0409422067,2.1379519760,-0.0073823424,9.6940000000,0.0000000000
306,89630.7610197851,43130.9709709670,2.1494089398,-0.0053429059,9.6940000000,0.0000000000
305,89630.1961159937,43131.8071190578,2.1492137463,0.0091113874,9.6940000000,0.0000000000
304,89629.6579535526,43132.6604352150,2.1310337974,0.0025709419,9.6940000000,0.0000000000
303,89629.1238939427,43133.5164376609,2.1440246142,-0.0091347187,9.6940000000,0.0000000000
302,89628.5636134614,43134.3556866598,2.1497244578,0.0045875081,9.6940000000,0.0000000000
301,89628.0699422316,43135.1288782196,2.1341762022,0.0007504732,9.6940000000,0.0000000000
300,89627.5838324918,43135.9067879705,2.1491301238,-0.0260652317,9.6940000000,0.0000000000
299,89627.0674415572,43136.6645960505,2.1819724371,-0.0225257429,9.6940000000,0.0000000000
298,89626.5312023173,43137.4091054366,2.1904633822,0.0005499118,9.6940000000,0.0000000000
297,89626.0019274348,43138.1581542618,2.1809676987,0.0163059044,9.6940000000,0.0000000000
296,89625.4795984406,43138.9131715349,2.1615128760,0.0344875739,9.6940000000,0.0000000000
295,89624.9283474152,43139.7590933377,2.1156747206,0.0449162155,9.6940000000,0.0000000000
294,89624.4339751540,43140.6383936045,2.0688315801,0.0081794898,9.6940000000,0.0000000000
293,89623.9645975575,43141.5314934932,2.0991859774,-0.0384637890,9.6940000000,0.0000000000
292,89623.4178331915,43142.3790903848,2.1463009757,-0.0102667739,9.6940000000,0.0000000000
291,89622.8664113863,43143.2242338868,2.1211062784,0.0290987528,9.6940000000,0.0000000000
290,89622.3149485738,43144.1766902754,2.0838757724,0.0104138667,9.6940000000,0.0000000000
