s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
312,89628.6925139564,43201.4917130335,-0.8494806837,0.0445581956,9.6940000000,0.0000000000
311,89629.4694264856,43200.6082538107,-0.7970590834,0.0764737401,9.6940000000,0.0000000000
310,89630.3363295995,43199.8091064892,-0.6695918403,0.1328763554,9.6940000000,0.0000000000
309,89631.3092005416,43199.1519069894,-0.4852745576,0.1311889535,9.6940000000,0.0000000000
308,89632.4053585773,43198.7180381602,-0.3627299409,0.0982581330,9.6940000000,0.0000000000
307,89633.5125072169,43198.3157019109,-0.2537145282,0.0715420904,9.6940000000,0.0000000000
306,89634.6753454227,43198.1294251018,-0.1949594586,0.0022500878,9.6940000000,0.0000000000
305,89635.8216787756,43197.8597151525,-0.2484183563,-0.0136613198,9.6940000000,0.0000000000
304,89636.9589978979,43197.5501587615,-0.2271451863,0.0193305472,9.6940000000,0.0000000000
303,89638.1171586277,43197.3291516154,-0.2028756305,-0.0031188120,9.6940000000,0.0000000000
302,89639.2683993776,43197.0751019814,-0.2344985846,-0.0175382468,9.6940000000,0.0000000000
301,89640.4101418146,43196.7813725866,-0.2442221497,-0.0072656429,9.6940000000,0.0000000000
300,89641.5553471614,43196.5052029265,-0.2516228821,0.0490881309,9.6940000000,0.0000000000
299,89642.6925656596,43196.1946268473,-0.1285393355,0.1368312278,9.6940000000,0.0000000000
298,89643.8631245821,43196.2069181483,0.0667798990,0.1609880027,9.6940000000,0.0000000000
297,89645.0312483574,43196.3510364165,0.2488015946,0.1681910503,9.6940000000,0.0000000000
296,89646.1251335445,43196.7816171978,0.4593164633,0.1551729823,9.6940000000,0.0000000000
295,89647.1337200119,43197.3909141307,0.6127718144,0.0629192380,9.6940000000,0.0000000000
294,89648.0431167085,43198.1300604253,0.6068343512,0.0307344002,9.6940000000,0.0000000000
293,89649.0584782865,43198.7271144698,0.6847856409,0.1664985963,9.6940000000,0.0000000000
292,89649.8375967144,43199.5954459280,0.9925765356,0.2077045476,9.6940000000,0.0000000000
291,89650.3249735913,43200.6677255678,1.1661039827,0.0445557998,9.6940000000,0.0000000000
290,89650.7652796752,43201.7612324037,1.0975546401,-0.0003758524,9.6940000000,0.0000000000
289,89651.3936053471,43202.7546900020,1.1652227396,0.1259581282,9.6940000000,0.0000000000
288,89651.6635699422,43203.8533023617,1.3843323410,0.1490493872,9.6940000000,0.0000000000
287,89651.8187005537,43205.0079780099,1.5069983074,0.1166762506,9.6940000000,0.0000000000
286,89651.8125611835,43206.1854914667,1.6569981337,0.0899096035,9.6940000000,0.0000000000
285,89651.6166728750,43207.3458295249,1.7179769900,0.0098388287,9.6940000000,0.0000000000
284,89651.4676268780,43208.5121559973,1.6801399865,-0.0047176614,9.6940000000,0.0000000000
283,89651.3601195896,43209.6827735846,1.7068858422,-0.0007674154,9.6940000000,0.0000000000
282,89651.1486950745,43210.8412146101,1.6783359513,-0.0368663987,9.6940000000,0.0000000000
281,89651.1078585511,43212.0194735888,1.6202395889,-0.0278875180,9.6940000000,0.0000000000
280,89651.0321697201,43213.1960427482,1.6125852872,-0.0308969561,9.6940000000,0.0000000000
279,89651.0094052422,43214.3740665463,1.5474262654,-0.0226897756,9.6940000000,0.0000000000
278,89651.0870814355,43215.5452756895,1.5592671595,-0.0341581404,9.6940000000,0.0000000000
277,89651.0364659299,43216.7211127827,1.4672502020,-0.1076436602,9.6940000000,0.0000000000
