idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,5.81260409954111,-2.189750923246594,13,3983,89632.26603435924,43122.075761722685,89636.4010486253,43128.92699102335
1,5.477352079499312,-2.6454550432269253,6,3971,89631.57232301414,43122.89075243725,89635.83222790393,43129.80690786371
2,5.062179593624154,-3.0940347080327903,3997,3960,89630.8768284196,43123.81608482369,89635.2624272872,43130.69288308356
3,4.5188767579313875,-3.522101763296658,3984,3949,89630.22869790014,43124.88755170181,89634.69604593838,43131.57336781385
4,4.031869241857193,-3.88962592781426,3972,3938,89629.6169286288,43125.89605686639,89634.15966044195,43132.38556173171
5,3.56752237396811,-4.231505944438653,3959,3929,89629.00553696744,43126.90523471412,89633.61665699656,43133.1951007531
6,3.141501067633399,-4.5494796825755515,3946,3918,89628.39178896208,43127.898560612135,89633.07896687218,43133.99622804642
7,2.758789872914239,-4.872749743421266,3933,3906,89627.77621226588,43128.87112706947,89632.57692566322,43134.80354207453
8,2.4109929458122394,-5.161398145020782,3920,3898,89627.17142439762,43129.827248644506,89632.10181481793,43135.574626928195
9,2.120108053337713,-5.406406624466165,3910,3889,89626.57060303219,43130.74840177389,89631.65813582188,43136.29506142714
10,1.871752744615586,-5.6073167552548355,3896,3878,89625.95784587042,43131.67572553991,89631.22497520811,43136.98551170547
11,1.6706617148210465,-5.768861080482267,3885,3870,89625.3582070202,43132.584186871965,89630.80785150315,43137.64855992608
12,1.5363800752264616,-5.895074651265393,3874,3863,89624.75861806393,43133.457857904024,89630.4024957926,43138.292437879136
13,1.4599417636697576,-5.992428297458267,3860,3856,89624.15253318496,43134.31404946702,89629.9914913817,43138.94485789586
14,1.4190083485170084,-6.064644877910656,3848,3847,89623.55221422837,43135.16369030659,89629.5566059098,43139.63049522167
15,1.4058436283024849,-6.115766247234605,3838,3837,89622.95472788846,43136.01045764943,89629.09389873075,43140.35616777425
16,1.4117146112992944,-6.150692443214424,3827,3827,89622.37189434457,43136.83874070467,89628.61380824933,43141.1082267702
17,1.4228012416415312,-6.176111462819944,3818,3814,89621.79738970773,43137.66842527112,89628.10972104278,43141.89902184921
18,1.3188283264116722,-6.193275145974446,3809,3801,89621.32326143936,43138.56641566749,89627.57667734478,43142.72892549855
19,1.215047640929323,-6.210545192558788,3799,3793,89620.85769543219,43139.45176673155,89627.0301664057,43143.579723975745
20,1.1250880585375493,-6.222575713716949,3783,3783,89620.3790603231,43140.324713094655,89626.46333843734,43144.44414542674
21,1.0559184837107707,-6.243484483351002,3774,3770,89619.8777779603,43141.18085561055,89625.88410700635,43145.328782209
22,0.9740419078434547,-6.304493495496257,3765,3756,89619.37564342725,43142.04189920079,89625.31759432731,43146.245504453305
23,0.881897362286879,-6.389199309317056,3755,3746,89618.87247940895,43142.90519604439,89624.77421422878,43147.15235661638
24,0.7936920224640218,-6.472644691607462,3739,3739,89618.36458647362,43143.75773491562,89624.24384461108,43148.02786055726
25,0.7959601687667225,-6.565065568427137,3731,3725,89617.76872903202,43144.57362520382,89623.72741658514,43148.8955162885
26,0.8010126769508722,-6.62844665912402,3718,3716,89617.16967095966,43145.39933805706,89623.23449250929,43149.6905856143
27,0.7979029131309341,-6.644054253569646,3707,3708,89616.60402107058,43146.2234867378,89622.78359239714,43150.37024748457
28,0.8261455784960401,-6.634029249687038,3696,3699,89616.02576908084,43147.07042074626,89622.38934372734,43150.96389299934
29,0.8901772391239429,-6.594897084581087,3685,3693,89615.45250600656,43147.9409887485,89622.05549410377,43151.46616758362
30,1.0014070013133174,-6.536856511199491,3675,3687,89614.88475507902,43148.8459372325,89621.76519730779,43151.92569883378
31,1.1339114939550416,-6.443817206558237,3666,3680,89614.37855817782,43149.730449082,89621.46886608697,43152.404305101314
32,1.257274721114674,-6.287329978425097,3650,3669,89613.91647934656,43150.67891723969,89621.09151959317,43153.01126745606
33,1.535240516809921,-6.05967736627731,3640,3660,89613.32932110323,43151.649539575126,89620.6261843198,43153.756329752025
34,1.8383221488016677,-5.80219807304687,3628,3654,89612.77309238735,43152.533071546444,89620.1723078457,43154.43810694279
35,2.2089776757998103,-5.5160221468365425,3615,3645,89612.16486864569,43153.49382981896,89619.71800761661,43155.114235307
36,2.6676311199699234,-5.2052047735340485,3601,3635,89611.50088221628,43154.54276154173,89619.2740305175,43155.791645240606
37,3.2268168785006726,-4.875887290008148,3588,3627,89610.79140982906,43155.66325135346,89618.85461011247,43156.4623859054
38,3.8846565938119526,-4.4943262084120255,3575,3618,89610.05218948537,43156.851542892386,89618.42593549062,43157.14773647691
39,4.613499095639154,-4.055196996866156,3560,3610,89609.32275214107,43158.15439250394,89617.98613026094,43157.85079491416
40,5.14162373991066,-3.562190495674468,3554,3601,89608.89982439224,43159.57024462666,89617.54444728972,43158.55689512727
41,5.698117763180729,-2.858676842764738,3546,3588,89608.64038717191,43161.34467134795,89616.9850923336,43159.45135951608
42,6.128648618815873,-2.0730166497282996,3528,3574,89608.69350113369,43163.10162239594,89616.4402806343,43160.40816355159
43,6.421840086485253,-1.4462596760876494,3519,3566,89609.13078167054,43164.862237615,89616.09134586526,43161.19378563019
44,6.997106276140176,-1.1101498602735567,3493,3537,89611.04971738612,43168.10126057594,89616.19100195807,43161.83270452118
45,6.848179407326304,-0.8730345669476889,3497,3500,89610.58940498986,43167.511715079476,89616.69481754907,43162.785079625115
46,6.947592220568165,-0.7963438796228159,3470,3468,89614.26418237465,43170.32743940445,89617.10956313855,43163.125192905456
47,7.035755184774949,-0.8315502393673795,3450,3421,89616.80417646552,43171.0958135414,89617.95626516968,43163.31332125072
48,6.850989051384824,-1.1478001610940398,3434,3394,89619.5779299378,43170.96595389459,89618.73320234595,43163.01189429202
49,6.783709858690636,-1.811343723453997,3428,3384,89621.19472183348,43170.62958034288,89619.46170445536,43162.21105334304
50,6.458290839992713,-2.779922095538839,3413,3364,89622.17751262829,43170.08885966463,89620.07411415222,43161.09328891603
