idx,ub,lb,left_boundary_idx,right_boundary_idx,left_x,left_y,right_x,right_y
0,3.7023388547642484,-3.8206289282996497,3997,9,89630.86118695747,43123.842043782926,89637.29070985732,43127.747972551515
1,3.7007001419873413,-3.6793079836345206,3986,3986,89630.2771013186,43124.80732686419,89636.53141679696,43128.72498660329
2,3.6674103413877575,-3.6789979053453825,3973,3973,89629.66387276383,43125.8186340479,89635.89357219823,43129.71229030967
3,3.6683930763393464,-3.6460756054414785,3960,3960,89629.05188259417,43126.82858267038,89635.25643496045,43130.7022091406
4,3.6444302756437956,-3.646547931777876,3947,3947,89628.45052620866,43127.80575353795,89634.60142865301,43131.7204390095
5,3.648222315211929,-3.6147550850290617,3934,3934,89627.83760745019,43128.774087474936,89633.92928364652,43132.729125001366
6,3.6170590862558445,-3.6139551393472056,3921,3922,89627.20929042442,43129.767537144144,89633.27029056553,43133.71111978184
7,3.634137813345923,-3.6087751463577287,3909,3908,89626.5403250747,43130.79428676776,89632.66146394263,43134.66616578207
8,3.656107654897891,-3.624331572916574,3895,3896,89625.91272665047,43131.744125545345,89632.02182179097,43135.704397242356
9,3.6536977339514207,-3.660263060085656,3883,3883,89625.25584818523,43132.739386477195,89631.40766119362,43136.695295880425
10,3.7128511699797935,-3.655467547145815,3870,3870,89624.58975705643,43133.69655746495,89630.77262217033,43137.70458686858
11,3.73688331774799,-3.695381102605303,3857,3857,89623.97949875383,43134.55906050089,89630.07952466485,43138.80502779928
12,3.7273315566992604,-3.765501816955788,3844,3844,89623.31770375578,43135.4954448406,89629.43005656413,43139.82923015041
13,3.731591924936187,-3.8125888692665066,3831,3832,89622.6011839365,43136.512925281066,89628.83092479958,43140.767921477825
14,3.7652130015068397,-3.8352747349794676,3818,3819,89621.8265427441,43137.617275148514,89628.2898205956,43141.61645672062
15,3.7181455399233516,-3.783114589426894,3807,3804,89621.18899662349,43138.822029873685,89627.75340530182,43142.45210456053
16,3.7145293126480476,-3.6832670701010723,3792,3793,89620.69611733167,43139.760795721,89627.05234444993,43143.54573536936
