x,y,z,qx,qy,qz,qw,speed
89630.1,43130.7,0,0,0,0.890874,0.454251,8.33333
89628.9,43133.2,0,0,0,0.86488,0.501979,8.33333
89627.4,43135.8,0,0,0,0.849729,0.527219,8.33333
89626.2,43138.3,0,0,0,0.897502,0.441011,8.33333
89624.5,43140.5,0,0,0,0.898822,0.438313,8.33333
89622.9,43143.3,0,0,0,0.897445,0.441126,8.33333
89621.2,43145.8,0,0,0,0.862425,0.506184,8.33333
89619.8,43148.3,0,0,0,0.897351,0.441318,8.33333
89618.1,43150.7,0,0,0,0.871016,0.491255,8.33333
89616.6,43153.3,0,0,0,0.861285,0.508123,8.33333
89614.8,43155.7,0,0,0,0.862032,0.506854,8.33333
89613.5,43158.2,0,0,0,0.785276,0.619146,8.33333
89612.7,43161.3,0,0,0,0.568884,0.822418,8.33333
89612.8,43164.6,-3.05093e-05,0,0,0.311088,0.950381,8.33333
89615.5,43166.8,0,0,0,0.0636202,0.997974,8.33333
89619.2,43167.3,-3.04499e-05,0,0,-0.302329,0.953203,8.33333
89621.7,43165.5,0,0,0,-0.372298,0.928113,8.33333
89623.6,43163.3,0,0,0,-0.448495,0.893786,8.33333
89625,43160.7,0,0,0,-0.460482,0.887669,8.33333
89626.4,43158.1,0,0,0,-0.461405,0.88719,8.33333
89627.9,43155.5,0,0,0,-0.466963,0.884277,8.33333
89629.4,43153,0,0,0,-0.48385,0.875151,8.33333
89631.1,43150.4,0,0,0,-0.539668,0.841878,8.33333
89632.3,43147.8,0,0,0,-0.5511,0.834439,8.33333
89633.2,43145.5,0,0,0,-0.518683,0.854967,8.33333
89634.5,43143.1,0,0,0,-0.49334,0.869836,8.33333
89636.5,43140.4,0,0,0,-0.404396,0.914584,8.33333
89638.3,43138.4,0,0,0,-0.322019,0.946733,8.33333
89640.6,43136.6,0,0,0,-0.0211122,0.999777,8.33333
89643,43136.5,0,0,0,0.0894273,0.995993,8.33333
89645.3,43136.9,0,0,0,0.476121,0.87938,8.33333
89646.7,43139.2,0,0,0,0.554016,0.832506,8.33333
89647.6,43141.3,0,0,0,0.699456,0.714676,8.33333
89646.7,43144.6,0,0,0,0.999217,0.0395585,8.33333
89644.9,43147.2,-9.15527e-05,0,0,0.916087,0.40098,8.33333
89643.5,43149.3,-3.05093e-05,0,0,0.878377,0.477969,8.33333
89641.7,43152.2,0,0,0,0.873775,0.48633,8.33333
89640.3,43154.6,-3.04682e-05,0,0,0.85431,0.519763,8.33333
89639.1,43156.9,-3.05176e-05,0,0,0.87296,0.487792,8.33333
89637.6,43159.2,0,0,0,0.904818,0.425798,8.33333
89635.9,43161.6,-3.0376e-05,0,0,0.88592,0.463838,8.33333
89634.6,43163.6,-3.04732e-05,0,0,0.887645,0.460528,8.33333
89632.9,43165.9,-3.00164e-05,0,0,0.889295,0.457334,8.33333
89631,43168.6,-3.04985e-05,0,0,0.951527,0.307565,8.33333
89629.1,43171.4,0,0,0,0.974512,0.224337,8.33333
89627.3,43173.8,0,0,0,0.983841,0.179044,8.33333
89623.9,43175,0,0,0,0.941253,0.337701,8.33333
89620.8,43176.6,0,0,0,0.848005,0.529988,8.33333
89619.1,43179.7,0,0,0,0.645149,0.764057,8.33333
89619.6,43182.8,-3.00164e-05,0,0,0.465625,0.884982,8.33333
89621.5,43185.5,0,0,0,0.328683,0.94444,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,8.33333
89626.7,43188.2,0,0,0,-0.0738567,0.997269,8.33333
89629.7,43188.9,-3.0434e-05,0,0,-0.263794,0.964579,8.33333
89632.7,43187.1,-3.0494e-05,0,0,-0.453795,0.891106,8.33333
89634.6,43184.5,0,0,0,-0.285239,0.958457,8.33333
89636.7,43182.8,-3.02512e-05,0,0,-0.293805,0.955865,8.33333
89639.6,43180.8,-6.10312e-05,0,0,-0.0292609,0.999572,8.33333
89643,43180.6,0,0,0,0.277557,0.960709,8.33333
89646.4,43181.6,-3.05165e-05,0,0,0.339713,0.940529,8.33333
89649.1,43183.2,0,0,0,0.316115,0.948721,8.33333
89651.3,43184.8,0,0,0,0.233975,0.972243,8.33333
89654,43186.2,0,0,0,0.302763,0.953066,8.33333
89656.3,43187.8,0,0,0,0.111311,0.993786,8.33333
89659.4,43188.5,0,0,0,-0.254004,0.967203,8.33333
89662.5,43186.8,0,0,0,-0.42261,0.906311,8.33333
89663.8,43185.2,0,0,0,-0.61422,0.789135,8.33333
89664.6,43182,0,0,0,-0.72301,0.690837,8.33333
89664.1,43179.6,0,0,0,-0.89052,0.454944,8.33333
89662.7,43177.6,0,0,0,-0.96429,0.264849,8.33333
89660.5,43176.3,-2.95745e-05,0,0,-0.970471,0.241219,8.33333
89658.5,43175.3,-3.05168e-05,0,0,-0.971445,0.237266,8.33333
89655.5,43173.7,0,0,0,-0.999317,0.0369449,8.33333
89651.8,43173.4,0,0,0,0.999555,0.0298247,8.33333
89648.6,43173.1,0,0,0,-0.973422,0.229017,8.33333
89646.1,43171.9,0,0,0,-0.835952,0.548803,8.33333
89644.4,43170,0,0,0,-0.734097,0.679045,8.33333
89644.2,43166.6,-3.04029e-05,0,0,-0.460399,0.887712,8.33333
89645.9,43164,0,0,0,-0.249367,0.968409,8.33333
89649,43162.3,0,0,0,-0.212259,0.977213,8.33333
89651.8,43161.1,0,0,0,-0.195738,0.980656,8.33333
89654.5,43159.9,0,0,0,-0.0527849,0.998606,8.33333
89657.5,43159.6,0,0,0,0.141186,0.989983,8.33333
89660.6,43159.9,0,0,0,0.325153,0.945661,8.33333
89663.1,43161.9,0,0,0,0.634621,0.772824,8.33333
89663.7,43165,0,0,0,0.511028,0.859564,8.33333
89664,43168.3,0,0,0,0.34785,0.93755,8.33333
89667,43170.9,0,0,0,0.00848866,0.999964,8.33333
89670.7,43171.5,0,0,0,-0.335218,0.942141,8.33333
89673.3,43169.9,0,0,0,-0.390038,0.920799,8.33333
89675.1,43167.4,0,0,0,-0.356835,0.934168,8.33333
89676.8,43165.1,0,0,0,-0.410701,0.91177,8.33333
89678.2,43162.5,0,0,0,-0.507031,0.861928,8.33333
89679.7,43159.8,0,0,0,-0.706262,0.70795,8.33333
89680.5,43156.8,0,0,0,-0.777666,0.628677,8.33333
89679.9,43153.9,0,0,0,-0.908725,0.417396,8.33333
89677.9,43151.6,0,0,0,-0.906507,0.422191,8.33333
89676.1,43149.5,0,0,0,-0.964653,0.263524,8.33333
89673.1,43147.7,0,0,0,-0.993024,0.117909,8.33333
89670.5,43147.1,0,0,0,-1,0.000875464,8.33333
89666.4,43147.1,0,0,0,0.997091,0.0762144,8.33333
89663.7,43147.5,0,0,0,-0.996132,0.0878748,8.33333
89660.2,43146.9,0,0,0,-0.935989,0.35203,8.33333
89657.1,43144.2,0,0,0,-0.71457,0.699564,8.33333
89656.4,43141,0,0,0,-0.729024,0.684488,8.33333
89656.2,43137.9,0,0,0,-0.793746,0.608249,8.33333
89656.5,43134.9,-3.02512e-05,0,0,-0.71596,0.698141,8.33333
89656.4,43132.1,-3.03603e-05,0,0,-0.697828,0.716265,8.33333
89656.5,43129,-3.04499e-05,0,0,-0.730567,0.682841,8.33333
89656.3,43125.8,-3.04499e-05,0,0,-0.876846,0.480771,8.33333
89654.8,43123.6,-9.14847e-05,0,0,-0.95264,0.304099,8.33333
89652,43121.6,-3.0434e-05,0,0,-0.994501,0.104731,8.33333
89649,43120.9,-3.0505e-05,0,0,0.99995,0.00998033,8.33333
89646.7,43121,-2.98988e-05,0,0,0.999923,0.0124282,8.33333
89643.9,43121,-3.01887e-05,0,0,0.992545,0.121879,8.33333
89640.9,43121.8,-2.98301e-05,0,0,0.982986,0.183681,8.33333
89638.6,43122.7,-2.95745e-05,0,0,0.959988,0.280041,8.33333
89635.8,43124.5,0,0,0,0.868127,0.496343,8.33333
89634.1,43126,0,0,0,0.881505,0.472175,8.33333
89632.1,43128.4,0,0,0,0.911351,0.41163,8.33333
89630.1,43130.7,0,0,0,0.890874,0.454251,8.33333
