idx,boundary_idx,center_x,center_y,width,distance
0,4,89634.24472799982,43125.46977489332,7.4794943276511425,2.0579515874459978e-11
1,3992,89633.68775128556,43126.31027568229,7.396019850944976,4.425792234759297e-11
2,3980,89633.10671787562,43127.245203790255,7.364732871276536,4.601719643932854e-11
3,3967,89632.47580920112,43128.25692322663,7.331282546478554,3.253907165344266e-11
4,3955,89631.89447256298,43129.19150665909,7.301748060376816,2.0579515874459978e-11
5,3944,89631.34976033798,43130.040942206666,7.286732058566673,3.918223088210291e-11
6,3932,89630.76101978515,43130.97097096702,7.256331721577451,4.880860748016399e-11
7,3921,89630.1961159937,43131.80711905784,7.229332950596053,4.3655745685100555e-11
8,3910,89629.65795355258,43132.660435215,7.241737979991105,1.4551915228366852e-11
9,3899,89629.12389394267,43133.516437660866,7.272775719015041,4.658886054991198e-11
10,3888,89628.56361346143,43134.35568665978,7.30496841051712,3.637978807091713e-11
11,3878,89628.06994223164,43135.1288782196,7.334439395274711,4.3655745685100555e-11
12,3868,89627.58383249177,43135.90678797055,7.380925511150569,5.246767651208195e-11
13,3858,89627.06744155717,43136.66459605053,7.432034796922321,4.1159031748919956e-11
14,3848,89626.53120231732,43137.40910543657,7.479653573484817,3.253907165344266e-11
15,3838,89626.00192743476,43138.158154261815,7.52018198200311,4.601719643932854e-11
16,3828,89625.47959844056,43138.913171534936,7.560302673736287,4.658886054991198e-11
17,3817,89624.92834741516,43139.75909333771,7.5870649760809,4.425792234759297e-11
18,3806,89624.43397515402,43140.63839360447,7.507212664544059,4.1159031748919956e-11
19,3795,89623.96459755745,43141.53149349318,7.412658635059757,4.880860748016399e-11
20,3784,89623.41783319152,43142.3790903848,7.347826387784085,1.4551915228366852e-11
21,3773,89622.8664113863,43143.2242338868,7.291262542304035,0.0
22,3761,89622.31494857384,43144.17669027535,7.256676950948069,6.708101469334278e-11
23,3750,89621.82998950145,43145.06379009137,7.243211636153874,5.246767651208195e-11
24,3739,89621.29625199031,43145.919445301406,7.267873722118477,1.626953582672133e-11
25,3728,89620.7323313285,43146.75480418091,7.361105590548977,1.4551915228366852e-11
26,3718,89620.21894594736,43147.51422425106,7.427074309847314,5.6827045598086653e-11
27,3708,89619.70710010239,43148.27539358302,7.442058079861191,2.6233838256040975e-11
28,3698,89619.19336570568,43149.03532816238,7.453861704799479,2.0579515874459978e-11
29,3689,89618.73955704267,43149.72490229787,7.458910482403712,4.1159031748919956e-11
30,3680,89618.2872016806,43150.41581385191,7.481474429012884,1.4551915228366852e-11
31,3672,89617.90659048418,43151.043216260456,7.463593717317265,4.601719643932854e-11
32,3662,89617.48044957672,43151.85625112608,7.419764562984959,2.0579515874459978e-11
33,3651,89616.95235549897,43152.7142554329,7.294477075956465,2.9103830456733704e-11
34,3641,89616.44779017523,43153.480534411996,7.243599347158125,2.9999541770795335e-11
35,3630,89615.92455530322,43154.34329806188,7.239228816547582,3.637978807091713e-11
36,3619,89615.38876992311,43155.19827282578,7.244506361986039,2.6233838256040975e-11
37,3608,89614.84082702655,43156.04592076042,7.2508910378441,4.880860748016399e-11
38,3596,89614.23870599142,43156.96806360978,7.256221894569278,2.6233838256040975e-11
39,3583,89613.60899348064,43157.98043019628,7.272292170434358,4.880860748016399e-11
40,3571,89613.07673648666,43158.94373564162,7.305192241953845,4.601719643932854e-11
41,3555,89612.43616571595,43160.26612830351,7.408989728234377,4.601719643932854e-11
42,3539,89612.4266350159,43161.731805255054,7.525702857488477,4.3655745685100555e-11
43,3525,89612.51125713579,43163.011660509124,7.707889394788276,2.6233838256040975e-11
44,3500,89613.53515636436,43165.05287669822,7.704437616250449,4.601719643932854e-11
45,3498,89613.64255829807,43165.20187420396,7.704955238663167,5.246767651208195e-11
46,3470,89615.69653987048,43166.68414818967,7.757518647615496,4.1159031748919956e-11
47,3451,89617.37978743302,43167.14658612085,7.915245783863936,5.296977098100264e-11
48,3431,89619.20814201719,43167.1040480406,7.978110896876493,1.4551915228366852e-11
49,3417,89620.33770077885,43166.49136298384,7.977035841114139,6.173854762337992e-11
50,3403,89621.43962188576,43165.85302124617,7.8286803525365505,5.246767651208195e-11
51,3388,89622.26256403384,43164.75063738181,7.569319164470107,4.425792234759297e-11
52,3375,89622.96486670805,43163.78749021387,7.602937254090126,5.246767651208195e-11
53,3362,89623.53403765967,43162.73994621968,7.682077558911166,3.637978807091713e-11
54,3350,89624.11943755009,43161.80693902628,7.719817258644086,2.0579515874459978e-11
55,3338,89624.72022401413,43160.884674645225,7.761335144384059,3.637978807091713e-11
56,3327,89625.27030349436,43160.03871955022,7.737856845845697,4.880860748016399e-11
57,3316,89625.7845006417,43159.17045443453,7.697238001452446,2.9103830456733704e-11
58,3307,89626.19003132697,43158.45100456887,7.654567996788011,4.1159031748919956e-11
59,3297,89626.67912010693,43157.67578855302,7.591956229058219,3.253907165344266e-11
60,3288,89627.14163935882,43156.99171234452,7.5519281052121,2.6233838256040975e-11
61,3279,89627.58349779682,43156.29433974366,7.546574254649823,3.918223088210291e-11
62,3270,89628.01789787255,43155.592484538975,7.541601509131688,5.246767651208195e-11
63,3259,89628.56384690313,43154.74358860005,7.535164914411485,5.246767651208195e-11
64,3248,89629.08812026044,43153.882526243564,7.457890860945896,4.658886054991198e-11
