s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
0.0000000,89635.0699806,43126.8600989,-2.1773621,0.0036227,11.1100000,0.0000000
1.9980257,89636.7245077,43125.7314324,-2.1572011,0.0165379,11.1100000,0.0000000
3.9960513,89638.4021171,43124.6662955,-2.1109392,0.0309191,11.1100000,0.0000000
5.9940770,89640.1540270,43123.7000145,-2.0336927,0.0459732,11.1100000,0.0000000
7.9921026,89641.9852811,43122.8995002,-1.9272319,0.0606077,11.1100000,-1.4341583
9.9901283,89643.8977643,43122.3256496,-1.7930536,0.0738260,10.8490151,-3.0529674
11.9881539,89645.8762764,43122.0397669,-1.6303780,0.0894924,10.2713833,-1.7343432
13.9861796,89647.8704411,43122.1127190,-1.4310988,0.1088325,9.9282824,-0.5545605
15.9842052,89649.8114120,43122.6113225,-1.2027599,0.1234719,9.8160449,-0.4433581
17.9822309,89651.5962408,43123.5842828,-0.9416865,0.1268726,9.7253821,-0.4433581
19.9802565,89653.0249042,43124.9441185,-0.6836337,0.0986025,9.6338661,2.4135110
21.9782822,89654.1629866,43126.4747710,-0.6053672,0.0716908,10.1220496,3.8186751
23.9763079,89655.1365261,43128.2053002,-0.4149660,0.0940635,10.8496779,-0.5416456
25.9743335,89655.7763270,43130.1602359,-0.2125921,0.1038502,10.7494682,-0.5416456
27.9723592,89656.0369271,43132.1236268,-0.0715372,0.0424857,10.6483155,2.5138508
29.9703848,89656.1268347,43134.1448329,-0.0311986,0.0011597,11.1100000,0.0000000
31.9684105,89656.2095302,43136.1371410,-0.0636367,-0.0347244,11.1100000,-2.8625353
33.9664361,89656.4119618,43138.1465070,-0.1361179,-0.0341260,10.5826869,-6.8251132
35.9644618,89656.7506878,43140.1072232,-0.2155273,-0.0657699,9.2043337,-0.8851364
37.9624874,89657.3505240,43141.9934259,-0.4266265,-0.1415992,9.0101448,-0.3735469
39.9605131,89658.4330124,43143.7006386,-0.7062656,-0.1505835,8.9269254,-0.3735469
41.9585387,89659.9554375,43144.9887772,-1.0124543,-0.0997985,8.8429228,3.8294761
