s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
312.2387153000,89635.2695503000,43127.0522322000,1.0277754536,0.0057637000,9.6940000000,0.0000000000
311.2411475000,89634.4448520000,43127.5544380000,1.0187419536,0.0127018000,9.6940000000,0.0000000000
310.2435797000,89633.5987639000,43128.0841909000,1.0030891536,0.0184307000,9.6940000000,0.0000000000
309.2460119000,89632.7392624000,43128.6448530000,0.9817447536,0.0225570000,9.6940000000,0.0000000000
308.2484442000,89631.9290806000,43129.1990741000,0.9600622536,0.0217972000,9.6940000000,0.0000000000
307.2508764000,89631.1148092000,43129.7824185000,0.9381972536,0.0220134000,9.6940000000,0.0000000000
306.2533086000,89630.3063399000,43130.3892480000,0.9154444536,0.0231594000,9.6940000000,0.0000000000
305.2557408000,89629.5116628000,43131.0156860000,0.8904500536,0.0264905000,9.6940000000,0.0000000000
304.2581730000,89628.7412240000,43131.6571711000,0.8617623536,0.0309409000,9.6940000000,0.0000000000
303.2606053000,89628.0036859000,43132.3108139000,0.8285459536,0.0367493000,9.6940000000,0.0000000000
302.2630375000,89627.2760264000,43133.0045816000,0.7894311536,0.0401069000,9.6940000000,0.0000000000
301.2654697000,89626.5820103000,43133.7214714000,0.7487709536,0.0411423000,9.6940000000,0.0000000000
300.2679019000,89625.9254342000,43134.4573597000,0.7083167536,0.0406269000,9.6940000000,0.0000000000
299.2703341000,89625.2964027000,43135.2212388000,0.6705121536,0.0347724000,9.6940000000,0.0000000000
298.2727664000,89624.6907333000,43136.0106608000,0.6396004536,0.0273259000,9.6940000000,0.0000000000
297.2751986000,89624.1021836000,43136.8227025000,0.6159856536,0.0197868000,9.6940000000,0.0000000000
296.2776308000,89623.5371055000,43137.6357483000,0.5999086536,0.0127962000,9.6940000000,0.0000000000
295.2800630000,89622.9792947000,43138.4605515000,0.5904526536,0.0062697000,9.6940000000,0.0000000000
294.2824952000,89622.4211140000,43139.2971878000,0.5872899536,0.0000803000,9.6940000000,0.0000000000
293.2849275000,89621.8676951000,43140.1272232000,0.5894566536,-0.0039850000,9.6940000000,0.0000000000
292.2873597000,89621.3106964000,43140.9554883000,0.5951647536,-0.0074552000,9.6940000000,0.0000000000
291.2897919000,89620.7466427000,43141.7808872000,0.6043843536,-0.0110143000,9.6940000000,0.0000000000
290.2922241000,89620.1708184000,43142.6044420000,0.6157053536,-0.0098734000,9.6940000000,0.0000000000
289.2946563000,89619.5882895000,43143.4203260000,0.6237899536,-0.0062472000,9.6940000000,0.0000000000
288.2970886000,89619.0067698000,43144.2241549000,0.6281620536,-0.0025317000,9.6940000000,0.0000000000
287.2995208000,89618.4130520000,43145.0409586000,0.6275108536,0.0055643000,9.6940000000,0.0000000000
286.3019530000,89617.8235542000,43145.8620021000,0.6157842536,0.0180301000,9.6940000000,0.0000000000
285.3043852000,89617.2665750000,43146.6680892000,0.5910265536,0.0331542000,9.6940000000,0.0000000000
284.3068174000,89616.7304763000,43147.5015869000,0.5490779536,0.0514302000,9.6940000000,0.0000000000
283.3092497000,89616.2377794000,43148.3602276000,0.4903799536,0.0660081000,9.6940000000,0.0000000000
282.3116819000,89615.7987750000,43149.2550626000,0.4208654536,0.0717187000,9.6940000000,0.0000000000
281.3141141000,89615.4395333000,43150.1305579000,0.3606229536,0.0550547000,9.6940000000,0.0000000000
280.3165463000,89615.1121678000,43151.0675930000,0.3142901536,0.0387636000,9.6940000000,0.0000000000
279.3189785000,89614.8043127000,43152.0754072000,0.2810813536,0.0249527000,9.6940000000,0.0000000000
278.3214108000,89614.5533562000,43152.9914263000,0.2519916536,0.0359333000,9.6940000000,0.0000000000
277.3238430000,89614.3247024000,43153.9571877000,0.2113307536,0.0458404000,9.6940000000,0.0000000000
276.3262752000,89614.1347352000,43154.9659332000,0.1593049536,0.0554594000,9.6940000000,0.0000000000
275.3287074000,89614.0024947000,43155.9814983000,0.0987862536,0.0607927000,9.3098457000,3.6591044000
274.3311396000,89613.9344182000,43156.9888639000,0.0353569536,0.0656096000,8.7645547000,4.9399183000
273.3335719000,89613.9334210000,43157.9928172000,-0.0350294536,0.0755545000,8.1773204000,4.9865536000
272.3360041000,89614.0064819000,43158.9716264000,-0.1166905536,0.0921836000,7.5382887000,5.0336291000
271.3384363000,89614.1972709000,43160.0838822000,-0.2231105536,0.0956547000,6.8328776000,5.0811490000
270.3408685000,89614.4822389000,43161.0889503000,-0.3346132536,0.1266644000,6.0377919000,5.1291175000
269.3433007000,89614.8119031000,43161.8680951000,-0.4850399536,0.2727091000,5.2935611000,4.2268516000
268.3457329000,89615.4869911000,43162.6910759000,-0.8838767536,0.0568686000,4.1966992000,5.2174424000
267.3481652000,89616.0044810000,43163.3195184000,-0.6587921536,0.6749706000,4.2164621000,-0.0833370000
266.3505974000,89616.8169598000,43163.8658324000,-1.1945484536,0.2592422000,4.2361329000,-0.0833370000
265.3530296000,89617.8344929000,43164.1359070000,-1.4238277536,0.2291399000,5.2163556000,-4.6440673000
264.3554618000,89618.8544180000,43164.1532759000,-1.6766005536,0.1974686000,6.0136841000,-4.4879313000
263.3578940000,89619.8269250000,43163.9851954000,-1.7738177536,-0.0021891000,6.7967871000,-5.0281885000
262.3603263000,89620.7070595000,43163.8001962000,-1.8004954536,0.0878924000,7.6456830000,-6.1450228000
261.3627585000,89621.6902779000,43163.5119342000,-1.9168900536,0.1214943000,8.0905557000,-3.5088464000
260.3651907000,89622.6030852000,43163.1233248000,-2.0231746536,0.0862242000,8.6107056000,-4.3541696000
