x_m,y_m,w_tr_right_m,w_tr_left_m
89628.6925139564,43201.49171303352,3.7517379359853127,3.7109453963688637
89628.74517586971,43201.41656415581,3.7592316771322345,3.720787681691939
89628.79930989316,43201.342409229976,3.7656517656256945,3.7121264333350776
89628.85487795906,43201.26927492085,3.771298423929781,3.706261334913224
89628.91184199981,43201.19718789332,3.776306751611453,3.70318840357444
89628.97016394776,43201.12617481223,3.7807119043212243,3.702864045038482
89629.02980573529,43201.056262342434,3.7845125778817863,3.705231032070909
89629.09072929474,43200.98747714879,3.787704873934162,3.7102183810562788
89629.15289655849,43200.91984589616,3.7902839605437375,3.7177238279804747
89629.21626945892,43200.8533952494,3.7922264472519367,3.727593706277135
89629.28080680539,43200.78814703013,3.7934761211860852,3.7396078375567106
89629.34639974809,43200.72401813208,3.7940520302258633,3.753373560556527
89629.4128740166,43200.66082399268,3.7940507883008223,3.768354885692065
89629.4800526654,43200.59837590063,3.7935523889707423,3.7817910709777736
89629.54775874887,43200.536485144694,3.7926411205646757,3.781307366205656
89629.61581532146,43200.47496301361,3.791428507130584,3.78157984442072
89629.68404543764,43200.41362079607,3.7900670201628337,3.7822400467011814
89629.75227215182,43200.352269780844,3.788751923471421,3.782959241063031
89629.82031851844,43200.290721256664,3.787712893661932,3.783440495535479
89629.88800759194,43200.228786512234,3.7872007236255842,3.7834057344252217
89629.95519302366,43200.166309779575,3.7874314496816606,3.7826308308023506
89630.0219700575,43200.10339541001,3.7882738430036413,3.7812541920982974
89630.08854858085,43200.04027118995,3.789444574724556,3.779599827705451
89630.1551391731,43199.97716565084,3.790692941361897,3.7780279798295027
89630.22195241362,43199.9143073241,3.791821367820456,3.7769541248679612
89630.28919888177,43199.85192474119,3.7926993214489464,3.776863333306128
89630.35708915693,43199.790246433564,3.793265699965053,3.7783134215971117
89630.4258338185,43199.72950093265,3.7935176346350774,3.7819253280541902
89630.49564344584,43199.6699167699,3.793487721293266,3.786494628232936
89630.56672363143,43199.61172013746,3.7932193396574956,3.7713564925710488
89630.63916601556,43199.55508377391,3.7928467008876474,3.7591598246954536
89630.71294869923,43199.50012715796,3.79256419508701,3.7504221547230383
89630.78804487915,43199.446967467775,3.7924854724122663,3.7455927214486486
