x_m,y_m,w_tr_right_m,w_tr_left_m
12648197.703033272,3453988.010209497,3.7428979162594374,3.725784728554216
12648198.50904897,3453987.124023831,3.797220629231889,3.7829776023798805
12648199.400559418,3453986.3207824957,3.803658327975534,3.801707761502378
12648200.407667892,3453985.6813619775,3.787340572013596,3.787728929479306
12648201.524512393,3453985.242434884,3.7716435773921795,3.7717571395355884
12648202.667813798,3453984.8856129516,3.7198875985063844,3.701516558105789
12648203.84966491,3453984.693810277,3.617981359262114,3.7287283292483684
12648205.016417105,3453984.4141573706,3.633865895527689,3.6123631713253226
12648206.182732556,3453984.1362025556,3.687473220190015,3.6593291623792807
12648207.360601615,3453983.907097842,3.6929218375289983,3.7011621890280804
12648208.534260519,3453983.6570482845,3.67405113457947,3.701158385067031
12648209.70299757,3453983.3864933127,3.6750666398267944,3.692057653949736
12648210.865772104,3453983.092701084,3.7181393002468837,3.713291312297783
12648212.03971462,3453982.8504168466,3.7921854635021353,3.74398761246835
12648213.226430768,3453982.956777648,3.7687654640780774,4.198518325814769
12648214.402737232,3453983.180937662,3.7748830079612357,3.789055398545808
12648215.478691224,3453983.697877322,3.674868451855741,3.6390775829834556
12648216.498668427,3453984.3298428874,3.6382575455518644,3.6271354646556597
12648217.426272988,3453985.0803304897,3.6780003709573386,3.7480531361058165
12648218.403037043,3453985.768695765,3.8744952031822,3.8838807330300664
12648219.018697996,3453986.7877389826,3.7725265731367488,4.532313816867887
12648219.519537518,3453987.8782250085,3.5154105684392967,4.674998682687969
12648220.02037704,3453988.9687110344,3.3507643204960673,4.525879972559398
12648220.60647061,3453990.010233348,3.496965610452711,3.6113634991037387
12648220.617647905,3453991.1973094493,3.272501550288622,3.3940510545497267
12648220.760283846,3453992.3821261525,3.25421111827749,3.1438223305711137
12648220.673283692,3453993.577599172,3.1681487773721417,3.033480880217431
12648220.462726682,3453994.7567900517,2.9908054528466677,2.9855060493616397
12648220.286575796,3453995.939862375,2.8913671149492797,2.8914096891848
12648220.113428243,3453997.123935612,2.7944407370184057,2.810732561012687
12648219.996565228,3453998.316104345,2.755473119226829,2.7561017509421895
12648219.915919488,3453999.5133912475,2.7566438241320648,2.7562999507869588
12648219.867187282,3454000.711907973,2.791308258536754,2.774051396509139
12648219.84003449,3454001.908590444,2.850508330433186,2.8334917025044186
12648219.86635355,3454003.1030822247,2.9784974237132564,2.932551770570332
12648219.997392816,3454004.284407284,3.272262326127685,3.0026022254239324
12648220.318307921,3454005.4404841373,3.5158382882455212,2.942061098763747
12648220.646760982,3454006.594658555,3.478660983440187,3.1293251682768375
12648221.03532604,3454007.7232597833,3.288753519275331,3.3644917787082353
12648221.854922587,3454008.598952437,3.295526926109633,3.3087623350834274
12648222.85008915,3454009.256707383,3.3301053747044658,3.2985128119103773
12648223.991087276,3454009.6264913194,3.713985276388231,3.2371271832954203
12648225.140466703,3454009.971349163,3.9638489117003526,3.4891349321799545
12648226.30380229,3454010.2047713054,3.6997112290136243,3.6386199830501655
12648227.4911562,3454010.0471598306,3.563509257348757,3.5843445783665526
12648228.668758193,3454009.826363974,3.491865721479528,3.5376438100149072
12648229.846849285,3454009.5999778593,3.494383003137809,3.479193571991263
12648231.034580968,3454009.428824579,3.5162756644569795,3.497642213899974
12648232.211451108,3454009.510676718,3.3760941849186885,3.816573662637353
12648233.407292508,3454009.597609982,3.6032509188172877,4.022466683396176
12648234.604786862,3454009.675116558,3.8476429022141008,4.068174587500569
12648235.720002716,3454010.041472288,3.8539632058502473,3.817605145389475
12648236.729009064,3454010.6904927418,3.651122331278711,3.7955995182541353
12648237.78550092,3454011.240453318,3.668473948794615,3.6585769938086514
12648238.750589764,3454011.953403461,3.672819043832519,3.664728869021687
12648239.74764281,3454012.6192642823,3.7192640496492957,3.743200886538564
12648240.772829425,3454013.240749501,3.7607697683877888,3.7199978840211365
12648241.595412496,3454014.0969505208,3.5748840080689224,3.587388714152456
12648242.370738916,3454014.9827262564,3.3975728142189916,3.3979883435213787
12648242.915491655,3454016.0470832116,3.3570542594552872,3.3115148359420714
12648243.145390622,3454017.2146765324,3.0535942719000455,3.2393485747182673
12648243.494095558,3454018.347473372,3.040572263681676,3.042709530873777
12648243.676310148,3454019.5335584627,3.1926929496585474,3.0647276023908936
12648243.52285761,3454020.685310949,3.2839810404461294,3.550224271820544
12648243.237932537,3454021.8509943117,3.5501667907822747,4.080620590227676
12648242.953007462,3454023.0166776744,3.84350689406475,4.398904159118903
12648242.328045156,3454024.0160744213,3.825561869114865,3.783704254217822
12648241.51336841,3454024.892283748,3.7094880061691864,3.7051957984096386
12648240.792586938,3454025.8426092765,3.5720146057038353,3.5926123949691595
12648240.144634206,3454026.8517399416,3.606958363503697,3.6062058193574282
12648239.51645484,3454027.8730801805,3.6085604499942745,3.62609918611344
12648238.819926439,3454028.849243941,3.6589269799254733,3.667671146158285
12648238.215128414,3454029.8819374316,3.6245016781186186,3.6158019477654753
12648237.692694344,3454030.9428706714,3.436087181880249,3.4397665568539755
12648237.017900907,3454031.9329821416,3.4206540645253023,3.4690409249462433
12648236.120017475,3454032.7228501784,3.2773557240014677,3.923389072388546
12648235.183276549,3454033.4728611372,3.44157646109676,4.045338961719088
12648234.198129835,3454034.131977682,3.6028825948915437,3.594158363864932
12648233.017748702,3454034.332329118,3.5681033555396917,3.550704478956875
12648231.823690675,3454034.293264578,3.6137405534518514,3.596672133371334
12648230.697289858,3454033.9184366693,3.5095209418710347,3.453360078846023
12648229.637481453,3454033.3583596493,3.4543312748367705,3.390612619594907
12648228.786516553,3454032.5843708874,3.488944763550121,3.8340817147718527
12648228.271873536,3454031.500336855,2.977601561266771,4.911857537125761
12648227.758342903,3454030.415769527,2.937171279778652,5.556034622132187
12648227.24481227,3454029.331202199,3.3756013501261473,5.84148485896339
12648226.994774662,3454028.2473527067,3.517230385279713,4.542526210140579
12648227.00143128,3454027.0718850275,3.692787450005041,3.384635137065452
12648226.910598995,3454025.877471906,3.731842279416256,3.52563044758614
12648226.52381098,3454024.7714012447,3.7446569282870694,3.5638660485220193
12648225.937589008,3454023.7253486877,3.615432043693793,3.6892815714386216
12648225.0845752,3454022.881496212,3.664881792058808,3.6754276707450537
12648224.067842629,3454022.2705185213,3.608707459900147,3.6936122216131926
12648222.886107467,3454022.0619471725,3.8105921702190044,3.5287404586203412
12648221.704372305,3454021.853375824,3.715864045371375,3.7383396267147115
12648220.517545506,3454021.987746981,3.677360901614149,3.7093034607446045
12648219.38450681,3454022.361299967,3.7518895831022543,3.717149525103007
12648218.25088024,3454022.7548616496,3.752499856716613,3.827494925747012
12648217.135512415,3454023.1919679013,3.777398742670367,3.8536214555174517
12648216.015858494,3454023.6177253257,3.7011820255636225,3.762497786829096
12648214.915012332,3454024.0944977663,3.680557359647943,3.677234035861426
12648213.808388446,3454024.5574548044,3.6513516397498353,3.6515271297076928
12648212.678644232,3454024.9620262007,3.589690865701822,3.7191814641196523
12648211.565873452,3454025.410592409,3.5769931272653652,3.6467871045140696
12648210.457144793,3454025.869635719,3.5983652979469145,3.687304096519904
12648209.484003238,3454026.5524784205,3.823150884543767,3.6826527833771414
12648208.629270235,3454027.3947559823,3.887262968106506,3.706459806876605
12648208.043525105,3454028.4201111947,3.876546988898544,3.8009494031042865
12648207.662907526,3454029.5502406834,3.86620102101218,3.8730501251742213
12648207.522543767,3454030.7395199104,3.8239529611886436,3.871303131988766
12648207.6925767,3454031.922219776,3.7939774340492147,3.797904958311067
12648208.053036705,3454033.0667997994,3.8196840920081234,3.820695908288026
12648208.718406193,3454034.057629891,3.812192646044889,3.861516273330936
12648209.688208777,3454034.740984848,3.8473405370409823,3.6990776526100575
12648210.707421273,3454035.346150774,3.3666735365289666,3.7542100812102164
12648211.900035271,3454035.475541753,3.265449124555934,3.3582035023633465
