x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89635.0699806000,43126.8600989000,0.0000000000,0.0000000000,0.0000000000,0.4636543808,0.8860161484,11.1100000000
89634.2718741000,43127.4173114000,0.0000000000,0.0000000000,0.0000000000,0.4605595446,0.8876288109,11.1100000000
89633.4583541000,43127.9978910000,0.0000000000,0.0000000000,0.0000000000,0.4545286550,0.8907321156,11.1100000000
89632.6370599000,43128.6047444000,0.0000000000,0.0000000000,0.0000000000,0.4459171621,0.8950742341,11.1100000000
89631.8563570000,43129.2065018000,0.0000000000,0.0000000000,0.0000000000,0.4366624871,0.8996254067,11.1100000000
89631.0748134000,43129.8357274000,0.0000000000,0.0000000000,0.0000000000,0.4268085327,0.9043420129,11.1100000000
89630.3018363000,43130.4875119000,0.0000000000,0.0000000000,0.0000000000,0.4160712303,0.9093320248,11.1100000000
89629.5458929000,43131.1580839000,0.0000000000,0.0000000000,0.0000000000,0.4038315353,0.9148333679,11.1100000000
89628.8160980000,43131.8442411000,0.0000000000,0.0000000000,0.0000000000,0.3894885968,0.9210312877,11.1100000000
89628.1205874000,43132.5438664000,0.0000000000,0.0000000000,0.0000000000,0.3726309283,0.9279796287,11.1100000000
89627.4386959000,43133.2862642000,0.0000000000,0.0000000000,0.0000000000,0.3532370159,0.9355338639,11.1100000000
89626.7955376000,43134.0476684000,0.0000000000,0.0000000000,0.0000000000,0.3339038766,0.9426071298,11.1100000000
89626.1874630000,43134.8295884000,0.0000000000,0.0000000000,0.0000000000,0.3152444022,0.9490105199,11.1100000000
89625.6082082000,43135.6350609000,0.0000000000,0.0000000000,0.0000000000,0.2987647056,0.9543268050,11.1100000000
89625.0507147000,43136.4628935000,0.0000000000,0.0000000000,0.0000000000,0.2858940849,0.9582612234,11.1100000000
89624.5079789000,43137.3103307000,0.0000000000,0.0000000000,0.0000000000,0.2766862610,0.9609603077,11.1100000000
89623.9863308000,43138.1529393000,0.0000000000,0.0000000000,0.0000000000,0.2711321804,0.9625421241,11.1100000000
89623.4672711000,43139.0068775000,0.0000000000,0.0000000000,0.0000000000,0.2688040114,0.9631948938,11.1100000000
89622.9458933000,43139.8676338000,0.0000000000,0.0000000000,0.0000000000,0.2696238817,0.9629657120,11.1100000000
89622.4253096000,43140.7184174000,0.0000000000,0.0000000000,0.0000000000,0.2729190564,0.9620369996,11.1100000000
89621.8960695000,43141.5666036000,0.0000000000,0.0000000000,0.0000000000,0.2780338794,0.9605712685,11.1100000000
89621.3559801000,43142.4084471000,0.0000000000,0.0000000000,0.0000000000,0.2849895028,0.9585306376,11.1100000000
89620.8000969000,43143.2455963000,0.0000000000,0.0000000000,0.0000000000,0.2926246887,0.9562273744,11.1100000000
89620.2342025000,43144.0713141000,0.0000000000,0.0000000000,0.0000000000,0.2989886778,0.9542566586,11.1100000000
89619.6629242000,43144.8837864000,0.0000000000,0.0000000000,0.0000000000,0.3040938393,0.9526420823,11.1100000000
89619.0712160000,43145.7090394000,0.0000000000,0.0000000000,0.0000000000,0.3075061006,0.9515461093,11.1100000000
89618.4826065000,43146.5229422000,0.0000000000,0.0000000000,0.0000000000,0.3079202795,0.9514121617,11.1100000000
89617.9108070000,43147.3177495000,0.0000000000,0.0000000000,0.0000000000,0.3050811369,0.9523263621,11.1100000000
89617.3310966000,43148.1420407000,0.0000000000,0.0000000000,0.0000000000,0.2971595357,0.9548278433,11.1100000000
89616.7789274000,43148.9680107000,0.0000000000,0.0000000000,0.0000000000,0.2824907989,0.9592700081,11.1100000000
89616.2624029000,43149.8064005000,0.0000000000,0.0000000000,0.0000000000,0.2618429915,0.9651104848,11.1100000000
89615.7920331000,43150.6494361000,0.0000000000,0.0000000000,0.0000000000,0.2423518404,0.9701884278,11.1100000000
89615.3352067000,43151.5419958000,0.0000000000,0.0000000000,0.0000000000,0.2271837898,0.9738519013,11.1100000000
89614.8955755000,43152.4592008000,0.0000000000,0.0000000000,0.0000000000,0.2164657496,0.9762902126,11.1100000000
89614.5005692000,43153.3383492000,0.0000000000,0.0000000000,0.0000000000,0.2013839145,0.9795123884,11.0646868000
89614.1245402000,43154.2716059000,0.0000000000,0.0000000000,0.0000000000,0.1781183363,0.9840090743,10.6252108000
89613.7888608000,43155.2588248000,0.0000000000,0.0000000000,0.0000000000,0.1470613173,0.9891273775,10.1814030000
89613.5318980000,43156.2204503000,0.0000000000,0.0000000000,0.0000000000,0.1127753965,0.9936205060,9.7103770000
89613.3442749000,43157.2073780000,0.0000000000,0.0000000000,0.0000000000,0.0739034875,0.9972653982,9.2372063000
89613.2404240000,43158.2047038000,0.0000000000,0.0000000000,0.0000000000,0.0284761769,0.9995944714,8.7964317000
89613.2380276000,43159.2431551000,0.0000000000,0.0000000000,0.0000000000,-0.0270411302,0.9996343218,8.2940287000
89613.3584420000,43160.3195801000,0.0000000000,0.0000000000,0.0000000000,-0.0843139103,0.9964392428,7.6649611000
89613.5789877000,43161.2810546000,0.0000000000,0.0000000000,0.0000000000,-0.1430781568,0.9897113928,6.9899647000
89613.9161337000,43162.1585760000,0.0000000000,0.0000000000,0.0000000000,-0.2301545339,0.9731540939,7.0229296000
89614.4963278000,43163.0157393000,0.0000000000,0.0000000000,0.0000000000,-0.3489271204,0.9371498624,6.6986011000
89615.0773038000,43163.6753201000,0.0000000000,0.0000000000,0.0000000000,-0.3446834758,0.9387189683,5.8826720000
89615.7905003000,43164.3592034000,0.0000000000,0.0000000000,0.0000000000,-0.4614203277,0.8871816506,5.9104149000
89616.6445787000,43164.7978558000,0.0000000000,0.0000000000,0.0000000000,-0.5661682344,0.8242897126,5.9380281000
89617.6417520000,43165.0847279000,0.0000000000,0.0000000000,0.0000000000,-0.6347140936,0.7727470604,6.6436687000
89618.6618819000,43165.1908383000,0.0000000000,0.0000000000,0.0000000000,-0.7037962286,0.7104019064,7.0398677000
