s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
0.0000000000,89635.0699802420,43126.8600997830,2.5268578961,-0.0160188875,11.1100000000,0.0000000000
1.9727926496,89633.4583537420,43127.9978918830,2.4952559526,-0.0213779207,11.1100000000,0.0000000000
3.9795648774,89631.8563566420,43129.2065026830,2.4523553351,-0.0252221277,11.1100000000,0.0000000000
5.9938939178,89630.3018359420,43130.4875127830,2.4015496707,-0.0339320010,11.1100000000,0.0000000000
8.0058910396,89628.8160976420,43131.8442419830,2.3332785824,-0.0407326971,11.1100000000,0.0000000000
10.0000492997,89627.4386955420,43133.2862650830,2.2520511381,-0.0368588329,11.1100000000,0.0000000000
11.9868641769,89626.1874626420,43134.8295892830,2.1788194604,-0.0231074288,11.1100000000,0.0000000000
13.9768094644,89625.0507143420,43136.4628943830,2.1328369414,-0.0083376904,11.1100000000,0.0000000000
15.9740996017,89623.9863304420,43138.1529401830,2.1161841546,0.0040398108,11.1100000000,0.0000000000
17.9797634369,89622.9458929420,43139.8676346830,2.1242866570,0.0124276291,11.1100000000,0.0000000000
19.9769185116,89621.8960691420,43141.5666044830,2.1491065594,0.0142083426,11.1100000000,0.0000000000
21.9819552760,89620.8000965420,43143.2455971830,2.1775948088,0.0086626286,11.1100000000,0.0000000000
23.9761540006,89619.6629238420,43144.8837872830,2.1948698116,-0.0029047703,11.1100000000,0.0000000000
25.9960504360,89618.4826061420,43146.5229430830,2.1890024763,-0.0238577562,11.1100000000,0.0000000000
27.9828707607,89617.3310962420,43148.1420415830,2.1416014014,-0.0405246201,11.1100000000,0.0000000000
29.9607989111,89616.2624025420,43149.8064013830,2.0614466144,-0.0283055675,11.1100000000,0.0000000000
31.9285346247,89615.3352063420,43151.5419966830,2.0057487384,-0.0404152777,11.1100000000,0.0000000000
33.9093186347,89614.5005688420,43153.3383500830,1.9256948025,-0.0637545729,11.0790078000,0.1720917000
35.9574288311,89613.7888604420,43155.2588256830,1.7951184117,-0.0861487466,10.2235346000,4.5604401000
37.9560574099,89613.3442745420,43157.2073788830,1.6229390647,-0.1068981013,9.3421533000,4.3154681000
39.9946051502,89613.2380272420,43159.2431559830,1.4050221819,-0.1551934231,8.4359888000,4.0314600000
42.0608307337,89613.5789873420,43161.2810554830,1.0843575606,-0.1428288030,7.4037584000,4.0916064000
44.0231364865,89614.4963274420,43163.0157401830,0.8040837788,-0.2308174907,5.8547978000,5.1393188000
45.8885528603,89615.7904999420,43164.3592042830,0.3735130523,-0.1787744002,5.9104149000,-0.1637485000
47.8768985689,89617.6417516420,43165.0847287830,0.0180477409,-0.1263143728,5.9655135000,-0.1637485000
49.8840620476,89619.6485882420,43165.1209515830,-0.2354858549,-0.1012046974,7.3778880000,-4.7161256000
51.8052275035,89621.5167316420,43164.6727139830,-0.4299168236,-0.0821805202,8.4977608000,-4.4490689000
53.8407207317,89623.3669958420,43163.8243301830,-0.5971947159,-0.0687176534,9.5698679000,-4.8473934000
55.8371261774,89625.0178561420,43162.7017015830,-0.7343830134,-0.0696935569,10.5783899000,-5.0850101000
57.9173444890,89626.5618864420,43161.3076862830,-0.8793608267,-0.0842841946,11.1100000000,-2.8852901000
59.8995422267,89627.8258222420,43159.7807369830,-1.0464287665,-0.0897286354,11.1100000000,0.0000000000
61.9006348150,89628.8277005420,43158.0485096830,-1.2259840738,-0.0619136961,11.1100000000,0.0000000000
63.8480743893,89629.4859740420,43156.2156984830,-1.3465572557,-0.0223894599,11.1100000000,0.0000000000
65.8491784451,89629.9309486420,43154.2646948830,-1.3913608947,-0.0024506372,11.1100000000,0.0000000000
67.8524781017,89630.2884857420,43152.2935589830,-1.3962702553,0.0120795368,11.1100000000,0.0000000000
69.8674615295,89630.6383703420,43150.3091852830,-1.3719301888,0.0340098842,11.1100000000,0.0000000000
71.8670870257,89631.0334122420,43148.3489699830,-1.3039231571,0.0641528585,11.1100000000,0.0000000000
73.8524403203,89631.5569828420,43146.4338977830,-1.1765570681,0.0829680493,11.1100000000,0.0000000000
75.8211358509,89632.3131704420,43144.6162227830,-1.0132182403,0.0803720295,11.1100000000,0.0000000000
77.8132988240,89633.3672889420,43142.9257945830,-0.8531040591,0.0713019350,11.1100000000,0.0000000000
79.8188381057,89634.6862277420,43141.4149708830,-0.7101052275,0.0741230623,10.8151446000,1.6177841000
81.8361108925,89636.2159121420,43140.0998833830,-0.5605787910,0.0720062887,10.1315409000,3.5833449000
83.8923191606,89637.9574126420,43139.0066457830,-0.4125188648,0.0979775001,9.1117626000,4.9108240000
85.9075506263,89639.8035941420,43138.1987028830,-0.2150715235,0.1674677333,7.9388734000,5.0045670000
